"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"kth",2017,30,"10.4230/lipics.csl.2017.1",FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
"kth",2017,30,"10.4230/lipics.csl.2017.10",FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
"kth",2017,30,"10.4230/lipics.csl.2017.11",FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
"kth",2017,30,"10.4230/lipics.csl.2017.12",FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
"kth",2017,30,"10.4230/lipics.csl.2017.13",FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
"kth",2017,30,"10.4230/lipics.csl.2017.14",FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
"kth",2017,30,"10.4230/lipics.csl.2017.15",FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
"kth",2017,30,"10.4230/lipics.csl.2017.16",FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
"kth",2017,30,"10.4230/lipics.csl.2017.17",FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
"kth",2017,30,"10.4230/lipics.csl.2017.18",FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
"kth",2017,30,"10.4230/lipics.csl.2017.19",FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
"kth",2017,30,"10.4230/lipics.csl.2017.2",FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
"kth",2017,30,"10.4230/lipics.csl.2017.20",FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
"kth",2017,30,"10.4230/lipics.csl.2017.21",FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
"kth",2017,30,"10.4230/lipics.csl.2017.22",FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
"kth",2017,30,"10.4230/lipics.csl.2017.23",FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
"kth",2017,30,"10.4230/lipics.csl.2017.24",FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
"kth",2017,30,"10.4230/lipics.csl.2017.25",FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
"kth",2017,30,"10.4230/lipics.csl.2017.26",FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
"kth",2017,30,"10.4230/lipics.csl.2017.27",FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
"kth",2017,30,"10.4230/lipics.csl.2017.28",FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
"kth",2017,30,"10.4230/lipics.csl.2017.29",FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
"kth",2017,30,"10.4230/lipics.csl.2017.3",FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
"kth",2017,30,"10.4230/lipics.csl.2017.30",FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
"kth",2017,30,"10.4230/lipics.csl.2017.31",FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
"kth",2017,30,"10.4230/lipics.csl.2017.32",FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
"kth",2017,30,"10.4230/lipics.csl.2017.33",FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
"kth",2017,30,"10.4230/lipics.csl.2017.34",FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
"kth",2017,30,"10.4230/lipics.csl.2017.35",FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
"kth",2017,30,"10.4230/lipics.csl.2017.36",FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
"kth",2017,30,"10.4230/lipics.csl.2017.37",FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
"kth",2017,30,"10.4230/lipics.csl.2017.38",FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
"kth",2017,30,"10.4230/lipics.csl.2017.39",FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
"kth",2017,30,"10.4230/lipics.csl.2017.4",FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
"kth",2017,30,"10.4230/lipics.csl.2017.40",FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
"kth",2017,30,"10.4230/lipics.csl.2017.41",FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
"kth",2017,30,"10.4230/lipics.csl.2017.42",FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
"kth",2017,30,"10.4230/lipics.csl.2017.5",FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
"kth",2017,30,"10.4230/lipics.csl.2017.6",FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
"kth",2017,30,"10.4230/lipics.csl.2017.7",FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
"kth",2017,30,"10.4230/lipics.csl.2017.8",FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
"kth",2017,30,"10.4230/lipics.csl.2017.9",FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
"kth",2017,449,"10.1016/j.dib.2017.02.015",FALSE,"Elsevier BV","Data in Brief","2352-3409","2352-3409",NA,NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"28289699","PMC5338869",NA,NA,TRUE
"kth",2017,449,"10.1016/j.dib.2017.02.021",FALSE,"Elsevier BV","Data in Brief","2352-3409","2352-3409",NA,NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"28275668","PMC5328940",NA,NA,TRUE
"kth",2017,449,"10.1016/j.dib.2017.07.014",FALSE,"Elsevier BV","Data in Brief","2352-3409","2352-3409",NA,NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"28856180","PMC5562104",NA,NA,TRUE
"kth",2017,449,"10.1016/j.softx.2017.08.002",FALSE,"Elsevier BV","SoftwareX","2352-7110","2352-7110",NA,NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"kth",2017,466,"10.1016/j.mex.2017.10.002",FALSE,"Elsevier BV","MethodsX","2215-0161","2215-0161",NA,NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"29062720","PMC5647525",NA,NA,TRUE
"kth",2017,520,"10.1039/c7ra02992f",FALSE,"Royal Society of Chemistry (RSC)","RSC Advances","2046-2069",NA,"2046-2069",NA,NA,TRUE,NA,NA,NA,NA,TRUE
"kth",2017,525,"10.4236/ajcm.2018.81002",FALSE,"Scientific Research Publishing, Inc,","American Journal of Computational Mathematics","2161-1203","2161-1203","2161-1211",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE
"kth",2017,639,"10.1021/acssuschemeng.7b00663",TRUE,"American Chemical Society (ACS)","ACS Sustainable Chemistry & Engineering","2168-0485","2168-0485","2168-0485",NA,"http://pubs.acs.org/page/policy/authorchoice_termsofuse.html",TRUE,NA,NA,NA,NA,FALSE
"kth",2017,647,"10.3390/app6120405",FALSE,"MDPI AG","Applied Sciences","2076-3417",NA,"2076-3417",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"kth",2017,818,"10.1117/1.jmi.5.1.014001",TRUE,"SPIE-Intl Soc Optical Eng","Journal of Medical Imaging","2329-4302",NA,NA,NA,NA,TRUE,"29322069","PMC5753006",NA,NA,FALSE
"kth",2017,987,"10.1016/j.visres.2017.07.005",TRUE,"Elsevier BV","Vision Research","0042-6989","0042-6989",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"28739381",NA,NA,NA,FALSE
"kth",2017,1050,"10.3183/npprj-2017-32-01-p014-020",TRUE,"Walter de Gruyter GmbH","Nordic Pulp and Paper Research Journal","0283-2631","0283-2631",NA,NA,NA,TRUE,NA,NA,NA,NA,FALSE
"kth",2017,1050,"10.3183/npprj-2017-32-02-p195-203",TRUE,"Walter de Gruyter GmbH","Nordic Pulp and Paper Research Journal","0283-2631","0283-2631",NA,NA,NA,TRUE,NA,NA,NA,NA,FALSE
"kth",2017,1050,"10.3183/npprj-2017-32-03-p317-323",TRUE,"Walter de Gruyter GmbH","Nordic Pulp and Paper Research Journal","0283-2631","0283-2631",NA,NA,NA,TRUE,NA,NA,NA,NA,FALSE
