institution	period	euro	doi	is_hybrid	publisher
kth	2018	382	10.1109/TII.2017.2788428	FALSE	
kth	2018	938	10.1002/2017WR021187	FALSE	
kth	2018	3037	10.1002/adts.201800149	TRUE	
kth	2018	2917	10.1002/biot.201800036	TRUE	
kth	2018	3356	10.1002/cnm.3159	TRUE	
kth	2018	2475	10.1002/cssc.201702026	TRUE	
kth	2018	3372	10.1002/ijc.32037	TRUE	
kth	2018	2143	10.1002/jbm.b.34084	TRUE	
kth	2018	2225	10.1002/jbm.b.34182	TRUE	
kth	2018	3267	10.1002/jctb.5911	TRUE	
kth	2018	3153	10.1002/maco.201810248	TRUE	
kth	2018	466	10.1002/mas.21488	FALSE	
kth	2018	3731	10.1002/solr.201700073	TRUE	
kth	2018	2744	10.1007/978-3-030-11738-2	TRUE	
kth	2018	2362	10.1007/978-3-319-94923-9_9	TRUE	
kth	2018	166	10.1007/978-90-481-2585-2	TRUE	
kth	2018	263	10.1007/s10851-017-0766-9	TRUE	
kth	2018	2963	10.1016/j.ab.2018.11.002	TRUE	
kth	2018	2205	10.1016/j.apacoust.2018.05.006	TRUE	
kth	2018	2688	10.1016/j.apcatb.2018.11.038	TRUE	
kth	2018	3194	10.1016/j.apenergy.2018.10.084	TRUE	
kth	2018	3020	10.1016/j.apergo.2018.05.017	TRUE	
kth	2018	2540	10.1016/j.applthermaleng.2017.11.033	TRUE	
kth	2018	2567	10.1016/j.apsusc.2018.06.284	TRUE	
kth	2018	3900	10.1016/j.biortech.2018.07.042	TRUE	
kth	2018	4658	10.1016/j.celrep.2018.09.040	FALSE	
kth	2018	3263	10.1016/j.ces.2018.08.017	TRUE	
kth	2018	1784	10.1016/j.chb.2018.07.027	FALSE	
kth	2018	3468	10.1016/j.coelec.2018.04.004	TRUE	
kth	2018	3236	10.1016/j.colsurfb.2018.10.061	TRUE	
kth	2018	3236	10.1016/j.colsurfb.2018.10.061	TRUE	
kth	2018	3013	10.1016/j.compscitech.2018.06.001	TRUE	
kth	2018	3066	10.1016/j.compscitech.2018.08.044	TRUE	
kth	2018	3026	10.1016/j.corsci.2018.01.027	TRUE	
kth	2018	475	10.1016/j.dib.2018.08.086	FALSE	
kth	2018	2707	10.1016/j.ebiom.2017.12.008	FALSE	
kth	2018	2756	10.1016/j.enpol.2018.09.027	TRUE	
kth	2018	2681	10.1016/j.enpol.2018.11.051	TRUE	
kth	2018	2236	10.1016/j.ijheatfluidflow.2018.11.009	TRUE	
kth	2018	2560	10.1016/j.jbi.2018.10.005	TRUE	
kth	2018	2155	10.1016/j.jbiotec.2018.06.309	TRUE	
kth	2018	2102	10.1016/j.jbiotec.2018.11.004	TRUE	
kth	2018	2703	10.1016/j.jchromb.2018.11.021	TRUE	
kth	2018	3429	10.1016/j.jclepro.2017.12.111	TRUE	
kth	2018	4459	10.1016/j.jclepro.2018.03.285	TRUE	
kth	2018	3713	10.1016/j.jclepro.2018.05.142	TRUE	
kth	2018	2311	10.1016/j.jhazmat.2018.10.001	TRUE	
kth	2018	2319	10.1016/j.jhazmat.2018.10.081	TRUE	
kth	2018	2800	10.1016/j.jvoice.2018.08.014	TRUE	
kth	2018	2246	10.1016/j.micromeso.2018.11.022	TRUE	
kth	2018	3053	10.1016/j.polymertesting.2018.10.007	TRUE	
kth	2018	1100	10.1016/j.resourpol.2018.05.014	TRUE	
kth	2018	1947	10.1016/j.scaman.2018.02.004	TRUE	
kth	2018	449	10.1016/j.softx.2018.03.002	FALSE	
kth	2018	2822	10.1016/j.solener.2018.06.031	FALSE	
kth	2018	2311	10.1016/j.strusafe.2018.09.004	TRUE	
kth	2018	2604	10.1016/j.talanta.2018.02.070	TRUE	
kth	2018	3182	10.1016/j.trac.2018.11.024	TRUE	
kth	2018	3314	10.1016/j.ymben.2017.12.011	TRUE	
kth	2018	3149	10.1016/j.ymeth.2018.09.010	TRUE	
kth	2018	593	10.1021/acs.biomac.6b00747	TRUE	
kth	2018	1237	10.1021/acs.biomac.8b00207	TRUE	
kth	2018	1379	10.1021/acs.biomac.8b01421	TRUE	
kth	2018	593	10.1021/acs.chemmater.6b00133	TRUE	
kth	2018	2077	10.1021/acs.inorgchem.8b00225	TRUE	
kth	2018	2735	10.1021/acs.jchemed.8b00455	TRUE	
kth	2018	3563	10.1021/acs.joc.8b02053	TRUE	
kth	2018	1375	10.1021/acs.jpcc.8b09505	TRUE	
kth	2018	1379	10.1021/acs.jpclett.8b02957	TRUE	
kth	2018	1372	10.1021/acs.jpclett.8b03069	TRUE	
kth	2018	2207	10.1021/acsami.8b06897	TRUE	
kth	2018	2298	10.1021/acsami.8b11405	TRUE	
kth	2018	2285	10.1021/acscatal.8b02928	TRUE	
kth	2018	669	10.1021/acsomega.8b00019	FALSE	
kth	2018	620	10.1021/acsomega.8b00271	FALSE	
kth	2018	593	10.1021/acssuschemeng.6b00397	TRUE	
kth	2018	593	10.1021/acssuschemeng.6b00938	TRUE	
kth	2018	989	10.1021/acssuschemeng.6b01109	TRUE	
kth	2018	1276	10.1021/acssuschemeng.8b00551	TRUE	
kth	2018	1363	10.1021/acssuschemeng.8b03655	TRUE	
kth	2018	3326	10.1021/jacs.7b13620	TRUE	
kth	2018	3703	10.1038/s41467-017-02429-9	FALSE	
kth	2018	3991	10.1038/s41467-018-05785-2	FALSE	
kth	2018	3991	10.1038/s41467-018-05799-w	FALSE	
kth	2018	3998	10.1038/s41467-018-08091-z	FALSE	
kth	2018	1624	10.1038/s41529-018-0065-y	FALSE	
kth	2018	1362	10.1038/s41598-018-21357-2	FALSE	
kth	2018	1372	10.1038/s41598-018-21623-3	FALSE	
kth	2018	1372	10.1038/s41598-018-21957-y	FALSE	
kth	2018	1431	10.1038/s41598-018-29506-3	FALSE	
kth	2018	1435	10.1038/s41598-018-29565-6	FALSE	
kth	2018	1436	10.1038/s41598-018-29920-7	FALSE	
kth	2018	1471	10.1038/s41598-018-32247-y	FALSE	
kth	2018	1709	10.1038/s41598-018-33393-z	FALSE	
