institution	period	euro	doi	is_hybrid	publisher
kth	2019	1617.647238	10.1109/jsyst.2020.2965400	TRUE	
kth	2019	1617.647238	10.1109/jeds.2020.2966680	FALSE	
kth	2019	1617.647238	10.1109/tap.2020.2969753	TRUE	
kth	2019	1617.647238	10.1109/tpwrs.2020.2971866	TRUE	
kth	2019	1617.647238	10.1109/tap.2020.2979482	TRUE	
kth	2019	1617.647238	10.1109/tccn.2020.2981031	TRUE	
kth	2019	1617.647238	10.1109/lra.2020.2988180	TRUE	
kth	2019	1617.647238	10.1109/jsac.2020.3000408	TRUE	
kth	2019	1617.647238	10.1109/tmtt.2020.3004585	TRUE	
kth	2019	1617.647238	10.1109/twc.2020.3006959	TRUE	
kth	2019	1617.647238	10.1109/tmi.2020.3007165	TRUE	
kth	2019	1617.647238	10.1109/tmtt.2020.3022060	TRUE	
kth	2019	1617.647238	10.1109/access.2020.3026193	FALSE	
kth	2019	1617.647238	10.1109/tap.2020.3026921	TRUE	
kth	2019	1617.647238	10.1109/access.2020.3028606	FALSE	
kth	2019	1617.647238	10.1109/tcomm.2020.3028876	TRUE	
kth	2019	1617.647238	10.1109/access.2020.3029014	FALSE	
kth	2019	1617.647238	10.1109/tmi.2020.3031318	TRUE	
kth	2019	1617.647238	10.1109/tase.2020.3033664	TRUE	
kth	2019	1617.647238	10.1109/jmw.2020.3033847	FALSE	
kth	2019	1617.647238	10.1109/tpwrd.2020.3038258	TRUE	
kth	2019	1617.647238	10.1109/tie.2020.3040668	TRUE	
kth	2019	1617.647238	10.1109/toh.2020.3044682	TRUE	
kth	2019	1617.647238	10.1109/tac.2020.3047336	TRUE	
kth	2019	1617.647238	10.1109/tbme.2020.3045916	TRUE	
kth	2019	1617.647238	10.1109/tpel.2020.3045557	TRUE	
kth	2020	201.832056	10.1051/epjn/2020008	FALSE	
kth	2020	455.991966	10.1007/978-3-030-58295-1_4	TRUE	
kth	2020	812.683026	10.1016/j.esr.2020.100511	FALSE	
kth	2020	834.881652	10.1039/d0ra07409h	FALSE	
kth	2020	883.920114	10.17645/up.v5i4.3371	FALSE	
kth	2020	899.400672	10.17645/up.v5i4.3302	FALSE	
kth	2020	902.981034	10.1051/aacus/2020007	FALSE	
kth	2020	911.67579	10.1039/c9ra09479b	FALSE	
kth	2020	1116.328824	10.1145/3424667	TRUE	
kth	2020	1120.5893879999999	10.1016/j.jtrangeo.2020.102890	TRUE	
kth	2020	1133.262324	10.1016/j.techfore.2020.120378	TRUE	
kth	2020	1167.822882	10.1364/ome.410256	FALSE	
kth	2020	1187.919846	10.3389/fmats.2020.581138	FALSE	
kth	2020	1267.02171	10.1063/5.0029070	FALSE	
kth	2020	1280.79747	10.1016/j.orl.2020.08.009	TRUE	
kth	2020	1283.407614	10.5334/bc.34	FALSE	
kth	2020	1306.3827959999999	10.1016/j.mtla.2020.100630	TRUE	
kth	2020	1309.041594	10.1177/2041731420954316	FALSE	
kth	2020	1314.676872	10.1016/j.jlamp.2020.100561	TRUE	
kth	2020	1319.41062	10.1080/19942060.2020.1829710	FALSE	
kth	2020	1365.05952	10.1063/1.5142703	FALSE	
kth	2020	1432.158156	10.1371/journal.pone.0228607	FALSE	
kth	2020	1439.072748	10.1364/ome.395249	FALSE	
kth	2020	1513.071666	10.1364/boe.389911	FALSE	
kth	2020	1577.2272119999998	10.1364/boe.391548	FALSE	
kth	2020	1644.931638	10.1088/1367-2630/abbe52	FALSE	
kth	2020	1645.290342	10.1016/j.cstp.2020.03.006	TRUE	
kth	2020	1646.573472	10.1364/oe.414094	FALSE	
kth	2020	1662.2686800000001	10.1061/(asce)gt.1943-5606.0002458	TRUE	
kth	2020	1672.275186	10.1364/oe.410773	TRUE	
kth	2020	1680.49485	10.3197/096327120x16033868459467	TRUE	
kth	2020	1701.3407040000002	10.1364/oe.396667	FALSE	
kth	2020	1777.959306	10.1016/j.tranpol.2020.03.013	TRUE	
kth	2020	1804.3440839999998	10.1016/j.matdes.2020.108488	FALSE	
kth	2020	1807.259508	10.1364/ao.393521	TRUE	
kth	2020	1826.543664	10.1155/2020/8814460	FALSE	
kth	2020	1827.1389600000002	10.1142/s0217732320500583	TRUE	
kth	2020	1837.100628	10.1103/physrevfluids.5.074606	TRUE	
kth	2020	1847.8531619999999	10.1016/j.ssci.2020.104682	TRUE	
kth	2020	1870.4267100000002	10.1364/oe.383398	FALSE	
kth	2020	1930.229154	10.1016/j.jobe.2020.101423	TRUE	
kth	2020	1937.5549199999998	10.1073/pnas.2012331117	TRUE	
kth	2020	1981.77282	10.1371/journal.pcbi.1008033	FALSE	
kth	2020	2004.681222	10.1098/rspa.2020.0605	TRUE	
kth	2020	2009.4884279999999	10.1098/rspa.2019.0841	TRUE	
kth	2020	2265.920766	10.1016/j.apacoust.2020.107214	TRUE	
kth	2020	2275.5513960000003	10.1371/journal.pcbi.1007748	FALSE	
kth	2020	2315.18628	10.1063/5.0019734	FALSE	
kth	2020	2371.685976	10.1177/1468087420972897	TRUE	
kth	2020	2429.202636	10.1016/j.oceaneng.2020.107567	TRUE	
kth	2020	2432.341296	10.1177/0954409720926362	TRUE	
kth	2020	2478.242052	10.1108/ijshe-09-2019-0287	TRUE	
kth	2020	2490.45516	10.1115/1.4048447	TRUE	
kth	2020	2496.147678	10.1080/0966369x.2020.1784104	TRUE	
kth	2020	2520.49662	10.1080/09505431.2020.1766011	TRUE	
kth	2020	2531.438046	10.1016/j.esd.2020.02.009	TRUE	
kth	2020	2580.9993	10.1137/19m1271981	TRUE	
kth	2020	2604.246372	10.1016/j.ijheatfluidflow.2020.108742	TRUE	
kth	2020	2612.4793919999997	10.1108/ijpcc-07-2020-0081	TRUE	
kth	2020	2623.311108	10.1177/1473095219897404	TRUE	
kth	2020	2630.7981	10.1016/j.jcrysgro.2020.125623	TRUE	
kth	2020	2704.1607	10.1108/jbim-06-2019-0292	TRUE	
kth	2020	2712.4853040000003	10.1016/j.scriptamat.2020.01.024	TRUE	
kth	2020	2719.482894	10.1016/j.energy.2020.116929	TRUE	
kth	2020	2720.627694	10.1016/j.wear.2020.203335	TRUE	
kth	2020	2728.6308	10.1115/1.4046275	TRUE	
kth	2020	2738.899656	10.1057/s41278-020-00163-6	TRUE	
kth	2020	2744.654184	10.1016/j.triboint.2020.106494	TRUE	
kth	2020	2757.876624	10.1016/j.conbuildmat.2020.119062	TRUE	
kth	2020	2811.656466	10.1016/j.matchar.2020.110347	TRUE	
kth	2020	2821.107744	10.1016/j.ijhcs.2020.102500	TRUE	
kth	2020	2821.911012	10.1016/j.jsv.2020.115244	TRUE	
kth	2020	2831.5769400000004	10.1021/acsami.9b05525	TRUE	
kth	2020	2887.506144	10.1108/jerer-11-2019-0042	TRUE	
kth	2020	2890.5245999999997	10.1016/j.indcrop.2020.112152	TRUE	
kth	2020	2906.83323	10.1016/j.envsci.2020.09.016	TRUE	
kth	2020	2932.416648	10.1016/j.tifs.2020.01.002	TRUE	
kth	2020	2989.7568180000003	10.1016/j.compositesa.2020.105853	TRUE	
kth	2020	3034.447902	10.1016/j.wasman.2020.01.038	TRUE	
kth	2020	3038.183766	10.1080/10494820.2020.1815221	TRUE	
kth	2020	3080.030976	10.1089/soro.2019.0130	TRUE	
kth	2020	3178.5839459999997	10.1016/j.chroma.2020.460899	TRUE	
kth	2020	3183.4026	10.1063/1.5138369	TRUE	
kth	2020	3210.0544980000004	10.1016/j.ijsolstr.2020.02.033	TRUE	
kth	2020	3215.7470160000003	10.1016/j.fuel.2020.118173	TRUE	
kth	2020	3255.735834	10.1016/j.jclepro.2020.122267	TRUE	
kth	2020	3347.654688	10.1016/j.jclepro.2020.120845	TRUE	
kth	2020	3379.80735	10.1021/acs.biomac.9b01646	TRUE	
kth	2020	3382.9059420000003	10.1016/j.jclepro.2020.121453	TRUE	
kth	2020	3388.391442	10.1016/j.jclepro.2020.120819	TRUE	
kth	2020	3390.6114	10.1021/acssuschemeng.9b06176	TRUE	
kth	2020	3390.6114	10.1021/acsnano.9b07659	TRUE	
kth	2020	3436.47495	10.1021/acsami.9b20315	TRUE	
kth	2020	3439.981854	10.1016/j.apenergy.2020.116057	TRUE	
kth	2020	3472.071552	10.1021/acssuschemeng.9b05865	TRUE	
kth	2020	3480.9437519999997	10.1021/acs.bioconjchem.9b00786	TRUE	
kth	2020	3524.765742	10.1016/j.cogsc.2020.03.008	TRUE	
kth	2020	975.83706	10.32474/sjpbs.2020.04.000183	FALSE	
kth	2020	990.78624	10.32474/sjpbs.2020.03.000167	FALSE	
kth	2020	2265.920766	10.1016/j.compgeo.2019.103296	TRUE	
kth	2020	2282.161662	10.1016/j.tust.2020.103336	TRUE	
kth	2020	2724.090714	10.1016/j.enpol.2020.112032	TRUE	
kth	2020	560.576124	10.1016/j.dib.2020.105335	FALSE	
kth	2020	759.5089740000001	10.1145/3414685.3417836	TRUE	
kth	2020	1224.6850980000002	10.1145/3397199	TRUE	
kth	2020	1551.68577	10.1121/10.0001468	TRUE	
kth	2020	2112.156	10.1371/journal.pcbi.1008183	FALSE	
kth	2020	2217.853476	10.1109/tii.2019.2958708	TRUE	
kth	2020	2508.42852	10.1523/eneuro.0374-19.2020	FALSE	
kth	2020	2706.51708	10.1016/j.renene.2020.01.059	TRUE	
kth	2020	472.55913	10.3390/nano10061214	FALSE	
kth	2020	721.174392	10.1021/acsomega.0c00341	FALSE	
kth	2020	1167.52428	10.1369/0022155420935403	TRUE	
kth	2020	1285.584642	10.1016/j.heliyon.2020.e03440	FALSE	
kth	2020	1697.8433400000001	10.3390/ijms21041312	FALSE	
kth	2020	1760.5593	10.3390/biom10050737	FALSE	
kth	2020	1776.4243199999999	10.1002/mbo3.993	FALSE	
kth	2020	1977.0123600000002	10.3390/molecules25102279	FALSE	
kth	2020	1240.436592	10.3233/jnd-190454	TRUE	
kth	2020	2481.28245	10.1016/j.apsusc.2020.147340	TRUE	
kth	2020	2525.4908100000002	10.1016/j.isci.2020.101653	FALSE	
kth	2020	2560.4883	10.26508/lsa.202000817	FALSE	
kth	2020	2562.903828	10.1016/j.pep.2020.105698	TRUE	
kth	2020	2807.0400600000003	10.1016/j.electacta.2019.135384	TRUE	
kth	2020	2827.0826460000003	10.1016/j.electacta.2020.136022	TRUE	
kth	2020	2840.244984	10.1016/j.apergo.2020.103101	TRUE	
kth	2020	2978.27829	10.1021/acsbiomaterials.9b01573	TRUE	
kth	2020	2978.27829	10.1021/acsabm.9b00972	TRUE	
kth	2020	3027.996	10.1002/app.48949	TRUE	
kth	2020	3031.064064	10.1016/j.corsci.2020.108477	TRUE	
kth	2020	3139.6569299999996	10.1016/j.fuel.2020.119061	TRUE	
kth	2020	3201.3635580000005	10.1002/macp.201900443	TRUE	
kth	2020	3435.509502	10.1021/acs.analchem.9b05231	TRUE	
kth	2020	3611.84877	10.1002/adsc.201901434	TRUE	
kth	2020	3883.871376	10.15252/msb.20209469	FALSE	
kth	2020	3893.630796	10.15761/brcp.1000203	FALSE	
kth	2020	4366.535274	10.1002/adfm.202006453	TRUE	
kth	2020	4443.291252	10.1002/adma.201902977	TRUE	
kth	2020	2388.94956	10.1108/ejim-03-2019-0073	TRUE	
kth	2020	2871.05346	10.1002/bse.2406	TRUE	
kth	2020	1325.922624	10.1186/s13636-020-00187	FALSE	
kth	2020	1816.927344	10.1016/j.anucene.2019.107231	TRUE	
kth	2020	2167.1540999999997	10.1016/j.bpj.2020.05.030	TRUE	
kth	2020	2171.935548	10.1016/j.bpj.2019.12.016	TRUE	
kth	2020	2772.999432	10.1016/j.kint.2020.10.039	TRUE	
kth	2020	3086.040222	10.1016/j.ceca.2020.102210	TRUE	
kth	2020	3161.5636320000003	10.1073/pnas.1921132117	TRUE	
kth	2020	1926.5934599999998	10.1088/1402-4896/ab40d3	TRUE	
kth	2020	1926.5934599999998	10.1088/1361-6641/ab4163	TRUE	
kth	2020	1926.5934599999998	10.1088/1361-6463/ab4c13	TRUE	
kth	2020	1926.5934599999998	10.1088/1361-6439/ab4d1f	TRUE	
kth	2020	1926.5934599999998	10.1088/2399-6528/ab4aa5	FALSE	
kth	2020	1926.5934599999998	10.1088/1361-6544/ab4e47	TRUE	
kth	2020	2254.772322	10.1088/1361-6587/ab6f55	TRUE	
kth	2020	2156.7682836	10.1088/1361-6544/ab7636	TRUE	
kth	2020	2156.7682836	10.1088/1681-7575/ab7f99	TRUE	
kth	2020	2156.7682836	10.1088/2399-7532/ab8e95	TRUE	
kth	2020	2156.7682836	10.1088/1751-8121/ab9274	TRUE	
kth	2020	2156.7682836	10.1088/1361-6528/ab9474	TRUE	
kth	2020	1851.644358	10.1088/1361-6501/aba06f	TRUE	
kth	2020	1851.644358	10.1088/2053-1591/aba643	FALSE	
kth	2020	1851.644358	10.1088/1361-6595/aba920	TRUE	
kth	2020	1197.581756926154	10.3390/su11205729	FALSE	
kth	2020	1268.0277426276923	10.3390/ma12203434	FALSE	
kth	2020	1268.0277426276923	10.3390/rs11202408	FALSE	
kth	2020	1268.0277426276923	10.3390/s19204426	FALSE	
kth	2020	1197.581756926154	10.3390/su11216101	FALSE	
kth	2020	1268.0277426276923	10.3390/s19214716	FALSE	
kth	2020	399.1939189753846	10.3390/su11226208	FALSE	
kth	2020	704.4598570153846	10.3390/urbansci3040107	FALSE	
kth	2020	1056.6897855230768	10.3390/app9245316	FALSE	
kth	2020	1197.581756926154	10.3390/su11247236	FALSE	
kth	2020	1268.0277426276923	10.3390/rs12010076	FALSE	
kth	2020	422.67591420923077	10.3390/ma12244185	FALSE	
kth	2020	422.67591420923077	10.3390/ma12244182	FALSE	
kth	2020	1197.581756926154	10.3390/su12010313	FALSE	
kth	2020	1127.1357712246154	10.3390/e22010098	FALSE	
kth	2020	1203.3040527652174	10.3390/su12030777	FALSE	
