institution,period,sek,doi,is_hybrid,publisher,journal_full_title,issn,issn_print,issn_electronic,url
kth,2021,2032.8,10.1515/npprj-2020-0042,TRUE,,,,,,
kth,2021,8684.06,10.1186/s42854-021-00028-y,FALSE,,,,,,
kth,2021,10643.39,10.1177/00368504211030833,FALSE,,,,,,
kth,2021,14393.82,10.1515/med-2021-0238,FALSE,,,,,,
kth,2021,15627.53,10.1177/16878140211036019,FALSE,,,,,,
kth,2021,16596.47,10.1177/16878140211041538,FALSE,,,,,,
kth,2021,9675.76,10.3389/fcomp.2021.642633,FALSE,,,,,,
kth,2021,25547.89,10.3389/fncir.2021.748989,FALSE,,,,,,
kth,2021,22423.86,10.1088/1751-8121/abb167,TRUE,,,,,,
kth,2021,22423.86,10.1088/1361-6595/abb7bd,TRUE,,,,,,
kth,2021,22423.86,10.1088/1361-6528/abc44e,TRUE,,,,,,
kth,2021,22423.86,10.1088/1361-6528/abb556,TRUE,,,,,,
kth,2019,16956.47,10.1515/hf-2020-0236,TRUE,,,,,,
kth,2021,12433.55,10.1515/med-2021-0238,FALSE,,,,,,
