institution	period	cost	doi	is_hybrid	publisher	journal_full_title	issn	issn_print	issn_electronic	url
kth	2017	1848	10.1039/c7ay01219e	TRUE	Royal Society of Chemistry	Analytical Methods	1759-9660			http://pubs.rsc.org/en/content/articlelanding/2017/ay/c7ay01219e#!divAbstract
kth	2017	2917	10.1002/adom.201600834	TRUE	Wiley / AGU	ADVANCED OPTICAL MATERIALS	2195-1071			https://onlinelibrary.wiley.com/doi/abs/10.1002/adom.201600834
kth	2017	2917	10.1002/adom.201700057	TRUE	Wiley / AGU	ADVANCED OPTICAL MATERIALS	2195-1071			https://onlinelibrary.wiley.com/doi/abs/10.1002/adom.201700057
kth	2017	1480	10.1002/geo2.34	FALSE	Wiley / AGU	GEO: GEOGRAPHY AND ENVIRONMENT	2054-4049			https://onlinelibrary.wiley.com/doi/full/10.1002/geo2.34
kth	2017	2917	10.1002/mabi.201700190	TRUE	Wiley / AGU	MACROMOLECULAR BIOSCIENCE	1616-5187			https://onlinelibrary.wiley.com/doi/abs/10.1002/mabi.201700190
kth	2017	2750	10.1002/mrc.4558	TRUE	Wiley / AGU	MAGNETIC RESONANCE IN CHEMISTRY	0749-1581			https://onlinelibrary.wiley.com/doi/abs/10.1002/mrc.4558
kth	2017	3167	10.1002/nme.5603	TRUE	Wiley / AGU	INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING	0029-5981			https://onlinelibrary.wiley.com/doi/abs/10.1002/nme.5603
kth	2017	931	10.1007/s12544-017-0243-y	FALSE	Springer	European Transport Research Review	1867-0717			https://link.springer.com/article/10.1007/s12544-017-0243-y
kth	2017	1359	10.1021/acs.iecr.7b04091	TRUE	ACS	Industrial and Engineering Chemistry Research	0888-5885			https://pubs.acs.org/doi/abs/10.1021/acs.iecr.7b04091
kth	2017	1359	10.1021/acs.jpcb.7b08912	TRUE	ACS	Journal of Physical Chemistry B	1520-6106			https://pubs.acs.org/doi/10.1021/acs.jpcb.7b08912
kth	2017	1359	10.1021/acs.jpcc.7b03885	TRUE	ACS	Journal of Physical Chemistry C	 1932-7447			https://pubs.acs.org/doi/abs/10.1021/acs.jpcc.7b03885
kth	2017	1359	10.1021/acsnano.7b02305	TRUE	ACS	ACS Nano	1936-0851			https://pubs.acs.org/doi/abs/10.1021/acsnano.7b02305
kth	2017	1359	10.1021/acsomega.7b01510	TRUE	ACS	ACS Omega	2470-1343			https://pubs.acs.org/doi/abs/10.1021/acsomega.7b01510
kth	2017	1359	10.1021%2Facssuschemeng.7b03566	TRUE	ACS	ACS Sustainable Chemistry & Engineering	2168-0485			https://pubs.acs.org/doi/abs/10.1021%2Facssuschemeng.7b03566
kth	2017	1848	10.1039/C6CE02642G	TRUE	Royal Society of Chemistry	CrystEngComm			1466-8033	http://pubs.rsc.org/en/content/articlelanding/2017/ce/c6ce02642g#!divAbstract
kth	2017	1848	10.1039/C6CP08219J	TRUE	Royal Society of Chemistry	Physical Chemistry Chemical Physics	 1463-9076			http://pubs.rsc.org/en/content/articlelanding/2017/cp/c6cp08219j#!divAbstract
kth	2017	1848	10.1039/C6EN00645K	TRUE	Royal Society of Chemistry	Environmental Science: Nano	2051-8153			http://pubs.rsc.org/en/content/articlelanding/2017/en/c6en00645k#!divAbstract
kth	2017	1848	10.1039/C6GC02328B	TRUE	Royal Society of Chemistry	Green Chemistry	1463-9262			http://pubs.rsc.org/en/content/articlelanding/2017/gc/c6gc02328b#!divAbstract
kth	2017	1848	10.1039/C6GC03473J	TRUE	Royal Society of Chemistry	Green Chemistry	1463-9262			http://pubs.rsc.org/en/content/articlelanding/2017/gc/c6gc03473j#!divAbstract
kth	2017	567	10.1039/C6RA26679G	FALSE	Royal Society of Chemistry	RSC Advances	 2046-2074			http://pubs.rsc.org/en/content/articlelanding/2017/ra/c6ra26679g#!divAbstract
kth	2017	567	10.1039/C6RA28236A	FALSE	Royal Society of Chemistry	RSC Advances	 2046-2075			http://pubs.rsc.org/en/content/articlelanding/2017/ra/c6ra28236a#!divAbstract
kth	2017	1848	10.1039/C6TA10123B	TRUE	Royal Society of Chemistry	Journal of Materials Chemistry A	2050-7488			http://pubs.rsc.org/en/content/articlelanding/2017/ta/c6ta10123b#!divAbstract
kth	2017	1848	10.1039/C6TA11237D	TRUE	Royal Society of Chemistry	Journal of Materials Chemistry A	2050-7488			http://pubs.rsc.org/en/content/articlelanding/2017/ta/c6ta11237d#!divAbstract
kth	2017	1848	10.1039/C7CE01135K	TRUE	Royal Society of Chemistry	CrystEngComm	1466-8033			http://pubs.rsc.org/en/content/articlelanding/2018/ce/c7ce01135k#!divAbstract
kth	2017	1848	10.1039/C7CP01507K	TRUE	Royal Society of Chemistry	Physical Chemistry Chemical Physics	1463-9076			http://pubs.rsc.org/en/content/articlelanding/2017/cp/c7cp01507k#!divAbstract
kth	2017	2412	10.1039/C7CP03517A	TRUE	Royal Society of Chemistry	Physical Chemistry Chemical Physics	1463-9076			http://pubs.rsc.org/en/content/articlelanding/2017/cp/c7cp03517a#!divAbstract
kth	2017	1848	10.1039/C7CP04662F	TRUE	Royal Society of Chemistry	Physical Chemistry Chemical Physics	1463-9076			http://pubs.rsc.org/en/content/articlelanding/2017/cp/c7cp04662f#!divAbstract
kth	2017	1848	10.1039/C7CP06259A	TRUE	Royal Society of Chemistry	Physical Chemistry Chemical Physics	1463-9076			http://pubs.rsc.org/en/content/articlelanding/2018/cp/c7cp06259a#!divAbstract
kth	2017	965	10.1039/C7GC02489D	TRUE	Royal Society of Chemistry	Green Chemistry	1463-9262			http://pubs.rsc.org/en/content/articlelanding/2017/gc/c7gc02489d#!divAbstract
kth	2017	1848	10.1039/C7PY01097D	TRUE	Royal Society of Chemistry	Polymer Chemistry	1759-9954			http://pubs.rsc.org/en/content/articlelanding/2017/py/c7py01097d#!divAbstract
kth	2017	567	10.1039/C7RA00496F	FALSE	Royal Society of Chemistry	RSC Advances	 2046-2072			http://pubs.rsc.org/en/content/articlelanding/2017/ra/c7ra00496f#!divAbstract
kth	2017	567	10.1039/C7RA01082F	FALSE	Royal Society of Chemistry	RSC Advances	 2046-2073			http://pubs.rsc.org/en/content/articlelanding/2017/ra/c7ra01082f#!divAbstract
kth	2017	567	10.1039/C7RA02821K	FALSE	Royal Society of Chemistry	RSC Advances	 2046-2071			http://pubs.rsc.org/en/content/articlelanding/2017/ra/c7ra02821k#!divAbstract
kth	2017	567	10.1039/C7RA05209J	FALSE	Royal Society of Chemistry	RSC Advances	 2046-2070			http://pubs.rsc.org/en/content/articlelanding/2017/ra/c7ra05209j#!divAbstract
kth	2017	567	10.1039/C7RA09828F	FALSE	Royal Society of Chemistry	RSC Advances	 2046-2069			http://pubs.rsc.org/en/content/articlelanding/2017/ra/c7ra09828f#!divAbstract
kth	2017	1848	10.1039/C7TA04684G	TRUE	Royal Society of Chemistry	Journal of Materials Chemistry A	2050-7488			http://pubs.rsc.org/en/content/articlelanding/2017/ta/c7ta04684g#!divAbstract
kth	2017	1848	10.1039/C7TA09973H	TRUE	Royal Society of Chemistry	Journal of Materials Chemistry A	1463-9262			http://pubs.rsc.org/en/content/articlelanding/2018/ta/c7ta09973h#!divAbstract
kth	2017	1780	10.1063/1.4940916	FALSE	AIP	Structural Dynamics	2329-7778			http://aca.scitation.org/doi/10.1063/1.4940916
kth	2017	1092	10.1063/1.4944515	FALSE	AIP	AIP Advances	2158-3227			http://aip.scitation.org/doi/full/10.1063/1.4944515
kth	2017	1780	10.1063/1.4953670	FALSE	AIP	APL Photonics	 2378-0967			http://aip.scitation.org/doi/full/10.1063/1.4953670
kth	2017	1092	10.1063/1.4974066	FALSE	AIP	AIP Advances	2158-3226			http://aip.scitation.org/doi/full/10.1063/1.4974066
kth	2017	1092	10.1063/1.4974282	FALSE	AIP	AIP Advances	2158-3228			http://aip.scitation.org/doi/full/10.1063/1.4974282
kth	2017	1780	10.1063/1.4982907	TRUE	AIP	Journal of Applied Physics	0021-8979			http://aip.scitation.org/doi/full/10.1063/1.4982907
kth	2017	1780	10.1063/1.4983650	TRUE	AIP	The Journal of Chemical Physics	 0021-9606			http://aip.scitation.org/doi/full/10.1063/1.4983650
kth	2017	1780	10.1063/1.4994004	FALSE	AIP	Structural Dynamics	2329-7778			http://aca.scitation.org/doi/full/10.1063/1.4994004
kth	2017	1780	10.1063/1.4995651	FALSE	AIP	APL Materials	2166-532X			http://aip.scitation.org/doi/full/10.1063/1.4995651
kth	2017	2150	10.1080/10408436.2017.1370576	TRUE	Taylor & Francis	Critical Reviews in Solid State and Materials Sciences	 1040-8436			http://www.tandfonline.com/doi/full/10.1080/10408436.2017.1370576
kth	2017	2150	10.1080/13583883.2017.1322631	TRUE	Taylor & Francis	Tertiary Education and Management	1358-3883			http://www.tandfonline.com/doi/full/10.1080/13583883.2017.1322631
kth	2017	2150	10.1080/14649357.2017.1321776	TRUE	Taylor & Francis	Planning Theory & Practice	1464-9357			http://www.tandfonline.com/doi/abs/10.1080/14649357.2017.1321776
kth	2017	1400	10.1080/16549716.2017.1321904	FALSE	Taylor & Francis	Global Health Action	 1654-9716			http://www.tandfonline.com/doi/full/10.1080/16549716.2017.1321904
kth	2017	1400	10.1080/16549716.2017.1344003	FALSE	Taylor & Francis	Global Health Action	 1654-9716			http://www.tandfonline.com/doi/full/10.1080/16549716.2017.1344003
kth	2017	2150	10.1080/17499518.2017.1416643	TRUE	Taylor & Francis	Georisk: Assessment and Management of Risk for Engineered Systems and Geohazards	1749-9518			http://www.tandfonline.com/doi/abs/10.1080/17499518.2017.1416643
kth	2017	1935	10.1088/1361-6404/aa94e4	TRUE	IOP Publishing	European Journal of Physics	 0143-0807			http://iopscience.iop.org/article/10.1088/1361-6404/aa94e4
kth	2017	1729	10.1088/1361-6463/aa65ed	TRUE	IOP Publishing	Journal of Physics D: Applied Physics	0022-3727	0022-3727	1361-6463	http://iopscience.iop.org/info/page/text-and-data-mining
kth	2017	1950	10.1088/1361-6560/aa591d	TRUE	IOP Publishing	Physics in Medicine & Biology	0031-9155			http://iopscience.iop.org/article/10.1088/1361-6560/aa591d/meta
kth	2017	1299	10.1088/1367-2630/aa5f74	FALSE	IOP Publishing	New Journal of Physics	1367-2630			http://iopscience.iop.org/article/10.1088/1367-2630/aa5f74
kth	2017	1662	10.1088/1748-9326/aa7499	FALSE	IOP Publishing	Environmental Research Letters	 1748-9327			http://iopscience.iop.org/article/10.1088/1748-9326/aa7499
kth	2017	1110	10.1088/1748-9326/aa7e18	FALSE	IOP Publishing	Environmental Research Letters	 1748-9326			http://iopscience.iop.org/article/10.1088/1748-9326/aa7e18/meta
kth	2017	1353	10.1093/bioinformatics/btx553	TRUE	Oxford University Press	Bioinformatics	1367-4803			https://academic.oup.com/bioinformatics/article/34/1/137/4103397
kth	2017	2383	10.1093/cjres/rsx001	TRUE	Oxford University Press	Cambridge Journal of Regions, Economy and Society	 1752-1378			https://academic.oup.com/cjres/article/10/2/231/3003399
kth	2017	2417	10.1093/nar/gkx087	TRUE	Oxford University Press	Nucleic Acids Research	 0305-1048			https://academic.oup.com/nar/article/45/6/3253/2975288
kth	2017	2417	10.1093/nar/gkx436	TRUE	Oxford University Press	Nucleic Acids Research	0305-1048			https://academic.oup.com/nar/article/45/13/e125/3835310
kth	2017	2417	10.1093/nar/gkx994	TRUE	Oxford University Press	Nucleic Acids Research	0305-1049			https://academic.oup.com/nar/article/46/D1/D595/4563312
kth	2017	2582	10.1093/teamat/hrx007	TRUE	Oxford University Press	Teaching Mathematics and its Applications: An International Journal of the IMA	0268-3679			https://academic.oup.com/teamat/advance-article/doi/10.1093/teamat/hrx007/3852147
kth	2017	1518	10.1103/PhysRevA.96.012116	FALSE	APS	Physical Review A	2469-9926			https://journals.aps.org/pra/abstract/10.1103/PhysRevA.96.012116
kth	2017	1518	10.1103/PhysRevApplied.7.064018	FALSE	APS	Physical Review Applied	2331-7019			https://journals.aps.org/prapplied/abstract/10.1103/PhysRevApplied.7.064018
kth	2017	2083	10.1111/caim.12246	TRUE	Wiley / AGU	CREATIVITY AND INNOVATION MANAGEMENT	0963-1690			https://onlinelibrary.wiley.com/doi/abs/10.1111/caim.12246
kth	2017	3167	10.1111/cod.12946	TRUE	Wiley / AGU	CONTACT DERMATITIS	0105-1873			https://onlinelibrary.wiley.com/doi/abs/10.1111/cod.12946
kth	2017	1780	10.1121/1.4976814	TRUE	AIP	The Journal of the Acoustical Society of America	 0001-4966			http://asa.scitation.org/doi/full/10.1121/1.4976814
kth	2017	647	10.1149/2.0041705jss	TRUE	ECS	ECS Journal of Solid State Science and Technology	 2162-8769			http://jss.ecsdl.org/content/6/4/P197.full
kth	2017	0	10.1149/2.0191709jes	TRUE	ECS	Journal of The Electrochemical Society	 0013-4653			http://jes.ecsdl.org/content/164/9/C465.full
kth	2017	647	10.1149/2.0311706jes	TRUE	ECS	Journal of The Electrochemical Society	 0013-4655			http://jes.ecsdl.org/content/164/6/C207.full
kth	2017	0	10.1149/2.0311708jes	TRUE	ECS	Journal of The Electrochemical Society	 0013-4651			http://jes.ecsdl.org/content/164/8/H5197.full
kth	2017	647	10.1149/2.0331709jss	TRUE	ECS	ECS Journal of Solid State Science and Technology	 2162-8770			http://jss.ecsdl.org/content/6/9/P653.full
kth	2017	0	10.1149/2.0531704jes	TRUE	ECS	Journal of The Electrochemical Society	 0013-4656			http://jes.ecsdl.org/content/164/4/C85.full
kth	2017	0	10.1149/2.0691713jes	TRUE	ECS	Journal of The Electrochemical Society	 0013-4654			http://jes.ecsdl.org/content/164/13/C768.full
kth	2017	0	10.1149/2.1431707jes	TRUE	ECS	Journal of The Electrochemical Society	 0013-4652			http://jes.ecsdl.org/content/164/7/A1665.full
kth	2017	1 022	10.1155/2017/2709547	FALSE	Hindawi	Contrast Media & Molecular Imaging	1555-4309			https://www.hindawi.com/journals/cmmi/2017/2709547/
kth	2017	1 022	10.1155/2017/3845409	FALSE	Hindawi	BioMed Research International 	2090-3138			https://www.hindawi.com/journals/bmri/2017/3845409/
kth	2017	818	10.1155/2017/4237858	FALSE	Hindawi	International Journal of Biomedical Imaging	1687-4188			https://www.hindawi.com/journals/ijbi/2017/4237858/
kth	2017	1227	10.1155/2017/8987626	FALSE	Hindawi	Advances in Civil Engineering	1687-8086			https://www.hindawi.com/journals/ace/2017/8987626/
kth	2017	818	10.1155/2017/9814179	FALSE	Hindawi	Modelling and Simulation in Engineering	1687-5591			https://www.hindawi.com/journals/mse/2017/9814179/
kth	2017	1547	10.1186/s12859-017-1505-3	FALSE	BIOMED CENTRAL	BMC Bioinformatics	1471-2105			https://bmcbioinformatics.biomedcentral.com/articles/10.1186/s12859-017-1505-3
kth	2017	1547	10.1186/s12951-016-0235-4	FALSE	BIOMED CENTRAL	Journal of Nanobiotechnology	1477-3155			https://jnanobiotechnology.biomedcentral.com/articles/10.1186/s12951-016-0235-4
kth	2017	1022	10.1186/s13638-017-0833-3	FALSE	Springer	EURASIP Journal on Wireless Communications and Networking	1687-1472			https://link.springer.com/article/10.1186/s13638-017-0833-3
kth	2017	711	10.1186/s40687-016-0091-8	TRUE	Springer	Research in the Mathematical Sciences	2522-0144			https://link.springer.com/article/10.1186/s40687-016-0091-8
kth	2017	711	10.1186/s40687-016-0092-7	TRUE	Springer	Research in the Mathematical Sciences	2522-0144			https://link.springer.com/article/10.1186/s40687-016-0092-7
kth	2017	3300	10.15252/msb.20167422	FALSE	Wiley / AGU	MOLECULAR SYSTEMS BIOLOGY	1744-4292			https://onlinelibrary.wiley.com/doi/abs/10.15252/msb.20167422
kth	2017	3300	10.15252/msb.20177703	FALSE	Wiley / AGU	MOLECULAR SYSTEMS BIOLOGY	1744-4292			https://onlinelibrary.wiley.com/doi/abs/10.15252/msb.20177703
kth	2017	1171	10.3390/app7030301	FALSE	MDPI	Applied Sciences	2076-3417			http://www.mdpi.com/2076-3417/7/3/301
kth	2017	929	10.3390/app7121278	FALSE	MDPI	Applied Sciences	 2076-3417			http://www.mdpi.com/2076-3417/7/12/1278
kth	2017	1088	10.3390/catal7050133	FALSE	MDPI	Catalysts 	 2073-4344			http://www.mdpi.com/2073-4344/7/5/133
kth	2017	774	10.3390/cryst7070222	FALSE	MDPI	Crystals	2073-4352			http://www.mdpi.com/2073-4352/7/7/222
kth	2017	1255	10.3390/e19050233	FALSE	MDPI	Entropy 	1099-4300			http://www.mdpi.com/1099-4300/19/5/233
kth	2017	1152	10.3390/e19080394	FALSE	MDPI	Entropy			 1099-4300	http://www.mdpi.com/1099-4300/19/8/394
kth	2017	1255	10.3390/e19110595	FALSE	MDPI	Entropy 	1099-4300			http://www.mdpi.com/1099-4300/19/11/595
kth	2017	1339	10.3390/en10020247	FALSE	MDPI	Energies 	 1996-1073			http://www.mdpi.com/1996-1073/10/2/247
kth	2017	1339	10.3390/en10030313	FALSE	MDPI	Energies 	 1996-1073			http://www.mdpi.com/1996-1073/10/3/313
kth	2017	1339	10.3390/en10030338	FALSE	MDPI	Energies 	 1996-1073			http://www.mdpi.com/1996-1073/10/3/338
