"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"kth",2017,1848,"10.1039/c7ay01219e",TRUE,"Royal Society of Chemistry (RSC)","Analytical Methods","1759-9660","1759-9660","1759-9679",NA,NA,TRUE,NA,NA,NA,"http://pubs.rsc.org/en/content/articlelanding/2017/ay/c7ay01219e#!divAbstract",FALSE
"kth",2017,2917,"10.1002/adom.201600834",TRUE,"Wiley","Advanced Optical Materials","2195-1071",NA,NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,"https://onlinelibrary.wiley.com/doi/abs/10.1002/adom.201600834",FALSE
"kth",2017,2917,"10.1002/adom.201700057",TRUE,"Wiley","Advanced Optical Materials","2195-1071",NA,NA,NA,"http://creativecommons.org/licenses/by-nc/4.0/",TRUE,NA,NA,NA,"https://onlinelibrary.wiley.com/doi/abs/10.1002/adom.201700057",FALSE
"kth",2017,1480,"10.1002/geo2.34",FALSE,"Wiley","Geo: Geography and Environment","2054-4049",NA,NA,NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,"https://onlinelibrary.wiley.com/doi/full/10.1002/geo2.34",TRUE
"kth",2017,2917,"10.1002/mabi.201700190",TRUE,"Wiley","Macromolecular Bioscience","1616-5187",NA,NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"28809095",NA,NA,"https://onlinelibrary.wiley.com/doi/abs/10.1002/mabi.201700190",FALSE
"kth",2017,2750,"10.1002/mrc.4558",TRUE,"Wiley","Magnetic Resonance in Chemistry","0749-1581",NA,NA,NA,"http://creativecommons.org/licenses/by-nc/4.0/",TRUE,"27930812","PMC5434926",NA,"https://onlinelibrary.wiley.com/doi/abs/10.1002/mrc.4558",FALSE
"kth",2017,3167,"10.1002/nme.5603",TRUE,"Wiley","International Journal for Numerical Methods in Engineering","0029-5981",NA,NA,NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,"https://onlinelibrary.wiley.com/doi/abs/10.1002/nme.5603",FALSE
"kth",2017,931,"10.1007/s12544-017-0243-y",FALSE,"Springer","European Transport Research Review","1867-0717","1867-0717","1866-8887",NA,"http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,"https://link.springer.com/article/10.1007/s12544-017-0243-y",TRUE
"kth",2017,1359,"10.1021/acs.iecr.7b04091",TRUE,"American Chemical Society (ACS)","Industrial & Engineering Chemistry Research","0888-5885","0888-5885","1520-5045",NA,"http://pubs.acs.org/page/policy/authorchoice_termsofuse.html",TRUE,NA,NA,NA,"https://pubs.acs.org/doi/abs/10.1021/acs.iecr.7b04091",FALSE
"kth",2017,1359,"10.1021/acs.jpcb.7b08912",TRUE,"American Chemical Society (ACS)","The Journal of Physical Chemistry B","1520-6106","1520-6106","1520-5207",NA,"http://pubs.acs.org/page/policy/authorchoice_termsofuse.html",TRUE,"29050474",NA,NA,"https://pubs.acs.org/doi/10.1021/acs.jpcb.7b08912",FALSE
