"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"liu",2017,2541,"10.18632/oncotarget.15547",FALSE,"Impact Journals, LLC","OncoTarget","1949-2553",NA,"1949-2553",NA,NA,TRUE,"28430630","PMC5444764",NA,NA,FALSE
"liu",2017,3011,"10.18632/oncotarget.1798",FALSE,"Impact Journals, LLC","OncoTarget","1949-2553",NA,"1949-2553",NA,NA,TRUE,NA,NA,NA,NA,FALSE
"liu",2017,1560,"10.1088/1367-2630/aa5f8e",FALSE,"IOP Publishing","New Journal of Physics","1367-2630",NA,"1367-2630",NA,"http://iopscience.iop.org/info/page/text-and-data-mining",TRUE,NA,NA,NA,NA,TRUE
"liu",2017,1934,"10.1088/1361-6463/aa57bc",TRUE,"IOP Publishing","Journal of Physics D: Applied Physics","0022-3727","0022-3727","1361-6463",NA,"http://iopscience.iop.org/info/page/text-and-data-mining",TRUE,NA,NA,NA,NA,FALSE
"liu",2017,2174,"10.2196/jmir.7101",FALSE,"JMIR Publications Inc.","Journal of Medical Internet Research","1438-8871",NA,"1438-8871",NA,NA,TRUE,"28619700","PMC5491899",NA,NA,TRUE
"liu",2017,1578,NA,TRUE,"Journal of Visualized Experiments","JoVE - Journal of Visualized Experiments","1940-087X",NA,NA,NA,NA,FALSE,NA,NA,NA,"https://www.jove.com/video/56279/imaging-amyloid-tissues-stained-with-luminescent-conjugated",FALSE
"liu",2017,1551,"10.1097/MD.0000000000006130",TRUE,"Ovid Technologies (Wolters Kluwer Health)","Medicine","0025-7974","0025-7974",NA,NA,NA,TRUE,"28248866","PMC5340439",NA,NA,TRUE
"liu",2017,1993,"10.1097/PTS.0000000000000369",TRUE,"Ovid Technologies (Wolters Kluwer Health)","Journal of Patient Safety","1549-8417","1549-8417",NA,NA,NA,TRUE,"28234728",NA,NA,NA,FALSE
"liu",2017,987,"10.1097/QMH.0000000000000133",TRUE,"Ovid Technologies (Wolters Kluwer Health)","Quality Management in Health Care","1063-8628","1063-8628",NA,NA,NA,TRUE,"28375953","PMC5381467",NA,NA,FALSE
"liu",2017,1613,"10.3390/ijms18050943",FALSE,"MDPI AG","International Journal of Molecular Sciences","1422-0067",NA,"1422-0067",NA,NA,TRUE,"28468237","PMC5454856",NA,NA,TRUE
"liu",2017,717,"10.3390/app7040383",FALSE,"MDPI AG","Applied Sciences","2076-3417",NA,"2076-3417",NA,NA,TRUE,NA,NA,NA,NA,TRUE
"liu",2017,1338,"10.3390/e19060257",FALSE,"MDPI AG","Entropy","1099-4300",NA,"1099-4300",NA,NA,TRUE,NA,NA,NA,NA,TRUE
"liu",2017,1244,"10.3390/en10010100",FALSE,"MDPI AG","Energies","1996-1073",NA,"1996-1073",NA,NA,TRUE,NA,NA,NA,NA,TRUE
"liu",2017,2530,"10.1073/pnas.1616456114",TRUE,"Proceedings of the National Academy of Sciences","Proceedings of the National Academy of Sciences","0027-8424","0027-8424","1091-6490",NA,"http://www.pnas.org/site/misc/userlicense.xhtml",TRUE,"28242683","PMC5358360",NA,NA,FALSE
"liu",2017,2463,"10.1073/pnas.1617758114",TRUE,"Proceedings of the National Academy of Sciences","Proceedings of the National Academy of Sciences","0027-8424","0027-8424","1091-6490",NA,"http://www.pnas.org/site/misc/userlicense.xhtml",TRUE,"28420793","PMC5422791",NA,NA,FALSE
"liu",2017,1305,"10.1038/s41598-017-01846-6",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322",NA,"http://creativecommons.org/licenses/by/4.0",TRUE,"28500342","PMC5432006",NA,NA,TRUE
"liu",2017,1305,"10.1038/srep46618",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322",NA,NA,TRUE,"28425452","PMC5397859",NA,NA,TRUE
"liu",2017,3700,"10.1038/ncomms14214",FALSE,"Springer Nature","Nature Communications","2041-1723",NA,"2041-1723",NA,NA,TRUE,"28139738","PMC5290323",NA,NA,TRUE
"liu",2017,1305,"10.1038/srep42132",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322",NA,NA,TRUE,"28176841","PMC5296865",NA,NA,TRUE
"liu",2017,1305,"10.1038/srep42733",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322",NA,NA,TRUE,"28198437","PMC5309876",NA,NA,TRUE
"liu",2017,1566,"10.1038/srep43512",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322",NA,NA,TRUE,"28266628","PMC5339898",NA,NA,TRUE
"liu",2017,1165,"10.1038/srep39773",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322",NA,"http://www.springer.com/tdm",TRUE,"28004789","PMC5177919",NA,NA,TRUE
"liu",2017,1305,"10.1038/s41598-017-04339-8",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322",NA,"http://creativecommons.org/licenses/by/4.0",TRUE,"28638144","PMC5479795",NA,NA,TRUE
"liu",2017,1305,"10.1038/s41598-017-03236-4",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322",NA,"http://creativecommons.org/licenses/by/4.0",TRUE,"28607425","PMC5468340",NA,NA,TRUE
"liu",2017,1305,"10.1038/s41598-017-01052-4",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322",NA,"http://creativecommons.org/licenses/by/4.0",TRUE,"28446745","PMC5430933",NA,NA,TRUE
"liu",2017,3700,"10.1038/ncomms15401",FALSE,"Springer Nature","Nature Communications","2041-1723",NA,"2041-1723",NA,NA,TRUE,"28530227","PMC5458147",NA,NA,TRUE
"liu",2017,1305,"10.1038/srep46428",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322",NA,NA,TRUE,"28462921","PMC5411961",NA,NA,TRUE
"liu",2017,4440,"10.1038/ncomms14949",FALSE,"Springer Nature","Nature Communications","2041-1723",NA,"2041-1723",NA,NA,TRUE,"28440271","PMC5413966",NA,NA,TRUE
"liu",2017,1305,"10.1038/srep44390",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322",NA,NA,TRUE,"28290508","PMC5349532",NA,NA,TRUE
"liu",2017,1305,"10.1038/srep43209",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322",NA,NA,TRUE,"28233795","PMC5324097",NA,NA,TRUE
"liu",2017,1305,"10.1038/s41598-017-03089-x",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322",NA,"http://creativecommons.org/licenses/by/4.0",TRUE,"28592851","PMC5462838",NA,NA,TRUE
"liu",2017,1566,"10.1038/srep45864",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322",NA,NA,TRUE,"28361922","PMC5374464",NA,NA,TRUE
"liu",2017,1305,"10.1038/s41598-017-07129-4",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322",NA,"http://creativecommons.org/licenses/by/4.0",TRUE,"28811496",NA,NA,NA,TRUE
"liu",2017,1045,"10.1038/s41598-017-06457-9",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322",NA,"http://creativecommons.org/licenses/by/4.0",TRUE,"28765593","PMC5539109",NA,NA,TRUE
"liu",2017,1305,"10.1038/s41598-017-06339-0",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322",NA,"http://creativecommons.org/licenses/by/4.0",TRUE,"28740184","PMC5524911",NA,NA,TRUE
"liu",2017,1305,"10.1038/s41598-017-04041-9",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322",NA,"http://creativecommons.org/licenses/by/4.0",TRUE,"28634361","PMC5478663",NA,NA,TRUE
"liu",2017,1305,"10.1038/srep46092",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322",NA,NA,TRUE,"28382949","PMC5382674",NA,NA,TRUE
"liu",2017,1757,"10.1364/OE.25.008192",TRUE,"Optical Society of America (OSA)","Optics Express","1094-4087",NA,"1094-4087",NA,NA,TRUE,"28380934",NA,NA,NA,FALSE
"liu",2017,375,"10.1093/omcr/omx003",FALSE,"Oxford University Press (OUP)","Oxford Medical Case Reports","2053-8855",NA,"2053-8855",NA,NA,TRUE,"28473916","PMC5410880",NA,NA,TRUE
"liu",2017,2215,"10.1093/sf/sox043",TRUE,"Oxford University Press (OUP)","Social Forces","0037-7732","0037-7732","1534-7605",NA,NA,TRUE,NA,NA,NA,NA,FALSE
"liu",2017,652,"10.1042/BSR20160514",FALSE,"Portland Press Ltd.","Bioscience Reports","0144-8463","0144-8463","1573-4935",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"27986865","PMC5271673",NA,NA,FALSE
"liu",2017,1300,"10.1371/journal.pone.0178729",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"28570682","PMC5453572",NA,NA,TRUE
"liu",2017,1300,"10.1371/journal.pone.0178614",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"28609475","PMC5469470",NA,NA,TRUE
"liu",2017,1316,"10.1371/journal.pone.0177795",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"28520793","PMC5433745",NA,NA,TRUE
"liu",2017,1325,"10.1371/journal.pone.0177004",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"28481924","PMC5421773",NA,NA,TRUE
"liu",2017,1357,"10.1371/journal.pone.0174880",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"28448590","PMC5407645",NA,NA,TRUE
