institution	period	euro	doi	is_hybrid
liu	2017	2917	10.1002/aelm.201600530	TRUE
liu	2017	2817	10.1002/hep4.1134	FALSE
liu	2017	3667	10.1002/jbio.201700069	TRUE
liu	2017	1203	10.1002/nop2.89	FALSE
liu	2017	1413	10.1016/j.dcn.2017.07.009	FALSE
liu	2017	2691	10.1016/j.diff.2017.08.003	TRUE
liu	2017	1121	10.1016/j.heliyon.2017.e00339	FALSE
liu	2017	987	10.1016/j.indmarman.2016.12.007	TRUE
liu	2017	987	10.1016/j.indmarman.2016.12.015	TRUE
liu	2017	1121	10.1016/j.invent.2017.10.002	FALSE
liu	2017	1974	10.1016/j.jebo.2017.11.003	TRUE
liu	2017	1121	10.1016/j.jses.2017.04.001	FALSE
liu	2017	2691	10.1016/j.peptides.2017.04.011	TRUE
liu	2017	1346	10.1016/j.ynstr.2017.08.002	FALSE
liu	2017	1220	10.1021/acsomega.7b00535	FALSE
liu	2017	1217.8	10.1021/acsomega.7b00801	FALSE
liu	2017	1605	10.1038/bdjopen.2017.22	FALSE
liu	2017	1305	10.1038/s41598-017-09245-7	FALSE
liu	2017	1305	10.1038/s41598-017-09975-8	FALSE
liu	2017	1305	10.1038/s41598-017-10803-2	FALSE
liu	2017	1305	10.1038/s41598-017-11221-0	FALSE
liu	2017	1305	10.1038/s41598-017-12110-2	FALSE
liu	2017	1305	10.1038/s41598-017-12657-0	FALSE
liu	2017	1305	10.1038/s41598-017-12702-y	FALSE
liu	2017	1305	10.1038/s41598-017-16297-2	FALSE
liu	2017	1305	10.1038/s41598-017-16914-0	FALSE
liu	2017	1305	10.1038/s41598-017-17922-w	FALSE
liu	2017	1305	10.1038/s41598-017-17930-w	FALSE
liu	2017	1050	10.1038/sdata.2017.111	FALSE
liu	2017	1165	10.1038/srep35818	FALSE
liu	2017	1478.2	10.1039/C7NJ00716G	TRUE
liu	2017	545.2	10.1039/c7ra07673h	FALSE
liu	2017	2150	10.1080/01419870.2017.1361541	TRUE
liu	2017	2150	10.1080/09669760.2017.1414690	TRUE
liu	2017	1423.3000000000002	10.1080/20008198.2017.1380998	TRUE
liu	2017	1060.6000000000001	10.1080/2331205X.2016.1239796	FALSE
liu	2017	2597.2000000000003	10.1089/g4h.2016.0087	TRUE
liu	2017	2438	10.1093/deafed/enx023	FALSE
liu	2017	1698.7	10.1097/MD.0000000000007274	TRUE
liu	2017	1557	10.1103/PhysRevMaterials.1.033402	TRUE
liu	2017	1658	10.1109/LSP.2017.2753939	TRUE
liu	2017	2500	10.1111/cpf.12479	TRUE
liu	2017	2604	10.1111/irj.12198	TRUE
liu	2017	766	10.1117/1.JBO.22.10.106005	TRUE
liu	2017	762.9000000000001	10.1117/1.JBO.22.10.106006	TRUE
liu	2017	2961.5	10.1126/sciadv.1701017	FALSE
liu	2017	2600.3	10.1126/sciadv.1701099	FALSE
liu	2017	2609.1000000000004	10.1126/sciadv.aao3659	FALSE
liu	2017	1900	10.1136/bmjopen-2017-016527	FALSE
liu	2017	1425.3000000000002	10.1136/bmjopen-2017-018236	FALSE
liu	2017	2035.7	10.1136/oemed-2017-104458	TRUE
liu	2017	2502.3	10.1177/1094670517746776	TRUE
liu	2017	1289.9	10.1186/s12863-017-0566-7	FALSE
liu	2017	1422.8000000000002	10.1186/s12877-017-0591-4	FALSE
liu	2017	1475.5	10.1186/s12884-017-1514-2	FALSE
liu	2017	1557.5	10.1186/s12891-017-1853-1	FALSE
liu	2017	1542.5	10.1186/s12955-017-0830-6	FALSE
liu	2017	1700.4	10.1186/s13012-017-0699-0	FALSE
liu	2017	1568.8000000000002	10.1186/s13049-017-0439-0	FALSE
liu	2017	1722.6000000000001	10.1186/s13068-017-0814-0	FALSE
liu	2017	1722.6000000000001	10.1186/s13068-017-0815-z	FALSE
liu	2017	1522.6000000000001	10.1186/s13326-017-0166-5	FALSE
liu	2017	1280.4	10.1186/s13634-017-0492-x	FALSE
liu	2017	1213.8	10.1371/journal.pone.0178929	FALSE
liu	2017	1213.6000000000001	10.1371/journal.pone.0181551	FALSE
liu	2017	1215.9	10.1371/journal.pone.0182685	FALSE
liu	2017	1215.4	10.1371/journal.pone.0186824	FALSE
liu	2017	1260.9	10.1371/journal.pone.0188557	FALSE
liu	2017	75	10.1515/euco-2017-0027	FALSE
liu	2017	2722.3	10.18632/oncotarget.20906	FALSE
liu	2017	2708.5	10.18632/oncotarget.21653	FALSE
liu	2017	2393.5	10.18632/oncotarget.22471	FALSE
liu	2017	2317.9	10.18632/oncotarget.9623	FALSE
liu	2017	1688	10.2147/JPR.S143060	FALSE
liu	2017	1960	10.2147/JPR.S149826	FALSE
liu	2017	1323.1000000000001	10.29011/2575-7032/100024	FALSE
liu	2017	1323.1000000000001	10.29011/2575-7032/100025	FALSE
liu	2017	1250	10.3233/WOR-172609	TRUE
liu	2017	1595.4	10.3389/fcell.2017.00098	FALSE
liu	2017	817.3000000000001	10.3389/fenvs.2017.00082	FALSE
liu	2017	2093.6	10.3389/fimmu.2017.01994	FALSE
liu	2017	1792.7	10.3389/fnbeh.2017.00251	FALSE
liu	2017	2036.1000000000001	10.3389/fnins.2017.00586	FALSE
liu	2017	1985.5	10.3389/fphar.2017.00714	FALSE
liu	2017	745.1	10.3389/fphy.2017.00068	FALSE
liu	2017	2063.2000000000003	10.3389/fphys.2017.01052	FALSE
liu	2017	2120.1	10.3389/fpsyg.2017.01308	FALSE
liu	2017	2063.2000000000003	10.3389/fpsyg.2017.02186	FALSE
liu	2017	1970.6000000000001	10.3748/wjg.v23.i34.6212	FALSE
