institution	period	euro	doi	is_hybrid	publisher
liu	2018	291.90000000000003	10.1159/000489942	FALSE	Karger
liu	2018	1343.2	10.3390/en11092425	FALSE	MDPI
liu	2018	1023.4000000000001	10.3390/nano9010045	FALSE	MDPI
liu	2018	374.40000000000003	10.3390/microorganisms6040105	FALSE	MDPI
liu	2018	1090.6000000000001	10.3390/en11102784	FALSE	MDPI
liu	2018	1745	10.1186/s13063-018-3028-2	FALSE	BioMed Central
liu	2018	1745	10.1186/s12889-018-5778-x	FALSE	BioMed Central
liu	2018	1745	10.1186/s12913-018-3328-y	FALSE	BioMed Central
liu	2018	1745	10.1186/s40359-018-0252-1	FALSE	BioMed Central
liu	2018	1745	10.1186/s12905-018-0665-2	FALSE	BioMed Central
liu	2018	2050	10.1186/s13293-018-0217-3	FALSE	BioMed Central
liu	2018	1800	10.1186/s12873-018-0200-7	FALSE	BioMed Central
liu	2018	1800	10.1186/s12877-018-0963-4	FALSE	BioMed Central
liu	2018	1800	10.1186/s13071-018-3168-y	FALSE	BioMed Central
liu	2018	1800	10.1186/s12877-018-0942-9	FALSE	BioMed Central
liu	2018	1800	10.1186/s12875-018-0849-8	FALSE	BioMed Central
liu	2018	1538	10.1186/s12884-018-2001-0	FALSE	BioMed Central
liu	2018	1800	10.1186/s12877-018-0861-9	FALSE	BioMed Central
liu	2018	1995	10.1186/s12974-018-1249-7	FALSE	BioMed Central
liu	2018	1900	10.1136/bmjopen-2018-027387	FALSE	BMJ
liu	2018	1100	10.17645/pag.v6i3.1481	FALSE	Cogitatio
liu	2018	979	10.1016/j.linged.2018.08.005	TRUE	Elsevier
liu	2018	1290	10.1016/j.crm.2018.12.003	TRUE	Elsevier
liu	2018	2892	10.1016/j.surfcoat.2018.12.090	TRUE	Elsevier
liu	2018	1510	10.1016/j.nicl.2018.11.012	FALSE	Elsevier
liu	2018	2160	10.1016/j.mri.2018.11.003	TRUE	Elsevier
liu	2018	1810	10.1016/j.invent.2018.10.001	FALSE	Elsevier
liu	2018	972	10.1016/j.giq.2018.09.001	TRUE	Elsevier
liu	2018	2077	10.1016/j.mcn.2018.09.003	TRUE	Elsevier
liu	2018	4419	10.1016/j.celrep.2018.08.031	FALSE	Elsevier
liu	2018	2704	10.1016/j.pscychresns.2018.08.007	TRUE	Elsevier
liu	2018	1856	10.1016/j.apmt.2018.07.004	TRUE	Elsevier
liu	2018	3579	10.1016/j.bbadis.2018.06.020	TRUE	Elsevier
liu	2018	600	10.1088/2399-6528/aaf7c9	FALSE	IOP Publishing
liu	2018	1385	10.2166/wst.2018.352	FALSE	IWA Publishing
liu	2018	427	10.3390/biology7040050	FALSE	MDPI
liu	2018	1050	10.3390/en11123241	FALSE	MDPI
liu	2018	1182	10.3390/ijms19123724	FALSE	MDPI
liu	2018	1026	10.3390/ma12020215	FALSE	MDPI
liu	2018	1182	10.3390/nu10101556	FALSE	MDPI
liu	2018	1320	10.3390/w10081102	FALSE	MDPI
liu	2018	3850	10.1038/s41467-018-06725-w	FALSE	Springer
liu	2018	3850	10.1038/s41467-018-06717-w	FALSE	Springer
liu	2018	1370	10.1038/s41598-018-30556-w	FALSE	Springer
liu	2018	1370	10.1038/s41598-018-33521-9	FALSE	Springer
liu	2018	1370	10.1038/s41598-018-34519-z	FALSE	Springer
liu	2018	1370	10.1038/s41598-018-34279-w	FALSE	Springer
liu	2018	1764	10.1038/s41398-018-0316-2	TRUE	Springer
liu	2018	810	10.1098/rsos.181096	FALSE	The Royal Society
liu	2018	885	10.1080/21693277.2018.1528904	FALSE	Taylor & Francis
liu	2018	4163	10.1002/advs.201801339	FALSE	Wiley
liu	2018	1205	10.14814/phy2.13968	FALSE	Wiley
liu	2018	4479	10.1111/jgs.15694	TRUE	Wiley
liu	2018	3000	10.1002/mrm.27590	TRUE	Wiley
liu	2018	1750	10.1002/ehf2.12369	FALSE	Wiley
liu	2018	1338	10.1002/hsr2.87	FALSE	Wiley
liu	2018	2500	10.1111/cpf.12545	TRUE	Wiley
liu	2018	1374.5	10.1302/2046-3758.712.bjr-2017-0366.r2	FALSE	British Editorial Society of Bone & Joint Surgery
liu	2018	2213.3	10.1017/bpp.2018.41	TRUE	Cambridge University Press (CUP)
