"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"liu",2018,291.90000000000003,"10.1159/000489942",FALSE,"Karger","Brain, Behavior and Evolution","0006-8977","0006-8977","1421-9743",NA,"https://www.karger.com/Services/SiteLicenses",TRUE,"29961048",NA,NA,NA,FALSE
"liu",2018,1343.2,"10.3390/en11092425",FALSE,"MDPI","Energies","1996-1073",NA,"1996-1073",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"liu",2018,1023.4000000000001,"10.3390/nano9010045",FALSE,"MDPI","Nanomaterials","2079-4991",NA,"2079-4991",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,"30602653","PMC6359005",NA,NA,TRUE
"liu",2018,374.40000000000003,"10.3390/microorganisms6040105",FALSE,"MDPI","Microorganisms","2076-2607",NA,"2076-2607",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,"30314333","PMC6313639",NA,NA,TRUE
"liu",2018,1090.6000000000001,"10.3390/en11102784",FALSE,"MDPI","Energies","1996-1073",NA,"1996-1073",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"liu",2018,1745,"10.1186/s13063-018-3028-2",FALSE,"BioMed Central","Trials","1745-6215",NA,"1745-6215",NA,NA,TRUE,"30466484","PMC6249762",NA,NA,TRUE
"liu",2018,1745,"10.1186/s12889-018-5778-x",FALSE,"BioMed Central","BMC Public Health","1471-2458",NA,"1471-2458",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"30045705","PMC6060513",NA,NA,TRUE
"liu",2018,1745,"10.1186/s12913-018-3328-y",FALSE,"BioMed Central","BMC Health Services Research","1472-6963",NA,"1472-6963",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"29996832","PMC6042365",NA,NA,TRUE
"liu",2018,1745,"10.1186/s40359-018-0252-1",FALSE,"BioMed Central","BMC Psychology","2050-7283",NA,"2050-7283",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"30213276","PMC6136221",NA,NA,TRUE
"liu",2018,1745,"10.1186/s12905-018-0665-2",FALSE,"BioMed Central","BMC Women's Health","1472-6874",NA,"1472-6874",NA,NA,TRUE,"30359245","PMC6202813",NA,NA,TRUE
"liu",2018,2050,"10.1186/s13293-018-0217-3",FALSE,"BioMed Central","Biology of Sex Differences","2042-6410",NA,"2042-6410",NA,NA,TRUE,"30594242","PMC6311011",NA,NA,TRUE
"liu",2018,1800,"10.1186/s12873-018-0200-7",FALSE,"BioMed Central","BMC Emergency Medicine","1471-227X",NA,"1471-227X",NA,NA,TRUE,"30497397","PMC6267912",NA,NA,TRUE
"liu",2018,1800,"10.1186/s12877-018-0963-4",FALSE,"BioMed Central","BMC Geriatrics","1471-2318",NA,"1471-2318",NA,NA,TRUE,"30409125","PMC6225711",NA,NA,TRUE
"liu",2018,1800,"10.1186/s13071-018-3168-y",FALSE,"BioMed Central","Parasites & Vectors","1756-3305",NA,"1756-3305",NA,NA,TRUE,"30514355","PMC6278014",NA,NA,TRUE
