institution	period	euro	doi	is_hybrid	publisher
liu	2019	958.7264	10.1016/j.indmarman.2019.05.005	TRUE	Elsevier
liu	2019	936.6368	10.1016j.indmarman.2019.03.015	TRUE	Elsevier
liu	2019	2233.3152	10.1002/mp.13533	TRUE	Wiley
liu	2019	2843.9888	10.1016/j.ijfatigue.2019.02.034	TRUE	Elsevier
liu	2019	493.5232	10.1080/02813432.2019.1608068	FALSE	Taylor & Francis
liu	2019	2757.1408	10.1016/j.ijplas.2018.11.019	TRUE	Elsevier
liu	2019	729.9952	10.1162/jocn_a_01367	TRUE	MIT press
liu	2019	3183.8288	10.1016/j.gloenvcha.2019.01.006	TRUE	Elsevier
liu	2019	1889.7936	10.1177/0963689719833305	FALSE	SAGE Publications
liu	2019	1898.7616	10.1371/journal.pcbi.1006709	FALSE	Public Library of Science (PLoS)
liu	2019	2107.1023999999998	10.1371/journal.pcbi.1007157	FALSE	Public Library of Science (PLoS)
liu	2019	1623.68	10.2340/16501977-2569	FALSE	Acta Dermato-Venereologica
liu	2019	1616.128	10.2340/16501977-2573	FALSE	Acta Dermato-Venereologica
liu	2019	1579.9728	10.2340/16501977-2519	FALSE	Acta Dermato-Venereologica
liu	2019	2091.8096	10.3389/fnins.2019.00153	FALSE	Frontiers
liu	2019	2043.6656	10.1088/1758-5090/aaf657	TRUE	IOP Publishing
liu	2019	1022.0688	10.3892/ol.2019.9998	TRUE	Spandidos Publications
liu	2019	1235.1296	10.3892/ol.2019.10890	TRUE	Spandidos Publications
liu	2019	876.5984	10.1080/1943815x.2019.1579740	FALSE	Taylor & Francis
liu	2019	2237.1856	10.1136/bmjqs-2018-008524	TRUE	BMJ
liu	2019	1059.6399999999999	10.1016/j.esr.2019.03.004	FALSE	Elsevier
liu	2019	1135.16	10.1145/3322129	TRUE	Association for Computing Machinery (ACM)
liu	2019	1097.0224	10.3390/su11030754	FALSE	MDPI
liu	2019	1274.5888	10.26420/thrombhaemostres.2019.1019	TRUE	Austin Publishing Group
liu	2019	627.0992	10.4236/jtts.2019.92008	TRUE	Scientific Research Publishing
liu	2019	2025.7296	10.1016/j.ydbio.2019.02.002	TRUE	Elsevier
liu	2019	2434.1983999999998	10.1108/jd-11-2018-0193	TRUE	Emerald
liu	2019	2043.6656	10.1088/1361-6463/aaeb1b	TRUE	IOP Publishing
liu	2019	1667.2928	10.1016/j.jbusres.2019.02.012	TRUE	Elsevier
liu	2019	2903.6495999999997	10.1097/j.pain.0000000000001589	TRUE	Lippincott Williams & Wilkins
liu	2019	2030.9216	10.2147/jpr.s189443	FALSE	Dove Medical Press
liu	2019	1752.0639999999999	10.2147/jpr.s190003	FALSE	Dove Medical Press
liu	2019	2543.4192	10.1108/rpj-10-2018-0262	TRUE	Emerald
liu	2019	1160.9312	10.3390/ijms20030513	FALSE	MDPI
liu	2019	861.5888	10.3390/s19040918	FALSE	MDPI
liu	2019	1214.6448	10.3390/s19102393	FALSE	MDPI
liu	2019	1766.0352	10.1186/s12877-019-1128-9	FALSE	BioMed Central
liu	2019	1743.4736	10.1186/s12884-019-2239-1	FALSE	BioMed Central
liu	2019	1722.9887999999999	10.1186/s12888-019-2082-y	FALSE	BioMed Central
liu	2019	1755.9343999999999	10.1186/s12891-019-2433-3	FALSE	BioMed Central
liu	2019	1722.7056	10.1186/s12905-019-0753-y	FALSE	BioMed Central
liu	2019	1727.7087999999999	10.1186/s12913-019-4015-3	FALSE	BioMed Central
liu	2019	1741.3968	10.1186/s12913-019-3902-y	FALSE	BioMed Central
liu	2019	1862.4176	10.1186/s12935-019-0733-1	FALSE	BioMed Central
liu	2019	1802.9456	10.1186/s12955-019-1174-1	FALSE	BioMed Central
liu	2019	2612.4256	10.1097/aud.0000000000000700	TRUE	Lippincott Williams & Wilkins
liu	2019	2318.936	10.3389/fpsyg.2019.00852	FALSE	Frontiers
liu	2019	2381.8064	10.3389/fpsyg.2019.01149	FALSE	Frontiers
liu	2019	1913.96	10.3389/fpsyg.2019.01404	FALSE	Frontiers
liu	2019	2380.5792	10.3389/fpsyg.2019.01536	FALSE	Frontiers
liu	2019	2380.5792	10.3389/fpsyg.2019.01546	FALSE	Frontiers
liu	2019	2319.6911999999998	10.3389/fimmu.2019.00982	FALSE	Frontiers
liu	2019	2334.2288	10.3389/fimmu.2019.00506	FALSE	Frontiers
liu	2019	300.4752	10.4064/am2385-6-2019	FALSE	Polska Akademia Nauk
liu	2019	2025.8239999999998	10.1186/s12991-019-0231-9	FALSE	BioMed Central
liu	2019	1843.0656	10.1186/s13063-019-3460-y	FALSE	BioMed Central
liu	2019	1872.3296	10.1186/s13049-019-0597-3	FALSE	BioMed Central
liu	2019	949.7583999999999	10.1016/j.giq.2019.03.002	TRUE	Elsevier
liu	2019	1853.9216	10.2196/12396	FALSE	JMIR Publications
liu	2019	1778.7792	10.2196/12898	FALSE	JMIR Publications
liu	2019	1915.7536	10.2196/13119	FALSE	JMIR Publications
liu	2019	1430.2544	10.1371/journal.pone.0206270	FALSE	Public Library of Science (PLoS)
liu	2019	1393.0608	10.1371/journal.pone.0215094	FALSE	Public Library of Science (PLoS)
liu	2019	1345.2944	10.1371/journal.pone.0211283	FALSE	Public Library of Science (PLoS)
liu	2019	1345.2944	10.1371/journal.pone.0207166	FALSE	Public Library of Science (PLoS)
liu	2019	1305.7408	10.1371/journal.pone.0215121	FALSE	Public Library of Science (PLoS)
