"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"liu",2019,958.7264,"10.1016/j.indmarman.2019.05.005",TRUE,"Elsevier","Industrial Marketing Management","0019-8501","0019-8501",NA,NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE
"liu",2019,936.6368,"10.1016j.indmarman.2019.03.015",TRUE,"Elsevier",NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
"liu",2019,2233.3152,"10.1002/mp.13533",TRUE,"Wiley","Medical Physics","0094-2405","0094-2405","2473-4209",NA,"http://doi.wiley.com/10.1002/tdm_license_1.1",TRUE,"30972758","PMC6852298",NA,NA,FALSE
"liu",2019,2843.9888,"10.1016/j.ijfatigue.2019.02.034",TRUE,"Elsevier","International Journal of Fatigue","0142-1123","0142-1123",NA,NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE
"liu",2019,493.5232,"10.1080/02813432.2019.1608068",FALSE,"Taylor & Francis","Scandinavian Journal of Primary Health Care","0281-3432","0281-3432","1502-7724",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"31122099","PMC6567000",NA,NA,TRUE
"liu",2019,2757.1408,"10.1016/j.ijplas.2018.11.019",TRUE,"Elsevier","International Journal of Plasticity","0749-6419","0749-6419",NA,NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE
"liu",2019,729.9952,"10.1162/jocn_a_01367",TRUE,"MIT press","Journal of Cognitive Neuroscience","0898-929X","0898-929X","1530-8898",NA,NA,TRUE,"30566368",NA,NA,NA,FALSE
"liu",2019,3183.8288,"10.1016/j.gloenvcha.2019.01.006",TRUE,"Elsevier","Global Environmental Change","0959-3780","0959-3780",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE
"liu",2019,1889.7936,"10.1177/0963689719833305",FALSE,"SAGE Publications","Cell Transplantation","0963-6897","0963-6897","1555-3892",NA,"http://journals.sagepub.com/page/policies/text-and-data-mining-license",TRUE,"30983404",NA,NA,NA,TRUE
"liu",2019,1898.7616,"10.1371/journal.pcbi.1006709",FALSE,"Public Library of Science (PLoS)","PLOS Computational Biology","1553-7358",NA,"1553-7358",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"30653495","PMC6353224",NA,NA,TRUE
