institution	period	euro	doi	is_hybrid	publisher
liu	2020	1086.80	10.23865/njlr.v6.1820	FALSE	Cappelen Damm Akademisk
liu	2020	2119.41	10.2196/22668	FALSE	JMIR Publications
liu	2020	686.78	10.3390/aerospace7090135	FALSE	MDPI
liu	2020	1652.14	10.3390/ma13214930	FALSE	MDPI
liu	2020	2057.97	10.1097/poc.0000000000000208	TRUE	Wolters Kluwer
liu	2020	1311.46	10.1063/5.0023347	FALSE	AIP Publishing
liu	2020	1375.76	10.3390/ijms21218072	FALSE	MDPI
liu	2020	1369.56	10.3390/jcm9082598	FALSE	MDPI
liu	2020	195.00	10.5114/jcb.2021.103588	FALSE	TERMEDIA
liu	2020	3655.73	10.1126/sciadv.abd8738	FALSE	American Association for the Advancement of Science (AAAS)
liu	2020	2492.90	10.1002/ctm2.159	FALSE	Wiley
liu	2020	2249.15	10.1016/j.jweia.2020.104301	TRUE	Elsevier
liu	2020	1432.72	10.1371/journal.pone.0241319	FALSE	Public Library of Science (PLoS)
liu	2020	305.28	10.15195/v7.a17	FALSE	Society for Sociological Science
liu	2020	1460.86	10.3390/en14010003	FALSE	MDPI
liu	2020	1555.78	10.1038/s41598-020-73740-7	FALSE	Springer
liu	2020	1906.66	10.1044/2020_jslhr-20-00007	TRUE	American Speech-Language-Hearing Association (ASHA)
liu	2020	1661.01	10.1085/jgp.202012576	TRUE	Rockefeller University Press
liu	2020	1185.92	10.1136/bmjopen-2020-041819	FALSE	BMJ
liu	2020	2076.67	10.7554/elife.57869	FALSE	eLife Sciences Publications
liu	2020	1264.72	10.3390/su12198104	FALSE	MDPI
liu	2020	973.84	10.1080/13814788.2020.1852547	FALSE	Taylor & Francis
liu	2020	2368.40	10.3389/fimmu.2020.622326	FALSE	Frontiers
liu	2020	1462.67	10.3390/su12229540	FALSE	MDPI
liu	2020	2234.17	10.2196/17999	FALSE	JMIR Publications
liu	2020	1847.13	10.1073/pnas.2006024117	TRUE	National Academy of Sciences
liu	2020	967.07	10.3390/biomedicines8100408	FALSE	MDPI
liu	2020	1771.67	10.1155/2021/8862893	FALSE	Hindawi Publishing Corporation
liu	2020	1445.88	10.1371/journal.pone.0240787	FALSE	Public Library of Science (PLoS)
liu	2020	1372.71	10.3390/ijms21155477	FALSE	MDPI
liu	2020	2838.34	10.1088/1758-5090/ab9490	TRUE	IOP Publishing
liu	2020	1367.46	10.3390/nu12082358	FALSE	MDPI
liu	2020	2226.54	10.1088/1361-6595/abaeb4	TRUE	IOP Publishing
liu	2020	1672.84	10.2196/23677	FALSE	JMIR Publications
liu	2020	1164.17	10.1109/ojcoms.2020.3044280	FALSE	Institute of Electrical & Electronics Engineers (IEEE)
liu	2020	1392.94	10.3390/jcm9072143	FALSE	MDPI
liu	2020	1484.90	10.1080/02813432.2020.1842966	FALSE	Taylor & Francis
liu	2020	2437.09	10.1080/14747731.2020.1736853	TRUE	Taylor & Francis
liu	2020	1370.52	10.3390/su12187351	FALSE	MDPI
liu	2020	2220.82	10.3389/fpsyg.2020.534741	FALSE	Frontiers
liu	2020	1820.42	10.3390/jcm9113527	FALSE	MDPI
liu	2020	1579.82	10.2340/16501977-2771	FALSE	Medical Journals Sweden
liu	2020	1088.13	10.1073/pnas.2010625117	TRUE	National Academy of Sciences
liu	2020	1815.65	10.3390/jcm9113560	FALSE	MDPI
liu	2020	1945.21	10.3389/fcvm.2020.617755	FALSE	Frontiers
liu	2020	1235.62	10.3390/genes11080869	FALSE	MDPI
liu	2020	2221.29	10.3389/fonc.2020.567042	FALSE	Frontiers
liu	2020	1222.74	10.1136/bmjopen-2020-040991	FALSE	BMJ
liu	2020	1343.23	10.1371/journal.pone.0239818	FALSE	Public Library of Science (PLoS)
liu	2020	1126.48	10.3390/e22101094	FALSE	MDPI
liu	2020	2226.54	10.1088/1361-665x/ab9f48	TRUE	IOP Publishing
liu	2020	2929.54	10.1158/0008-5472.can-20-1705	TRUE	American Association for Cancer Research (AACR)
liu	2020	2218.81	10.3389/fpsyg.2020.560178	FALSE	Frontiers
liu	2020	729.71	10.3390/coatings10080768	FALSE	MDPI
liu	2020	2220.82	10.3389/fimmu.2020.564921	FALSE	Frontiers
liu	2020	1544.43	10.2196/21698	FALSE	JMIR Publications
liu	2020	1869.55	10.3389/fmed.2020.581336	FALSE	Frontiers
liu	2020	1874.90	10.3390/ijerph17249303	FALSE	MDPI
liu	2020	1211.10	10.1089/whr.2020.0099	FALSE	Mary Ann Liebert
liu	2020	2670.53	10.1504/ijem.2020.113936	TRUE	Inderscience Publishers
liu	2020	5197.11	10.1007/s13300-020-00937-4	FALSE	Springer
liu	2020	1243.44	10.3390/su12208465	FALSE	MDPI
liu	2020	2516.37	10.1115/1.4048351	TRUE	American Society of Mechanical Engineers
liu	2020	2303.43	10.3389/fimmu.2020.01916	FALSE	Frontiers
liu	2020	1727.98	10.2340/00015555-3622	FALSE	Acta Dermato-Venereologica
liu	2020	1678.28	10.3390/ijms21134757	FALSE	MDPI
liu	2020	860.22	10.5334/ijc.1034	FALSE	Utrecht University Library Open Access Journals
liu	2020	2621.21	10.1108/jmtm-09-2018-0304	TRUE	Emerald
liu	2020	1109.22	10.1136/bmjopen-2020-040962	FALSE	BMJ
liu	2020	2247.62	10.3389/fneur.2020.00966	FALSE	Frontiers
liu	2020	2493.76	10.3389/fonc.2020.598684	FALSE	Frontiers
liu	2020	3758.38	10.1126/sciadv.abb5381	FALSE	American Association for the Advancement of Science (AAAS)
liu	2020	1492.06	10.3390/su12198271	FALSE	MDPI
liu	2020	853.64	10.3389/fclim.2020.604787	FALSE	Frontiers
liu	2020	1623.52	10.1136/medhum-2020-011864	FALSE	BMJ
liu	2020	821.58	10.1177/2055102920975983	FALSE	SAGE Publications
liu	2020	1650.90	10.3390/nano10112168	FALSE	MDPI
liu	2020	616.57	10.1088/2053-1591/abc193	FALSE	IOP Publishing
liu	2020	1334.46	10.1371/journal.pone.0238059	FALSE	Public Library of Science (PLoS)
liu	2020	1141.37	10.3390/jpm10040226	FALSE	MDPI
liu	2020	2247.24	10.2196/19550	FALSE	JMIR Publications
liu	2020	1209.00	10.1080/17482631.2020.1861719	FALSE	Taylor & Francis
liu	2020	1392.17	10.3390/ijerph17145051	FALSE	MDPI
liu	2020	1690.39	10.1364/oe.408637	FALSE	The Optical Society
liu	2020	1197.84	10.1109/ojcoms.2020.3020925	FALSE	Institute of Electrical & Electronics Engineers (IEEE)
liu	2020	1289.43	10.3390/jpm10040168	FALSE	MDPI
liu	2020	1637.06	10.2340/16501977-2758	FALSE	Medical Journals Sweden
