"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"liu",2020,1086.8,"10.23865/njlr.v6.1820",FALSE,"Cappelen Damm Akademisk","Nordic Journal of Literacy Research","2464-1596","2464-1596",NA,NA,NA,TRUE,NA,NA,NA,NA,TRUE
"liu",2020,2119.41,"10.2196/22668",FALSE,"JMIR Publications","Journal of Medical Internet Research","1438-8871",NA,"1438-8871",NA,NA,TRUE,"33595439","PMC7929737",NA,NA,TRUE
"liu",2020,686.78,"10.3390/aerospace7090135",FALSE,"MDPI","Aerospace","2226-4310",NA,"2226-4310",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"liu",2020,1652.14,"10.3390/ma13214930",FALSE,"MDPI","Materials","1996-1944",NA,"1996-1944",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,"33147831","PMC7662829",NA,NA,TRUE
"liu",2020,2057.97,"10.1097/poc.0000000000000208",TRUE,"Wolters Kluwer","Point of Care: The Journal of Near-Patient Testing & Technology","1533-0303","1533-029X","1533-0303",NA,NA,TRUE,NA,NA,NA,NA,FALSE
"liu",2020,1311.46,"10.1063/5.0023347",FALSE,"AIP Publishing","AIP Advances","2158-3226",NA,"2158-3226",NA,NA,TRUE,NA,NA,NA,NA,TRUE
"liu",2020,1375.76,"10.3390/ijms21218072",FALSE,"MDPI","International Journal of Molecular Sciences","1422-0067",NA,"1422-0067",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,"33138083","PMC7663737",NA,NA,TRUE
"liu",2020,1369.56,"10.3390/jcm9082598",FALSE,"MDPI","Journal of Clinical Medicine","2077-0383",NA,"2077-0383",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,"32796552","PMC7464390",NA,NA,TRUE
"liu",2020,195,"10.5114/jcb.2021.103588",FALSE,"Termedia Sp. z.o.o.","Journal of Contemporary Brachytherapy","1689-832X","1689-832X",NA,NA,NA,TRUE,"34025738","PMC8117718",NA,NA,TRUE
"liu",2020,3655.73,"10.1126/sciadv.abd8738",FALSE,"American Association for the Advancement of Science (AAAS)","Science Advances","2375-2548",NA,"2375-2548",NA,"https://creativecommons.org/licenses/by-nc/4.0/",TRUE,"33514549","PMC7846156",NA,NA,TRUE
