institution	period	euro	doi	is_hybrid	publisher
liu	2019	2623.2816	10.1016/j.actamat.2019.08.034	TRUE	Elsevier
liu	2019	2680.7712	10.1111/apa.15093	TRUE	Wiley
liu	2019	700.6368	10.1177/2058460119889871	FALSE	SAGE
liu	2019	3104.7216	10.1002/admt.201900860	TRUE	Wiley
liu	2019	3181.2799999999997	10.1002/admt.201900262	TRUE	Wiley
liu	2019	3729.6495999999997	10.1002/advs.201902866	FALSE	Wiley
liu	2019	4185.4128	10.1002/advs.201902428	FALSE	Wiley
liu	2019	4216.2816	10.1002/advs.201901144	FALSE	Wiley
liu	2019	4216.2816	10.1002/advs.201901144	FALSE	Wiley
liu	2019	3034.7712	10.1097/SLA.0000000000003701	TRUE	Lippincott Williams & Wilkins
liu	2019	1263.072	10.21037/atm.2019.12.125	FALSE	AME Publishing Company
liu	2019	2523.4064	10.1063/1.5123374	TRUE	AIP Publishing
liu	2019	4235.3504	10.1161/ATVBAHA.118.312190	TRUE	American Heart Association
liu	2019	2168.5568	10.1017/bpp.2019.17	TRUE	Cambridge University Press
liu	2019	1993.9168	10.1042/BCJ20190594	TRUE	Portland Press
liu	2019	2881.56	10.1016/j.biopsych.2019.07.034	TRUE	Elsevier
liu	2019	1803.2287999999999	10.1155/2019/5302462	FALSE	Hindawi Publishing Corporation
liu	2019	2045.0816	10.1088/2057-1976/ab42ee	TRUE	IoP Publishing
liu	2019	1172.7312	10.3399/bjgpopen20X101015	FALSE	Royal College of General Practitioners
liu	2019	1643.7872	10.1002/bjs5.50226	FALSE	Wiley
liu	2019	1924.0608	10.1186/s12904-019-0446-1	FALSE	BioMed Central
liu	2019	1744.4176	10.1186/s12887-019-1578-4	FALSE	BioMed Central
liu	2019	1682.4912	10.1002/cam4.2687	FALSE	Wiley
liu	2019	4531.9552	10.1016/j.celrep.2019.11.038	FALSE	Elsevier
liu	2019	1215.2112	10.3390/cells9010043	FALSE	MDPI
liu	2019	1207.9424	10.3390/cells8070672	FALSE	MDPI
liu	2019	1086.072	10.3390/coatings9120841	FALSE	MDPI
liu	2019	1120.8111999999999	10.3390/coatings9100660	FALSE	MDPI
liu	2019	952.6848	10.4236/ce.2019.109149	TRUE	SCIRP
liu	2019	1582.9936	10.1093/crocol/otz010	TRUE	Oxford University Press
liu	2019	411.11199999999997	10.5334/dsj-2019-050	FALSE	Ubiquity
liu	2019	1709.3952	10.1159/000501365	FALSE	Karger Publishers
liu	2019	2967.464	10.1016/j.diabres.2019.107817	TRUE	Elsevier
liu	2019	369.104	10.3390/educsci9030197	FALSE	MDPI
liu	2019	1451.9664	10.29011/2575-7032/10000161	TRUE	Gavin Publishers
liu	2019	2196.4048	10.7554/eLife.45274.001	FALSE	eLife Sciences Publications
liu	2019	1223.5184	10.3390/en12244811	FALSE	MDPI
liu	2019	1240.0384	10.3390/en12214159	FALSE	MDPI
liu	2019	2794.712	10.1016/j.energy.2019.115919	TRUE	Elsevier
liu	2019	1111.4656	10.3390/e21080800	FALSE	MDPI
liu	2019	1509.2672	10.1016/j.envint.2019.104985	FALSE	Elsevier
liu	2019	2048.5744	10.1002/ehf2.12542	FALSE	Wiley
liu	2019	1248.44	10.1186/s13638-019-1507-0	FALSE	Springer Open
liu	2019	2144.6736	10.1016/j.ejon.2019.101713	TRUE	Elsevier
liu	2019	1386.5472	10.1002/2211-5463.12773	FALSE	Wiley
liu	2019	2045.0816	10.1088/2058-8585/ab3f53	TRUE	IoP Publishing
liu	2019	2757.5184	10.1088/2058-8585/ab17b1	TRUE	IoP Publishing
liu	2019	2642.1616	10.29219/fnr.v63.1618	FALSE	Swedish Nutrition Foundation
liu	2019	2457.3264	10.3389/fnhum.2019.00374	FALSE	Frontiers Media
liu	2019	2412.5807999999997	10.3389/fimmu.2019.02889	FALSE	Frontiers Media
liu	2019	2382.9392	10.3389/fimmu.2019.01946	FALSE	Frontiers Media
liu	2019	2382.9392	10.3389/fnmol.2019.00200	FALSE	Frontiers Media
liu	2019	2680.5824	10.3389/fninf.2019.00076	FALSE	Frontiers Media
liu	2019	2249.552	10.3389/fonc.2019.01465	FALSE	Frontiers Media
liu	2019	1986.176	10.3389/fonc.2019.00746	FALSE	Frontiers Media
liu	2019	2144.1072	10.3389/fphys.2019.01551	FALSE	Frontiers Media
liu	2019	2461.6688	10.3389/fphys.2019.01215	FALSE	Frontiers Media
liu	2019	2407.9552	10.3389/fpsyt.2019.00749	FALSE	Frontiers Media
liu	2019	2362.5488	10.3389/fpsyg.2019.03035	FALSE	Frontiers Media
liu	2019	2471.6752	10.3389/fpsyg.2019.02406	FALSE	Frontiers Media
liu	2019	2675.4847999999997	10.3389/fpsyg.2019.02243	FALSE	Frontiers Media
liu	2019	2417.112	10.3389/fpsyg.2019.01929	FALSE	Frontiers Media
liu	2019	2344.8959999999997	10.3389/fpsyg.2019.01752	FALSE	Frontiers Media
liu	2019	1556.5616	10.3389/fpubh.2019.00267	FALSE	Frontiers Media
liu	2019	1147.6208	10.1016/j.futures.2019.102472	TRUE	Elsevier
liu	2019	2440.8064	10.1186/s13073-019-0657-3	FALSE	BioMed Central
liu	2019	1599.136	10.3324/haematol.2018.205815	FALSE	Ferrata Storti Foundation
liu	2019	2898.6464	10.1002/hec.3933	TRUE	Wiley
liu	2019	2110.312	10.1111/hex.12945	FALSE	Wiley
liu	2019	2163.4592	10.1016/j.hrtlng.2019.04.003	TRUE	Elsevier
liu	2019	1294.0352	10.21037/hbsn.2019.10.36	TRUE	AME Publishing Company
liu	2019	1383.0544	10.1109/ACCESS.2019.2948793	FALSE	IEEE
liu	2019	1609.048	10.1109/ACCESS.2019.2944210	FALSE	IEEE
liu	2019	1318.296	10.1109/ACCESS.2019.2928764	FALSE	IEEE
liu	2019	1609.048	10.1109/ACCESS.2019.2944210	FALSE	IEEE
liu	2019	1283.2736	10.1109/OJCOMS.2019.2959913	FALSE	IEEE
liu	2019	1006.2096	10.1177/0046958019880699	FALSE	SAGE
liu	2019	779.3664	10.1016/j.inat.2019.100618	FALSE	Elsevier
liu	2019	2663.1184	10.1080/14992027.2019.1677951	TRUE	Taylor & Francis
liu	2019	2618.1839999999997	10.3892/ijo.2019.4892	TRUE	Spandidos
liu	2019	2215.4736	10.1016/j.invent.2019.100282	FALSE	Elsevier
liu	2019	1335.5711999999999	10.1167/iovs.19-27591	FALSE	Association for Research in Vision and Ophthalmology
liu	2019	1659.552	10.2196/14648	FALSE	JMIR
liu	2019	1856.5647999999999	10.2196/14588	FALSE	JMIR
liu	2019	1374.464	10.2514/1.C035640	TRUE	AIAA
liu	2019	1024.24	10.18564/jasss.4115	FALSE	University of Surrey
liu	2019	1142.4288	10.1117/1.JBO.24.9.095002	FALSE	Society of Photo-optical Instrumentation Engineers (SPIE)
liu	2019	699.504	10.3390/c5030051	FALSE	MDPI
liu	2019	2095.0191999999997	10.1016/j.jebo.2019.12.012	TRUE	Elsevier
liu	2019	2108.2352	10.1016/j.jebo.2019.06.008	TRUE	Elsevier
liu	2019	2034.9808	10.1007/S10896-019-00066-y	TRUE	Springer
liu	2019	3736.0688	10.1002/jmri.26879	TRUE	Wiley
liu	2019	1950.9648	10.2196/14420	FALSE	JMIR
liu	2019	2298.7344	10.2196/15445	FALSE	JMIR
liu	2019	1936.616	10.2196/14419	FALSE	JMIR
liu	2019	2370.7616	10.2196/13393	FALSE	JMIR
liu	2019	2045.0816	10.1088/1361-6463/ab2859	TRUE	IoP Publishing
liu	2019	2757.5184	10.1088/1361-648X/ab0fd2	TRUE	IoP Publishing
liu	2019	1601.024	10.2340/16501977-2574	FALSE	Stiftelsen Rehabiliteringsinformation
liu	2019	1623.68	10.2340/16501977-2593	FALSE	Stiftelsen Rehabiliteringsinformation
liu	2019	2068.304	10.1016/j.jsams.2019.11.008	TRUE	Elsevier
liu	2019	2594.3952	10.1108/JSM-11-2018-0350	TRUE	Emerald Publishing
liu	2019	2349.0496	10.1108/JSMA-01-2019-0015	TRUE	Emerald Publishing
liu	2019	2022.8032	10.1116/1.5122824	TRUE	AIP Publishing
liu	2019	954.384	10.1016/j.linged.2019.100753	TRUE	Elsevier
liu	2019	618.2256	10.1080/21663831.2019.1644684	TRUE	Taylor & Francis
liu	2019	3411.8992	10.1128/mBio.02834-19	FALSE	American Society for Microbiology
liu	2019	1766.9792	10.1097/MD.0000000000018130	FALSE	Wolters Kluwer
liu	2019	953.912	10.3390/mi10120835	FALSE	MDPI
liu	2019	2261.2576	10.1177/1744806919898360	FALSE	SAGE
liu	2019	2045.0816	10.1088/1361-6528/ab2cdb	TRUE	IoP Publishing
liu	2019	2757.5184	10.1088/1361-6528/ab1546	TRUE	IoP Publishing
liu	2019	1399.2912	10.1038/s41566-019-0390-x	TRUE	Springer
liu	2019	2294.392	10.1016/j.nicl.2019.102026	FALSE	Elsevier
liu	2019	2231.7104	10.1016/j.nicl.2019.101946	FALSE	Elsevier
liu	2019	2614.5024	10.1080/13825585.2019.1648747	TRUE	Taylor & Francis
liu	2019	1261.8448	10.1038/s41524-019-0225-9	FALSE	Springer
liu	2019	1652.0944	10.1002/osp4.377	FALSE	Wiley
liu	2019	948.4368	10.3892/ol.2019.11109	TRUE	Spandidos
liu	2019	717.8176	10.1177/2325967119893920	FALSE	SAGE
liu	2019	1527.6752	10.1016/j.ejmp.2019.12.014	TRUE	Elsevier
liu	2019	2045.0816	10.1088/1361-6587/ab2b2d	TRUE	IoP Publishing
liu	2019	2725.9888	10.1371/journal.pbio.3000559	FALSE	Public Library of Science
liu	2019	2649.5248	10.1371/journal.pbio.3000374	FALSE	Public Library of Science
liu	2019	1445.264	10.1371/journal.pone.0226037	FALSE	Public Library of Science
liu	2019	1484.912	10.1371/journal.pone.0223807	FALSE	Public Library of Science
liu	2019	1455.2703999999999	10.1371/journal.pone.0221878	FALSE	Public Library of Science
liu	2019	1452.0608	10.1371/journal.pone.0220182	FALSE	Public Library of Science
liu	2019	1452.0608	10.1371/journal.pone.0219911	FALSE	Public Library of Science
liu	2019	1069.2688	10.1073/pnas.1906484116	TRUE	National Academy of Sciences, USA
liu	2019	840.16	10.3390/pr7100700	FALSE	MDPI
liu	2019	2844.9328	10.1016/j.pmatsci.2019.100591	TRUE	Elsevier
liu	2019	533.1712	1214610.1098/rspb.2019.0819	FALSE	Royal Society
liu	2019	875.3711999999999	10.1039/C9RA07507K	FALSE	Royal Society of Chemistry
liu	2019	858.6623999999999	10.1039/C9RA06273D	FALSE	Royal Society of Chemistry
liu	2019	810.896	10.1039/C9RA10250G	FALSE	Royal Society of Chemistry
liu	2019	349.28	10.1177/2158244019899095	FALSE	SAGE
liu	2019	382.4144	10.1177/2377960819900690	FALSE	SAGE
liu	2019	3982.736	10.1126/sciadv.aay3335	FALSE	AAAS
liu	2019	1489.2544	10.1038/s41598-019-47166-9	FALSE	Springer
liu	2019	1489.5375999999999	10.1038/s41598-019-46103-0	FALSE	Springer
liu	2019	1481.9856	10.1038/s41598-019-56273-6	FALSE	Springer
liu	2019	1493.9744	10.1038/s41598-019-46646-2	FALSE	Springer
liu	2019	1491.6144	10.1038/s41598-019-46706-7	FALSE	Springer
liu	2019	75.3312	10.1016/j.srhc.2019.06.007	TRUE	Elsevier
liu	2019	4418.9583999999995	10.1002/smll.201902189	TRUE	Wiley
liu	2019	1527.6752	10.1016/j.socnet.2019.10.008	TRUE	Elsevier
liu	2019	437.4496	10.1016/j.ssaho.2019.100004	FALSE	Elsevier
liu	2019	905.0128	10.3390/sports7120245	FALSE	MDPI
liu	2019	2538.7936	10.1016/j.surfcoat.2019.06.081	TRUE	Elsevier
liu	2019	1151.0192	10.3390/su11247051	FALSE	MDPI
liu	2019	1158.288	10.3390/su11236739	FALSE	MDPI
liu	2019	1179.4336	10.3390/su11216092	FALSE	MDPI
liu	2019	1179.3392	10.3390/su11195488	FALSE	MDPI
liu	2019	161.2352	10.3390/su11195250	FALSE	MDPI
liu	2019	1167.6336	10.3390/su11195221	FALSE	MDPI
liu	2019	1101.3648	10.3390/su11154037	FALSE	MDPI
liu	2019	1146.2048	10.3390/su11143756	FALSE	MDPI
liu	2019	4037.2992	10.1016/j.tree.2019.07.018	TRUE	Elsevier
liu	2019	437.6384	10.3390/vaccines7030064	FALSE	MDPI
liu	2019	1372.9536	10.1021/acs.jpca.9b05163	TRUE	American Chemical Society
