"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"liu",2019,2623.2816,"10.1016/j.actamat.2019.08.034",TRUE,"Elsevier","Acta Materialia","1359-6454","1359-6454",NA,NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE
"liu",2019,2680.7712,"10.1111/apa.15093",TRUE,"Wiley","Acta Paediatrica","0803-5253","0803-5253","1651-2227",NA,"http://creativecommons.org/licenses/by-nc/4.0/",TRUE,"31732987","PMC7217145",NA,NA,FALSE
"liu",2019,700.6368,"10.1177/2058460119889871",FALSE,"SAGE Publications","Acta Radiologica Open","2058-4601","2058-4601","2058-4601",NA,"http://journals.sagepub.com/page/policies/text-and-data-mining-license",TRUE,"31832242","PMC6887819",NA,NA,TRUE
"liu",2019,3104.7216,"10.1002/admt.201900860",TRUE,"Wiley","Advanced Materials Technologies","2365-709X","2365-709X","2365-709X",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE
"liu",2019,3181.2799999999997,"10.1002/admt.201900262",TRUE,"Wiley","Advanced Materials Technologies","2365-709X","2365-709X","2365-709X",NA,"http://creativecommons.org/licenses/by-nc/4.0/",TRUE,NA,NA,NA,NA,FALSE
"liu",2019,3729.6495999999997,"10.1002/advs.201902866",FALSE,"Wiley","Advanced Science","2198-3844","2198-3844","2198-3844",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"32154077","PMC7055569",NA,NA,TRUE
"liu",2019,4185.4128,"10.1002/advs.201902428",FALSE,"Wiley","Advanced Science","2198-3844","2198-3844","2198-3844",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"32042563","PMC7001629",NA,NA,TRUE
"liu",2019,4216.2816,"10.1002/advs.201901144",FALSE,"Wiley","Advanced Science","2198-3844","2198-3844","2198-3844",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"31993279","PMC6974956",NA,NA,TRUE
"liu",2019,3034.7712,"10.1097/sla.0000000000003701",TRUE,"Lippincott Williams & Wilkins","Annals of Surgery","0003-4932","0003-4932",NA,NA,NA,TRUE,"32049675",NA,NA,NA,FALSE
"liu",2019,1263.072,"10.21037/atm.2019.12.125",FALSE,"AME Publishing Company","Annals of Translational Medicine","2305-5839","2305-5839","2305-5847",NA,NA,TRUE,"32175402","PMC7049033",NA,NA,FALSE
"liu",2019,2523.4064,"10.1063/1.5123374",TRUE,"AIP Publishing","Applied Physics Letters","0003-6951","0003-6951","1077-3118",NA,NA,TRUE,NA,NA,NA,NA,FALSE
"liu",2019,2168.5568,"10.1017/bpp.2019.17",TRUE,"Cambridge University Press (CUP)","Behavioural Public Policy","2398-063X","2398-063X","2398-0648",NA,"http://creativecommons.org/licenses/by-nc-sa/4.0/",TRUE,NA,NA,NA,NA,FALSE
"liu",2019,1993.9168,"10.1042/bcj20190594",TRUE,"Portland Press","Biochemical Journal","0264-6021","0264-6021","1470-8728",NA,"https://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"31519735","PMC6792037",NA,NA,FALSE
"liu",2019,2881.56,"10.1016/j.biopsych.2019.07.034",TRUE,"Elsevier","Biological Psychiatry","0006-3223","0006-3223",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"31590924",NA,NA,NA,FALSE
"liu",2019,1803.2287999999999,"10.1155/2019/5302462",FALSE,"Hindawi Publishing Corporation","BioMed Research International","2314-6133","2314-6133","2314-6141",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"31950042","PMC6948284",NA,NA,TRUE
"liu",2019,2045.0816,"10.1088/2057-1976/ab42ee",TRUE,"IOP Publishing","Biomedical Physics & Engineering Express","2057-1976",NA,"2057-1976",NA,"http://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,NA,NA,FALSE
"liu",2019,1172.7312,"10.3399/bjgpopen20x101015",FALSE,"Royal College of General Practitioners","BJGP Open","2398-3795",NA,"2398-3795",NA,NA,TRUE,"32127365",NA,NA,NA,TRUE
"liu",2019,1643.7872,"10.1002/bjs5.50226",FALSE,"Wiley","BJS Open","2474-9842","2474-9842","2474-9842",NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"32011814","PMC6996573",NA,NA,TRUE
"liu",2019,1924.0608,"10.1186/s12904-019-0446-1",FALSE,"BioMed Central","BMC Palliative Care","1472-684X",NA,"1472-684X",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"31345200","PMC6657130",NA,NA,TRUE
"liu",2019,1744.4176,"10.1186/s12887-019-1578-4",FALSE,"BioMed Central","BMC Pediatrics","1471-2431",NA,"1471-2431",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"31238888","PMC6591860",NA,NA,TRUE
"liu",2019,1682.4912,"10.1002/cam4.2687",FALSE,"Wiley","Cancer Medicine","2045-7634","2045-7634","2045-7634",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"31714021","PMC6943147",NA,NA,TRUE
"liu",2019,4531.9552,"10.1016/j.celrep.2019.11.038",FALSE,"Elsevier","Cell Reports","2211-1247","2211-1247",NA,NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"31825841",NA,NA,NA,TRUE
