institution	period	euro	doi	is_hybrid	publisher
liu	2018	1734.6000000000001	10.1063/1.5006304	FALSE	AIP Publishing
liu	2018	1756.3000000000002	10.1021/acsaem.8b00333	TRUE	American Chemical Society (ACS)
liu	2018	3961.4	10.1172/jci97854	FALSE	American Society for Clinical Investigation
liu	2018	1182.7	10.1167/iovs.17-22257	FALSE	Association for Research in Vision and Ophthalmology (ARVO)
liu	2018	1925	10.1186/s13028-018-0375-7	FALSE	BioMed Central
liu	2018	1526.7	10.1186/s12864-018-4441-3	FALSE	BioMed Central
liu	2018	1514.8000000000002	10.1186/s12877-017-0703-1	FALSE	BioMed Central
liu	2018	1745	10.1186/s12913-018-3014-0	FALSE	BioMed Central
liu	2018	2250	10.1186/s12914-018-0157-3	FALSE	BioMed Central
liu	2018	1572.3000000000002	10.1186/s12909-018-1153-y	FALSE	BioMed Central
liu	2018	1745	10.1186/s12891-018-2020-z	FALSE	BioMed Central
liu	2018	1800	10.1186/s12904-018-0340-2	FALSE	BioMed Central
liu	2018	1745	10.1186/s12888-018-1712-0	FALSE	BioMed Central
liu	2018	1745	10.1186/s12888-018-1689-8	FALSE	BioMed Central
liu	2018	1745	10.1186/s12889-018-5275-2	FALSE	BioMed Central
liu	2018	1370	10.1186/s12905-018-0518-z	FALSE	BioMed Central
liu	2018	1321.7	10.1186/s12711-018-0384-z	FALSE	BioMed Central
liu	2018	1963.7	10.1136/bmjopen-2017-020543	FALSE	BMJ
liu	2018	1538.2	10.1136/bmjopen-2017-019906	FALSE	BMJ
liu	2018	2400	10.1136/openhrt-2017-000739	FALSE	BMJ
liu	2018	3279.8	10.1192/bjo.2018.18	FALSE	Cambridge University Press (CUP)
liu	2018	540.1	10.1017/dsj.2018.3	TRUE	Cambridge University Press (CUP)
liu	2018	12e3	10.1242/bio.027060	FALSE	The Company of Biologists
liu	2018	810	10.5194/bg-15-1549-2018	FALSE	Copernicus Publications
liu	2018	1669.8000000000002	10.2147/ppa.s157658	FALSE	Dove Medical Press
liu	2018	2386	10.1016/j.erss.2018.03.019	TRUE	Elsevier
liu	2018	1591	10.1016/j.socec.2018.03.004	TRUE	Elsevier
