"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"liu",2018,1734.6,"10.1063/1.5006304",FALSE,"AIP Publishing","APL Materials","2166-532X",NA,"2166-532X",NA,NA,TRUE,NA,NA,NA,NA,TRUE
"liu",2018,1756.3,"10.1021/acsaem.8b00333",TRUE,"American Chemical Society (ACS)","ACS Applied Energy Materials","2574-0962","2574-0962","2574-0962",NA,"http://pubs.acs.org/page/policy/authorchoice_ccby_termsofuse.html",TRUE,"29905306","PMC5995460",NA,NA,FALSE
"liu",2018,3961.4,"10.1172/jci97854",FALSE,"American Society for Clinical Investigation","Journal of Clinical Investigation","0021-9738","0021-9738","1558-8238",NA,NA,TRUE,"29911992","PMC6026003",NA,NA,FALSE
"liu",2018,1182.7,"10.1167/iovs.17-22257",FALSE,"Association for Research in Vision and Ophthalmology (ARVO)","Investigative Opthalmology & Visual Science","1552-5783","1552-5783",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"29242906",NA,NA,NA,FALSE
"liu",2018,1925,"10.1186/s13028-018-0375-7",FALSE,"BioMed Central","Acta Veterinaria Scandinavica","1751-0147",NA,"1751-0147",NA,NA,TRUE,"29580272","PMC5870522",NA,NA,TRUE
"liu",2018,1526.7,"10.1186/s12864-018-4441-3",FALSE,"BioMed Central","BMC Genomics","1471-2164",NA,"1471-2164",NA,NA,TRUE,"29361907","PMC5782384",NA,NA,TRUE
"liu",2018,1514.8,"10.1186/s12877-017-0703-1",FALSE,"BioMed Central","BMC Geriatrics","1471-2318",NA,"1471-2318",NA,NA,TRUE,"29386007","PMC5793378",NA,NA,TRUE
"liu",2018,1745,"10.1186/s12913-018-3014-0",FALSE,"BioMed Central","BMC Health Services Research","1472-6963",NA,"1472-6963",NA,NA,TRUE,"29945630","PMC6020368",NA,NA,TRUE
"liu",2018,2250,"10.1186/s12914-018-0157-3",FALSE,"BioMed Central","BMC International Health and Human Rights","1472-698X",NA,"1472-698X",NA,NA,TRUE,"29866163","PMC5987383",NA,NA,TRUE
"liu",2018,1572.3,"10.1186/s12909-018-1153-y",FALSE,"BioMed Central","BMC Medical Education","1472-6920",NA,"1472-6920",NA,NA,TRUE,"29554898","PMC5859755",NA,NA,TRUE
