institution,period,euro,doi,is_hybrid,publisher,journal_full_title,issn,issn_print,issn_electronic,url
liu,2021,2104.12,10.3389/fcvm.2021.717835,FALSE,Frontiers,Frontiers in Cardiovascular Medicine,2297-055X,,,https://www.frontiersin.org/articles/10.3389/fcvm.2021.717835/full
liu,2021,2416.98,10.3389/fimmu.2021.628564,FALSE,Frontiers,Frontiers in Immunology,1664-3224,,,https://www.frontiersin.org/articles/10.3389/fimmu.2021.628564/full
liu,2021,2039.15,10.3389/fimmu.2021.693911,FALSE,Frontiers,Frontiers in Immunology,1664-3224,,,https://www.frontiersin.org/articles/10.3389/fimmu.2021.693911/full
liu,2021,2511.44,10.3389/fimmu.2021.718168,FALSE,Frontiers,Frontiers in Immunology,1664-3224,,,https://www.frontiersin.org/articles/10.3389/fimmu.2021.718168/full
liu,2021, 498.23,10.3389/fncir.2021.624381,FALSE,Frontiers,Frontiers in Neural Circuits,1662-5110,,,https://www.frontiersin.org/articles/10.3389/fncir.2021.624381/full
liu,2021,2046.84,10.3389/fnins.2021.734158,FALSE,Frontiers,Frontiers in Neuroscience,1662-4548,,,https://www.frontiersin.org/articles/10.3389/fnins.2021.734158/full
liu,2021,1675.31,10.3389/fpain.2021.693987,FALSE,Frontiers,Frontiers in Pain Research,2673-561X,,,https://www.frontiersin.org/articles/10.3389/fpain.2021.693987/full
liu,2021,2010.45,10.3389/fcvm.2020.617755,FALSE,Frontiers,Frontiers in Cardiovascular Medicine,2297-055X,,,https://www.frontiersin.org/articles/10.3389/fcvm.2020.617755/full
liu,2021,1809.41,10.3389/fcvm.2020.581495,FALSE,Frontiers,Frontiers in Cardiovascular Medicine,2297-055X,,,https://www.frontiersin.org/articles/10.3389/fcvm.2020.581495/full
liu,2021,1560.64,10.3389/fspor.2021.686019,FALSE,Frontiers,Frontiers in Sports and Active Living,2624-9367,,,https://www.frontiersin.org/articles/10.3389/fspor.2021.686019/full
liu,2021,2498.13,10.3389/fnhum.2021.771711,FALSE,Frontiers,Frontiers in Human Neuroscience,1662-5161,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8670091/
liu,2021,2507.60,10.3389/fmed.2021.725510,FALSE,Frontiers,Frontiers in Medicine,2296-858X,,,https://www.frontiersin.org/articles/10.3389/fmed.2021.725510/full
liu,2021,2248.77,10.3389/fpsyg.2020.576940,FALSE,Frontiers,Frontiers in Psychology,1664-1078,,,https://www.frontiersin.org/articles/10.3389/fpsyg.2020.576940/full
liu,2021,2438.77,10.3389/fpsyg.2021.684540,FALSE,Frontiers,Frontiers in Psychology,1664-1078,,,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.684540/full
liu,2021,1811.97,10.3389/fpsyg.2021.700829,FALSE,Frontiers,Frontiers in Psychology,1664-1078,,,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.700829/full
liu,2021,2489.35,10.3389/fpsyg.2021.701795,FALSE,Frontiers,Frontiers in Psychology,1664-1078,,,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.701795/full
liu,2021, 590.71,10.3389/frsus.2021.735550,FALSE,Frontiers,Frontiers in Sustainability,2673-4524,,,https://www.frontiersin.org/articles/10.3389/frsus.2021.735550/full
liu,2021, 976.04,10.3389/frsus.2021.758625,FALSE,Frontiers,Frontiers in Sustainability,2673-4524,,,https://www.frontiersin.org/articles/10.3389/frsus.2021.758625/full
liu,2021,1644.65,10.3389/fbinf.2021.763102,FALSE,Frontiers,Frontiers in Bioinformatics,2673-7647,,,https://www.frontiersin.org/articles/10.3389/fbinf.2021.763102/full
liu,2021,2435.12,10.3389/fimmu.2021.672168,FALSE,Frontiers,Frontiers in Immunology,1664-3224,,,https://www.frontiersin.org/articles/10.3389/fimmu.2021.672168/full
liu,2021,2174.33,10.3389/fpsyg.2021.675526,FALSE,Frontiers,Frontiers in Psychology,1664-1078,,,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.675526/full
liu,2021, 245.42,10.3389/fsens.2021.672516,FALSE,Frontiers,Frontiers in Sensors,2673-5067,,,https://www.frontiersin.org/articles/10.3389/fsens.2021.672516/full
liu,2021,2442.91,10.3389/fphys.2021.619254,FALSE,Frontiers,Frontiers in Physiology,1664-042X,,,https://www.frontiersin.org/articles/10.3389/fphys.2021.619254/full
liu,2021, 582.23,10.3389/frai.2021.704082,FALSE,Frontiers,Frontiers of Artificial Intelligence,2624-8212,,,https://www.frontiersin.org/articles/10.3389/frai.2021.704082/full
liu,2021, 981.76,10.3389/fclim.2021.643224,FALSE,Frontiers,Frontiers in Climate,2624-9553,,,https://www.frontiersin.org/articles/10.3389/fclim.2021.643224/full
liu,2021,1881.98,10.3389/feart.2021.687376,FALSE,Frontiers,Frontiers in Earth Science,2296-6463,,,https://www.frontiersin.org/articles/10.3389/feart.2021.687376/full
