institution	period	euro	doi	is_hybrid	publisher	journal_full_title	issn	issn_print	issn_electronic	url
liu	2017	2541	10.18632/oncotarget.15547	FALSE						
liu	2017	3011	10.18632/oncotarget.1798	FALSE						
liu	2017	1560	10.1088/1367-2630/aa5f8e	FALSE						
liu	2017	1934	10.1088/1361-6463/aa57bc	TRUE						
liu	2017	2174	10.2196/jmir.7101	FALSE						
liu	2017	1578		TRUE	Journal of Visualized Experiments 	JoVE - Journal of Visualized Experiments 	1940-087X			https://www.jove.com/video/56279/imaging-amyloid-tissues-stained-with-luminescent-conjugated
liu	2017	1551	10.1097/MD.0000000000006130	TRUE						
liu	2017	1993	10.1097/PTS.0000000000000369	TRUE						
liu	2017	987	10.1097/QMH.0000000000000133	TRUE						
liu	2017	1613	10.3390/ijms18050943	FALSE						
liu	2017	717	10.3390/app7040383	FALSE						
liu	2017	1338	10.3390/e19060257	FALSE						
liu	2017	1244	10.3390/en10010100	FALSE						
liu	2017	2530	10.1073/pnas.1616456114	TRUE						
liu	2017	2463	10.1073/pnas.1617758114	TRUE						
liu	2017	1305	10.1038/s41598-017-01846-6	FALSE						
liu	2017	1305	10.1038/srep46618	FALSE						
liu	2017	3700	10.1038/ncomms14214	FALSE						
liu	2017	1305	10.1038/srep42132	FALSE						
liu	2017	1305	10.1038/srep42733	FALSE						
liu	2017	1566	10.1038/srep43512	FALSE						
liu	2017	1165	10.1038/srep39773	FALSE						
liu	2017	1305	10.1038/s41598-017-04339-8	FALSE						
liu	2017	1305	10.1038/s41598-017-03236-4	FALSE						
liu	2017	1305	10.1038/s41598-017-01052-4	FALSE						
liu	2017	3700	10.1038/ncomms15401	FALSE						
liu	2017	1305	10.1038/srep46428	FALSE						
liu	2017	4440	10.1038/ncomms14949	FALSE						
liu	2017	1305	10.1038/srep44390	FALSE						
liu	2017	1305	10.1038/srep43209	FALSE						
liu	2017	1305	10.1038/s41598-017-03089-x	FALSE						
liu	2017	1566	10.1038/srep45864	FALSE						
liu	2017	1305	10.1038/s41598-017-07129-4	FALSE						
liu	2017	1045	10.1038/s41598-017-06457-9	FALSE						
liu	2017	1305	10.1038/s41598-017-06339-0	FALSE						
liu	2017	1305	10.1038/s41598-017-04041-9	FALSE						
liu	2017	1305	10.1038/srep46092	FALSE						
liu	2017	1757	10.1364/OE.25.008192	TRUE						
liu	2017	375	10.1093/omcr/omx003	FALSE						
liu	2017	2215	10.1093/sf/sox043	TRUE						
liu	2017	652	10.1042/BSR20160514	FALSE						
liu	2017	1300	10.1371/journal.pone.0178729	FALSE						
liu	2017	1300	10.1371/journal.pone.0178614	FALSE						
liu	2017	1316	10.1371/journal.pone.0177795	FALSE						
liu	2017	1325	10.1371/journal.pone.0177004	FALSE						
liu	2017	1357	10.1371/journal.pone.0174880	FALSE						
liu	2017	2007	10.1371/journal.pgen.1006729	FALSE						
liu	2017	1342	10.1371/journal.pone.0174475	FALSE						
liu	2017	1355	10.1371/journal.pone.0173897	FALSE						
