institution	period	euro	doi	is_hybrid	publisher
lnu	2017	3068.6	10.1016/j.tim.2016.12.013	TRUE	Elsevier
lnu	2017	3016.3	10.1016/j.envint.2017.10.002	TRUE	Elsevier
lnu	2017	946.7	10.1016/j.tate.2017.03.025	TRUE	Elsevier
lnu	2017	3175.3	10.1016/j.biotechadv.2017.08.002	TRUE	Elsevier
lnu	2017	2105.4	10.1080/08038740.2017.1345006	TRUE	Taylor & Francis group
lnu	2017	2882.4	10.1111/1462-2920.13650	TRUE	Wiley
lnu	2017	2886.2	10.1111/1462-2920.13725	TRUE	Wiley
lnu	2017	2105.4	10.1080/02680939.2017.1344879	TRUE	Taylor & Francis group
lnu	2017	1333.8	10.1386/jucs.4.1-2.241_1	TRUE	Intellect Ltd
lnu	2017	2127.6	10.1128/AEM.02091-17	TRUE	Cadmus
lnu	2017	2092.2	10.1080/09585176.2017.1400449	TRUE	Taylor and Francis Group
lnu	2017	2113	10.1080/13540602.2017.1403315	TRUE	Informa UK Ltd
lnu	2017	1541.9	10.1016/j.eap.2017.08.002	TRUE	Elsevier Inc.
lnu	2017	1294.3	10.1163/23528230-08202006	TRUE	
lnu	2017	3404.5	10.1016/j.coviro.2017.10.006	TRUE	Elsevier Inc.
lnu	2017	2557.2	10.1016/j.hlpt.2017.02.005	TRUE	Elsevier Inc.
lnu	2017	1934.5	10.1515/cllt-2016-0060	TRUE	Walter De Gruyter GmbH
lnu	2017	1794.6	10.1177/1473871615575079	TRUE	Sage Publications Ltd
lnu	2017	1778.9	10.1186/s40168-017-0253-y	FALSE	BioMed Central Ltd
lnu	2017	2266.7	10.3389/fmicb.2016.02078	FALSE	Frontiers media
lnu	2017	1279.6	10.1038/s41598-017-06423-5	FALSE	MacMillan Publishers
lnu	2017	3630.8	10.1038/s41467-017-00094-6	FALSE	MacMillan Publishers
lnu	2017	1756.9	10.1186/s40168-017-0311-5	FALSE	BioMed Central Ltd
lnu	2017	1360.9	10.1371/journal.pone.0172262	FALSE	Public Library of Science
lnu	2017	1553.5	10.1186/s12955-017-0759-9	FALSE	BioMed Central Ltd
lnu	2017	1552.9	10.1186/s12905-017-0381-3	FALSE	BioMed Central Ltd
lnu	2017	1256.6	10.1080/17482631.2017.1368337	FALSE	Informa UK Ltd
lnu	2017	1199.5	10.1080/17482631.2017.1325674	FALSE	Informa UK Ltd
lnu	2017	1877.1	10.1136/bmjopen-2017-019267	FALSE	
lnu	2017	1900.4	10.1002/pro.3135	FALSE	Wiley
lnu	2017	281.1	10.3390/buildings7020039	FALSE	MDPI Ag
lnu	2017	1305.3	10.1371/journal.pone.0179324	FALSE	Public Library of Science
lnu	2017	225.1	10.1080/23311886.2017.1295549	FALSE	Taylor & Francis group
lnu	2017	1231.8	10.1371/journal.pone.0187341	FALSE	Public Library of Science
lnu	2017	1360.9	10.1371/journal.pone.0170562	FALSE	Public Library of Science
lnu	2017	2108.9	10.3389/fmicb.2017.02453	FALSE	Frontiers Media SA
lnu	2017	1309.5	10.1038/s41598-017-18413-8	FALSE	Macmillan Publishers Ltd
lnu	2017	387.5	10.3390/su9091584	FALSE	MDPI AG
