institution	period	euro	doi	is_hybrid	publisher
lnu	2018	1205.4930000000002	10.1371/journal.pone.0192117	FALSE	Public Library of Science (PLoS)
lnu	2018	2199.623	10.1016/j.engfracmech.2018.02.004	TRUE	Elsevier
lnu	2018	1860	10.1186/s12859-018-2145-y	FALSE	BioMed Central
lnu	2018	174.107	10.3390/sports6020038	FALSE	MDPI
lnu	2018	1899.3000000000002	10.1186/s12885-018-4451-1	FALSE	BioMed Central
lnu	2018	1725.3000000000002	10.1155/2018/4582383	FALSE	Hindawi Publishing Corporation
lnu	2018	880.1990000000001	10.4236/ojn.2018.87036	FALSE	Scientific Research Publishing
lnu	2018	1538.7450000000001	10.1002/evan.21555	TRUE	Wiley
lnu	2018	1639.471	10.1016/j.bpj.2018.05.037	TRUE	Elsevier
lnu	2018	1436.207	10.3390/ijms19071863	FALSE	MDPI
lnu	2018	1798.5400000000002	10.2147/jmdh.s179322	FALSE	Dove Medical Press
lnu	2018	847.5120000000002	10.17645/mac.v6i4.1467	FALSE	Cogitatio
lnu	2018	1570.9950000000001	10.1136/bmjopen-2018-024068	FALSE	BMJ
lnu	2018	1337.7141900000001	10.3389/fevo.2018.00208	FALSE	Frontiers
lnu	2018	2307.75255	10.3389/fmicb.2018.02945	FALSE	Frontiers
lnu	2018	2307.75255	10.3389/fmicb.2018.02880	FALSE	Frontiers
lnu	2018	2307.75255	10.3389/fmicb.2018.03059	FALSE	Frontiers
lnu	2018	1191.15	10.3390/su10020459	FALSE	MDPI
lnu	2018	1747.316	10.2147/jpr.s163044	FALSE	Dove Medical Press
lnu	2018	2525.117	10.1093/femsec/fiy121	TRUE	Oxford University Press (OUP)
lnu	2018	893.4459999999999	10.4236/ce.2018.912129	FALSE	Scientific Research Publishing
lnu	2018	1565.0950000000003	10.1061/(asce)st.1943-541x.0002112	TRUE	American Society of Civil Engineers (ASCE)
lnu	2018	1892.871	10.3389/fmicb.2018.01562	FALSE	Frontiers
lnu	2018	1741.444	10.1093/ve/vey025	FALSE	Oxford University Press (OUP)
lnu	2018	1564.872	10.3389/fpls.2018.01214	FALSE	Frontiers
lnu	2018	1303.3270000000002	10.1002/ece3.4510	FALSE	Wiley
lnu	2018	1350.015	10.1021/acs.langmuir.8b01415	TRUE	American Chemical Society (ACS)
lnu	2018	1361.616	10.1371/journal.pone.0206502	FALSE	Public Library of Science (PLoS)
lnu	2018	3153.1540000000005	10.1128/mbio.01792-18	FALSE	American Society for Microbiology
lnu	2018	1424.1290000000001	10.1038/s41598-018-27373-6	FALSE	Springer
lnu	2018	2012.576	10.1002/lno.10949	TRUE	Wiley
lnu	2018	1184.25	10.1017/jns.2018.22	FALSE	Cambridge University Press (CUP)
lnu	2018	1337.7141900000001	10.3389/fmars.2018.00361	FALSE	Frontiers
lnu	2018	2307.75255	10.3389/fmicb.2018.02308	FALSE	Frontiers
lnu	2018	1609.205	10.2196/resprot.8659	FALSE	JMIR Publications
lnu	2018	1014.0590000000001	10.1016/j.econlet.2018.02.004	TRUE	Elsevier
lnu	2018	1791.0680000000002	10.1186/s13071-018-2997-z	FALSE	BioMed Central
lnu	2018	2392.92	10.1098/rstb.2017.0429	TRUE	The Royal Society
lnu	2018	1275.6200000000001	10.3390/su10082792	FALSE	MDPI
lnu	2018	1266.8400000000001	10.1002/ece3.4667	FALSE	Wiley
