"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"lnu",2019,3030.724272,"10.1002/aqc.3064",TRUE,"Wiley-Blackwell","Aquatic Conservation: Marine and Freshwater Ecosystems","1052-7613","1052-7613","1099-0755",NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,NA
"lnu",2019,3133.779808,"10.1002/aqc.3196",TRUE,"Wiley-Blackwell","Aquatic Conservation: Marine and Freshwater Ecosystems","1052-7613","1052-7613","1099-0755",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,NA
"lnu",2019,1164.374912,"10.1002/ecs2.2577",FALSE,"Wiley-Blackwell","Ecosphere","2150-8925","2150-8925","2150-8925",NA,"http://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,NA,NA,NA
"lnu",2019,2890.036176,"10.1002/elsc.201900015",TRUE,"Wiley-Blackwell","Engineering in Life Sciences","1618-0240","1618-0240","1618-2863",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"32625012","PMC6999223",NA,NA,NA
"lnu",2019,1651.9056,"10.1002/fsn3.1280",FALSE,"Wiley-Blackwell","Food Science & Nutrition","2048-7177","2048-7177","2048-7177",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"31890191","PMC6924304",NA,NA,NA
"lnu",2019,1283.6238239999998,"10.1016/j.bpj.2018.12.004",TRUE,"Elsevier BV","Biophysical Journal","0006-3495","0006-3495",NA,NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"30606448","PMC6350078",NA,NA,NA
"lnu",2019,1674.097152,"10.1016/j.ergon.2019.05.005",TRUE,"Elsevier BV","International Journal of Industrial Ergonomics","0169-8141","0169-8141",NA,NA,"https://www.elsevier.com/tdm/userlicense/1.0/",TRUE,NA,NA,NA,NA,NA
"lnu",2019,1447.033056,"10.1016/j.scitotenv.2019.03.013",TRUE,"Elsevier BV","Science of The Total Environment","0048-9697","0048-9697",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"31018448",NA,NA,NA,NA
"lnu",2019,1810.184192,"10.1016/j.ssci.2019.104567",TRUE,"Elsevier BV","Safety Science","0925-7535","0925-7535",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,NA
"lnu",2019,1778.5271520000001,"10.1038/s41598-019-46422-2",FALSE,"Springer Nature","Scientific Reports","2045-2322",NA,"2045-2322",NA,"https://creativecommons.org/licenses/by/4.0",TRUE,"31296876","PMC6624374",NA,NA,NA
