institution,period,euro,doi,is_hybrid,publisher,journal_full_title,issn,issn_print,issn_electronic,url
lnu,2021,2418.15,10.3389/fmicb.2021.607601,FALSE,,,,,,
lnu,2021,2452.35,10.3389/fmicb.2021.631654,FALSE,,,,,,
lnu,2021,2505.53,10.3389/fbioe.2021.651895,FALSE,,,,,,
lnu,2021,2442.58,10.3389/fmicb.2021.693615,FALSE,,,,,,
lnu,2021,1617.87,10.3389/fspor.2021.702922,FALSE,,,,,,
lnu,2021,1617.87,10.3389/fspor.2021.715310,FALSE,,,,,,
lnu,2021,2547.26,10.3389/fmicb.2021.714732,FALSE,,,,,,
lnu,2021, 993.00,10.3389/frai.2021.728708,FALSE,,,,,,
lnu,2021,1591.45,10.3389/fphys.2021.748153,FALSE,,,,,,
lnu,2021,1886.23,10.1080/02604027.2021.2014750,TRUE,,,,,,
lnu,2021, 655.81,10.1177/14604582211024708,FALSE,,,,,,
lnu,2021, 656.09,10.1177/14604582211035817,FALSE,,,,,,
