institution	period	euro	doi	is_hybrid	publisher	journal_full_title	issn	issn_print	issn_electronic	url
ltu	2017	1339	10.3390/en10030263	FALSE	MDPI AG	Energies	1996-1073			http://www.mdpi.com/1996-1073/10/3/263/htm
ltu	2017	1088	10.3390/app7050488	FALSE	MDPI AG	Applied Sciences	2076-3417			http://www.mdpi.com/2076-3417/7/5/488
ltu	2017	1344	10.3390/en10030332	FALSE	MDPI AG	Energies	1996-1073			http://www.mdpi.com/1996-1073/10/3/332/htm
ltu	2017	1150	10.1038/srep35049	FALSE	Springer nature	Scientific Reports	2045-2322			https://www.nature.com/articles/srep35049
ltu	2017	560	10.1039/C6RA27065D	FALSE	Royal Society of Chemistry	RSC Advances	2046-2069			http://pubs.rsc.org/en/content/articlepdf/2017/ra/c6ra27065d
ltu	2017	560	10.1039/C6RA28574K	FALSE	Royal society of chemistry	RSC Advances	2046-2069			http://pubs.rsc.org/en/content/articlepdf/2017/ra/c6ra28574k
ltu	2017	888	10.4236/eng.2017.95024	FALSE	Scientific Research Publishing Limited	Engineering		1947-3931	1947-394X	http://file.scirp.org/pdf/ENG_2017052716204530.pdf
ltu	2017	3140	10.1016/j.carbon.2017.02.007	TRUE	Elsevier	Carbon		0008-6223	1873-3891	http://www.sciencedirect.com/science/article/pii/S0008622317301252
ltu	2017	2243	10.1016/j.apgeochem.2017.02.012	TRUE	Elsevier	Applied Geochemistry	0883-2927			http://www.sciencedirect.com/science/article/pii/S0883292716302141
ltu	2017	2960	10.1016/j.biortech.2017.04.002	TRUE	Elsevier	Bioresource Technology		0960-8524	1873-2976	http://www.sciencedirect.com/science/article/pii/S0960852417304832
ltu	2017	2260	10.1016/j.chemolab.2017.05.016#sthash.VNp1MNah.dpuf	TRUE	Elsevier	Chemometrics and Intelligent Laboratory Systems		0169-7439	1873-3239	http://www.sciencedirect.com/science/article/pii/S0169743917300734
ltu	2017	1338	10.1155/2017/5784627	FALSE	Hindawi Publishing Corporation	International Journal of Chemical Engineering		1687-806X	1687-8078	https://www.hindawi.com/journals/ijce/2017/5784627/
ltu	2017	1562	10.3390/ijerph13121248	FALSE	MDPI AG	International Journal of Environmental Research and Public Health		1661-7827	1660-4601	http://www.mdpi.com/1660-4601/13/12/1248
ltu	2017	931		FALSE	North Carolina State University	Bioresources		1930-2126	1930-2126	http://ojs.cnr.ncsu.edu/index.php/BioRes/article/view/BioRes_12_2_3122_Sadatnezhad_Continuous_Surface_Densification_Wood
ltu	2017	1599	10.3390/s17010181	FALSE	MDPI AG	Sensors	1424-8220			http://www.mdpi.com/1424-8220/17/1/181/htm
ltu	2017	1236	10.3390/en10020184	FALSE	MDPI AG	Energies		1996-1073	1996-1073	http://www.mdpi.com/1996-1073/10/2/184
ltu	2017	588	10.1039/C6RA25410A	FALSE	Royal Society of Chemistry	RSC Advances	2046-2069			http://pubs.rsc.org/en/content/articlelanding/2017/ra/c6ra25410a#!divAbstract
ltu	2017	239	10.4028/www.scientific.net/MSF.891.18#sthash.pqs6shZX.dpuf	TRUE	Scientific.Net	Materials Science Forum		0255-5476	1662-9752	https://www.scientific.net/MSF.891.18
ltu	2017	95		FALSE	Civil Engineering Journal	Civil Engineering Journal 	2476-3055			http://civilejournal.org/index.php/cej/article/view/310
ltu	2017	1074	10.3390/f8040107	FALSE	MDPI AG	Forests	1999-4907			http://www.mdpi.com/1999-4907/8/4/107
