"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"ltu",2017,1339,"10.3390/en10030263",FALSE,"MDPI","Energies","1996-1073",NA,"1996-1073",NA,NA,TRUE,NA,NA,NA,"http://www.mdpi.com/1996-1073/10/3/263/htm",TRUE
"ltu",2017,1088,"10.3390/app7050488",FALSE,"MDPI","Applied Sciences","2076-3417",NA,"2076-3417",NA,NA,TRUE,NA,NA,NA,"http://www.mdpi.com/2076-3417/7/5/488",TRUE
"ltu",2017,1344,"10.3390/en10030332",FALSE,"MDPI","Energies","1996-1073",NA,"1996-1073",NA,NA,TRUE,NA,NA,NA,"http://www.mdpi.com/1996-1073/10/3/332/htm",TRUE
"ltu",2017,1150,"10.1038/srep35049",FALSE,"Springer","Scientific Reports","2045-2322",NA,"2045-2322",NA,"http://www.springer.com/tdm",TRUE,"27733756","PMC5062085",NA,"https://www.nature.com/articles/srep35049",TRUE
"ltu",2017,560,"10.1039/C6RA27065D",FALSE,"Royal Society of Chemistry (RSC)","RSC Advances","2046-2069",NA,"2046-2069",NA,NA,TRUE,NA,NA,NA,"http://pubs.rsc.org/en/content/articlepdf/2017/ra/c6ra27065d",FALSE
"ltu",2017,560,"10.1039/C6RA28574K",FALSE,"Royal Society of Chemistry (RSC)","RSC Advances","2046-2069",NA,"2046-2069",NA,NA,TRUE,NA,NA,NA,"http://pubs.rsc.org/en/content/articlepdf/2017/ra/c6ra28574k",FALSE
"ltu",2017,888,"10.4236/eng.2017.95024",FALSE,"Scientific Research Publishing","Engineering","1947-3931","1947-3931","1947-394X",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,"http://file.scirp.org/pdf/ENG_2017052716204530.pdf",FALSE
"ltu",2017,3140,"10.1016/j.carbon.2017.02.007",TRUE,"Elsevier","Carbon","0008-6223","0008-6223","1873-3891",NA,"http://www.elsevier.com/tdm/userlicense/1.0/",TRUE,NA,NA,NA,"http://www.sciencedirect.com/science/article/pii/S0008622317301252",FALSE
"ltu",2017,2243,"10.1016/j.apgeochem.2017.02.012",TRUE,"Elsevier","Applied Geochemistry","0883-2927","0883-2927",NA,NA,"http://www.elsevier.com/tdm/userlicense/1.0/",TRUE,NA,NA,NA,"http://www.sciencedirect.com/science/article/pii/S0883292716302141",FALSE
"ltu",2017,2960,"10.1016/j.biortech.2017.04.002",TRUE,"Elsevier","Bioresource Technology","0960-8524","0960-8524","1873-2976",NA,"http://www.elsevier.com/tdm/userlicense/1.0/",TRUE,"28412146",NA,NA,"http://www.sciencedirect.com/science/article/pii/S0960852417304832",FALSE
"ltu",2017,2260,"10.1016/j.chemolab.2017.05.016#sthash.VNp1MNah.dpuf",TRUE,"Elsevier","Chemometrics and Intelligent Laboratory Systems","0169-7439","0169-7439","1873-3239",NA,"http://www.elsevier.com/tdm/userlicense/1.0/",TRUE,NA,NA,NA,"http://www.sciencedirect.com/science/article/pii/S0169743917300734",FALSE
"ltu",2017,1338,"10.1155/2017/5784627",FALSE,"Hindawi Publishing Corporation","International Journal of Chemical Engineering","1687-806X","1687-806X","1687-8078",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,"https://www.hindawi.com/journals/ijce/2017/5784627/",TRUE
"ltu",2017,1562,"10.3390/ijerph13121248",FALSE,"MDPI","International Journal of Environmental Research and Public Health","1660-4601","1661-7827","1660-4601",NA,NA,TRUE,"27999272","PMC5201389",NA,"http://www.mdpi.com/1660-4601/13/12/1248",TRUE
"ltu",2017,931,NA,FALSE,"North Carolina State University","Bioresources",NA,"1930-2126","1930-2126",NA,NA,FALSE,NA,NA,NA,"http://ojs.cnr.ncsu.edu/index.php/BioRes/article/view/BioRes_12_2_3122_Sadatnezhad_Continuous_Surface_Densification_Wood",FALSE
"ltu",2017,1599,"10.3390/s17010181",FALSE,"MDPI","Sensors","1424-8220",NA,"1424-8220",NA,NA,TRUE,"28106817","PMC5298754",NA,"http://www.mdpi.com/1424-8220/17/1/181/htm",TRUE
"ltu",2017,1236,"10.3390/en10020184",FALSE,"MDPI","Energies","1996-1073","1996-1073","1996-1073",NA,NA,TRUE,NA,NA,NA,"http://www.mdpi.com/1996-1073/10/2/184",TRUE
"ltu",2017,588,"10.1039/C6RA25410A",FALSE,"Royal Society of Chemistry (RSC)","RSC Advances","2046-2069",NA,"2046-2069",NA,NA,TRUE,NA,NA,NA,"http://pubs.rsc.org/en/content/articlelanding/2017/ra/c6ra25410a#!divAbstract",FALSE
"ltu",2017,239,"10.4028/www.scientific.net/MSF.891.18#sthash.pqs6shZX.dpuf",TRUE,"Trans Tech Publications","Materials Science Forum","1662-9752","0255-5476","1662-9752",NA,NA,TRUE,NA,NA,NA,"https://www.scientific.net/MSF.891.18",FALSE
"ltu",2017,95,NA,FALSE,"Civil Engineering Journal","Civil Engineering Journal","2476-3055",NA,NA,NA,NA,FALSE,NA,NA,NA,"http://civilejournal.org/index.php/cej/article/view/310",FALSE
"ltu",2017,1074,"10.3390/f8040107",FALSE,"MDPI","Forests","1999-4907",NA,"1999-4907",NA,NA,TRUE,NA,NA,NA,"http://www.mdpi.com/1999-4907/8/4/107",TRUE
