institution	period	euro	doi	is_hybrid	publisher	journal_full_title	issn	issn_print	issn_electronic	url
ltu	2017	1112	10.1108/JFMPC-05-2016-0018	TRUE	Emeral Group Publishers	Journal of Financial Management of Property and Construction 	1366-4387	None	None	http://www.emeraldinsight.com/doi/full/10.1108/JFMPC-05-2016-0018
ltu	2017	2185	10.1021/acs.jpcc.7b04405	TRUE	ACS Publications	The Journal of Physcial Chemistry C	None	1932-7447	1932-7455	http://pubs.acs.org/doi/10.1021/acs.jpcc.7b04405
ltu	2017	3499	10.1021/acs.langmuir.7b02097	TRUE	ACS Publications	Langmuir	None	0743-7463	1520-5827	http://pubs.acs.org/doi/10.1021/acs.langmuir.7b02097
ltu	2017	1800	10.1186/s13068-017-0813-1	FALSE	BMC	Biotechnology for Biofuels	None	1754-6834	1754-6834	https://biotechnologyforbiofuels.biomedcentral.com/articles/10.1186/s13068-017-0813-1
ltu	2017	2769	10.1016/j.indcrop.2017.06.062	TRUE	Elsevier	Industrial crops and products	None	0926-6690	1872-633X	http://www.sciencedirect.com/science/article/pii/S0926669017304491?via%3Dihub
ltu	2017	285	10.1016/j.ejbt.2017.10.003	FALSE	Pontificia Universidad Catolica de Valparaiso	Electronic Journal of Biotechnology	None	0717-3458	0717-3458	https://www.sciencedirect.com/science/article/pii/S0717345817300623?via%3Dihub
ltu	2017	2056	10.1080/17597269.2017.1378988	TRUE	Taylor and Francis	Biofules	None	1759-7269	1759-7277	http://www.tandfonline.com/doi/full/10.1080/17597269.2017.1378988
ltu	2017	2202	10.1016/j.engstruct.2017.05.062	TRUE	Elsevier	Engineering structures	None	0141-0296	1873-7323	http://www.sciencedirect.com/science/article/pii/S0141029617306922?via%3Dihub
ltu	2017	1261	10.3390/su9071257	FALSE	MDPI AG	Sustainability	None	2071-1050	2071-1050	http://www.mdpi.com/2071-1050/9/7/1257
ltu	2017	764	10.3390/min7070109	FALSE	MDPI AG	Minerals	None	2075-163X	2075-163X	http://www.mdpi.com/2075-163X/7/7/109
ltu	2017	737	10.3390/min7070121	FALSE	MDPI AG	Minerals	None	2075-163X	2075-163X	http://www.mdpi.com/2075-163X/7/7/121
ltu	2017	847	10.4236/eng.2017.98043	FALSE	Scientific Research Publishing Limited	Engineering	None	1947-3931	1947-394X	http://file.scirp.org/Html/1-8102867_78815.htm
ltu	2017	241	None	FALSE	The International Association for environmental hydrology	Journal of Environmental Hydrology	None	1058-3912	1996-7918	http://www.hydroweb.com/journal-hydrology-2017-paper-6.html
ltu	2017	882	10.4236/eng.2017.97042	FALSE	Scientific Research Publishing Limited	Engineering	None	1947-3931	1947-394X	http://file.scirp.org/Html/5-8102857_78053.htm
ltu	2017	902	10.4236/eng.2017.96034	FALSE	Scientific Research Publishing Limited	Engineering	None	1947-3931	1947-394X	http://file.scirp.org/Html/3-8102846_77250.htm
ltu	2017	1797	10.1177/1687814017707135	FALSE	Sage Publications Ltd	Advances in Mechanical Engineering	None	1687-8132	1687-8140	http://journals.sagepub.com/doi/full/10.1177/1687814017707135
ltu	2017	1785	10.1177/0309524X17723207	TRUE	Sage Publications Ltd	Wind Engineering: The International Journal of Wind Power	None	0309-524X	2048-402X	http://journals.sagepub.com/doi/abs/10.1177/0309524X17723207
ltu	2017	2642	10.1016/j.triboint.2017.06.019	TRUE	Elsevier	Tribology International	None	0301-679X	1879-2464	https://www.sciencedirect.com/science/article/pii/S0301679X17303079
ltu	2017	2635	10.1016/j.triboint.2017.07.015	TRUE	Elsevier	Tribology International	None	0301-679X	1879-2464	http://www.sciencedirect.com/science/article/pii/S0301679X17303584?via%3Dihub
ltu	2017	1188	10.3390/polym9080335	FALSE	MDPI AG	Polymers	None	2073-4360	2073-4360	http://www.mdpi.com/2073-4360/9/8/335
ltu	2017	1278	10.1038/s41598-017-10518-4	FALSE	Macmillan Publishers Ltd	Scientific Reports	None	2045-2322	2045-2322	https://www.nature.com/articles/s41598-017-10518-4
ltu	2017	1805	10.1177/1550147717708728	FALSE	Sage Publications Ltd	International Journal of Distributed Sensor Networks	None	1550-1329	1550-1477	http://journals.sagepub.com/doi/10.1177/1550147717708728
ltu	2017	821	10.1186/s40537-017-0079-2	FALSE	Springer	Journal of Big Data	None	None	2196-1115	https://journalofbigdata.springeropen.com/articles/10.1186/s40537-017-0079-2
ltu	2017	1278	10.1038/s41598-017-07453-9	FALSE	Macmillan Publishers Ltd	Scientific Reports	None	2045-2322	2045-2322	https://www.nature.com/articles/s41598-017-07453-9
ltu	2017	1278	10.1038/s41598-017-09212-2	FALSE	Macmillan Publishers Ltd	Scientific Reports	None	2045-2322	2045-2322	https://www.nature.com/articles/s41598-017-09212-2
ltu	2017	1287	10.1016/j.crm.2017.08.003	FALSE	Elsevier	Climate Risk Management	None	None	2212-0963	http://www.sciencedirect.com/science/article/pii/S2212096317300232?via%3Dihub
ltu	2017	1250	10.1038/s41598-017-16597-7	FALSE	Macmillan Publishers Ltd	Scientific Reports	None	2045-2322	2045-2322	https://www.nature.com/articles/s41598-017-16597-7
ltu	2017	1250	10.1038/s41598-017-17260-x	FALSE	Macmillan Publishers Ltd	Scientific Reports	None	2045-2322	2045-2322	https://www.nature.com/articles/s41598-017-17260-x
ltu	2017	1397	10.1061/(ASCE)ST.1943-541X.0001976	TRUE	American Society of Civil Engineers (ASCE)	Journal of Structural Engineering	None	0733-9445	1943-541X	https://ascelibrary.org/doi/10.1061/%28ASCE%29ST.1943-541X.0001976
ltu	2017	2445	10.1016/j.applthermaleng.2017.08.006	TRUE	Elsevier	Applied Thermal Engineering	None	1359-4311	1873-5606	http://www.sciencedirect.com/science/article/pii/S135943111633664X?via%3Dihub
ltu	2017	1370	10.17265/1934-7359/2017.06.005	TRUE	David Publishing Company	Journal of Civil Engineering and Architecture	None	1934-7359	1934-7367	http://www.davidpublisher.org/index.php/Home/Article/index?id=32728.html
ltu	2017	1231	10.17265/1934-7359/2017.07.002	TRUE	David Publishing Company	Journal of Civil Engineering and Architecture	None	1934-7359	1934-7367	http://www.davidpublisher.org/index.php/Home/Article/index?id=33073.html
ltu	2017	835	10.4236/eng.2017.910048	FALSE	Scientific Research Publishing Limited	Engineering	None	1947-3931	1947-394X	http://file.scirp.org/Html/1-8102897_79510.htm
ltu	2017	841	10.4236/eng.2017.910050	FALSE	Scientific Research Publishing Limited	Engineering	None	1947-3931	1947-394X	http://file.scirp.org/Html/3-8102906_79620.htm
ltu	2017	799	10.17265/1934-7359/2017.08.005	TRUE	David Publishing Company	Journal of Civil Engineering and Architecture	None	1934-7359	1934-7367	http://www.davidpublisher.org/index.php/Home/Article/index?id=33436.html
ltu	2017	1044	10.3390/su9111932	FALSE	MDPI AG	Sustainability	None	2071-1050	2071-1050	http://www.mdpi.com/2071-1050/9/11/1932
ltu	2017	1562	10.2166/wcc.2017.083	TRUE	IWA Publishing	Journal of Water and Climate	2040-2244	None	None	http://jwcc.iwaponline.com/content/early/2017/12/12/wcc.2017.083
ltu	2017	1161	10.3390/su9101792	FALSE	MDPI AG	Sustainability	None	2071-1050	2071-1050	http://www.mdpi.com/2071-1050/9/10/1792
ltu	2017	830	10.4236/eng.2017.99047	FALSE	Scientific Research Publishing Limited	Engineering	None	1947-3931	1947-394X	http://file.scirp.org/Html/3-8102895_79329.htm
ltu	2017	2534	10.1016/j.energy.2017.09.107	TRUE	Elsevier	Energy	None	0360-5442	1873-6785	http://www.sciencedirect.com/science/article/pii/S0360544217316274?via%3Dihub
ltu	2017	1598	10.1177/1687814017732893	FALSE	Sage Publications Ltd	Advances in Mechanical Engineering	None	1687-8132	1687-8140	http://journals.sagepub.com/doi/abs/10.1177/1687814017732893
ltu	2017	1520	10.1364/AO.57.00A157	TRUE	Optical Society of America/OSA	Applied Optics	None	1559-128X	2155-3165	https://www.osapublishing.org/ao/abstract.cfm?uri=ao-57-1-A157
ltu	2017	1250	10.1038/s41598-017-14269-0	FALSE	Macmillan Publishers Ltd	Scientific Reports	None	2045-2322	2045-2322	https://www.nature.com/articles/s41598-017-14269-0
ltu	2017	1250	10.1038/s41598-017-15745-3	FALSE	Macmillan Publishers Ltd	Scientific Reports	None	2045-2322	2045-2322	https://www.nature.com/articles/s41598-017-15745-3
ltu	2017	1250	10.1038/s41598-017-14409-6	FALSE	Macmillan Publishers Ltd	Scientific Reports	None	2045-2322	2045-2322	https://www.nature.com/articles/s41598-017-14409-6
