"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"ltu",2018,1817,"10.5772/intechopen.80468",FALSE,"IntechOpen",NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
"ltu",2018,350,"10.3813/aaa.919181",TRUE,"S. Hirzel Verlag","Acta Acustica united with Acustica","1610-1928","1610-1928",NA,NA,NA,TRUE,NA,NA,NA,NA,FALSE
"ltu",2018,1807,"10.1155/2018/1249615",FALSE,"Hindawi Publishing Corporation","Advances in Materials Science and Engineering","1687-8434","1687-8434","1687-8442",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"ltu",2018,675,"10.15406/aaoaj.2018.02.00044",FALSE,"MedCrave Group","Aeronautics and Aerospace Open Access Journal","2576-4500",NA,"2576-4500",NA,NA,TRUE,NA,NA,NA,NA,FALSE
"ltu",2018,59,"10.14708/am.v11i0.1247",TRUE,"Polish Mathematical Society","Antiquitates Mathematicae","2353-8813","1898-5203","2353-8813",NA,NA,TRUE,NA,NA,NA,NA,FALSE
"ltu",2018,2027,"10.1128/aem.01628-18",TRUE,"American Society for Microbiology","Applied and Environmental Microbiology","0099-2240","0099-2240","1098-5336",NA,NA,TRUE,"30266731","PMC6238066",NA,NA,FALSE
"ltu",2018,3137,"10.1016/j.apenergy.2018.09.018",TRUE,"Elsevier","Applied Energy","0306-2619","0306-2619",NA,NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE
"ltu",2018,2298,"10.1016/j.apgeochem.2018.03.015",TRUE,"Elsevier","Applied Geochemistry","0883-2927","0883-2927",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE
"ltu",2018,1042,"10.3390/app8020316",FALSE,"MDPI","Applied Sciences","2076-3417",NA,"2076-3417",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"ltu",2018,1149,"10.15376/biores.13.4.8787-8801",FALSE,"North Carolina State University","BioResources","1930-2126",NA,"1930-2126",NA,NA,TRUE,NA,NA,NA,NA,TRUE
"ltu",2018,1296,"10.15376/biores.12.3.4606-4626",FALSE,"North Carolina State University","BioResources","1930-2126",NA,"1930-2126",NA,NA,TRUE,NA,NA,NA,NA,TRUE
"ltu",2018,1017,"10.15376/biores.13.2.4029-4045",FALSE,"North Carolina State University","BioResources","1930-2126",NA,"1930-2126",NA,NA,TRUE,NA,NA,NA,NA,TRUE
"ltu",2018,1150,"10.15376/biores.12.2.3570-3582",FALSE,"North Carolina State University","BioResources","1930-2126",NA,"1930-2126",NA,NA,TRUE,NA,NA,NA,NA,TRUE
"ltu",2018,2050,"10.1186/s13068-018-1163-3",FALSE,"BioMed Central","Biotechnology for Biofuels","1754-6834",NA,"1754-6834",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"29930706","PMC5992717",NA,NA,TRUE
"ltu",2018,2050,"10.1186/s13068-018-1173-1",FALSE,"BioMed Central","Biotechnology for Biofuels","1754-6834",NA,"1754-6834",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"29946359","PMC6008946",NA,NA,TRUE
"ltu",2018,1745,"10.1186/s12891-018-2324-z",FALSE,"BioMed Central","BMC Musculoskeletal Disorders","1471-2474",NA,"1471-2474",NA,NA,TRUE,"30486819","PMC6263552",NA,NA,TRUE
"ltu",2018,1591,"10.1016/j.cstp.2018.08.006",TRUE,"Elsevier","Case Studies on Transport Policy","2213-624X","2213-624X",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE
"ltu",2018,754,"10.3390/catal8070274",FALSE,"MDPI","Catalysts","2073-4344",NA,"2073-4344",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"ltu",2018,3004,"10.1016/j.chemosphere.2018.01.139",TRUE,"Elsevier","Chemosphere","0045-6535","0045-6535",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"29421741",NA,NA,NA,FALSE
