institution	period	euro	doi	is_hybrid	publisher	journal_full_title	issn	issn_print	issn_electronic	url
ltu	2018	86		FALSE	Scienpress Ltd	Journal of Earth Scienses and Geotechnical Engineering		1792-9040	1792-9660	http://www.scienpress.com/journal_focus.asp?main_id=59&Sub_id=IV&Issue=551039
ltu	2018	86		FALSE	Scienpress Ltd	Journal of Earth Scienses and Geotechnical Engineering		1792-9040	1792-9660	http://www.scienpress.com/journal_focus.asp?main_id=59&Sub_id=IV&Issue=586463
ltu	2018	86		FALSE	Scienpress Ltd	Journal of Earth Scienses and Geotechnical Engineering		1792-9040	1792-9660	http://www.scienpress.com/journal_focus.asp?main_id=59&Sub_id=IV&Issue=588431
ltu	2018	86		FALSE	Scienpress Ltd	Journal of Earth Scienses and Geotechnical Engineering		1792-9040	1792-9660	http://www.scienpress.com/journal_focus.asp?main_id=59&Sub_id=IV&Issue=590399
ltu	2018	86		FALSE	Scienpress Ltd	Journal of Earth Scienses and Geotechnical Engineering		1792-9040	1792-9660	http://www.scienpress.com/journal_focus.asp?main_id=59&Sub_id=IV&Issue=592367
ltu	2018	86		FALSE	Scienpress Ltd	Journal of Earth Scienses and Geotechnical Engineering		1792-9040	1792-9660	http://www.scienpress.com/journal_focus.asp?main_id=59&Sub_id=IV&Issue=594335
ltu	2018	86		FALSE	Scienpress Ltd	Journal of Earth Scienses and Geotechnical Engineering		1792-9040	1792-9660	https://www.scienpress.com/journal_focus.asp?main_id=59&Sub_id=IV&Issue=560879
ltu	2018	93		FALSE	Scienpress Ltd	Journal of Earth Scienses and Geotechnical Engineering		1792-9040	1792-9660	https://www.scienpress.com/journal_focus.asp?main_id=59&Sub_id=IV&Issue=625823
ltu	2018	93		FALSE	Scienpress Ltd	Journal of Earth Scienses and Geotechnical Engineering		1792-9040	1792-9660	https://www.scienpress.com/journal_focus.asp?main_id=59&Sub_id=IV&Issue=627791
ltu	2018	93		FALSE	Scienpress Ltd	Journal of Earth Scienses and Geotechnical Engineering		1792-9040	1792-9660	https://www.scienpress.com/journal_focus.asp?main_id=59&Sub_id=IV&Issue=629759
ltu	2018	93		FALSE	Scienpress Ltd	Journal of Earth Scienses and Geotechnical Engineering		1792-9040	1792-9660	https://www.scienpress.com/journal_focus.asp?main_id=59&Sub_id=IV&Issue=631727
ltu	2018	93		FALSE	Scienpress Ltd	Journal of Earth Scienses and Geotechnical Engineering		1792-9040	1792-9660	https://www.scienpress.com/journal_focus.asp?main_id=59&Sub_id=IV&Issue=633695
ltu	2018	93		FALSE	Scienpress Ltd	Journal of Earth Scienses and Geotechnical Engineering		1792-9040	1792-9660	https://www.scienpress.com/journal_focus.asp?main_id=59&Sub_id=IV&Issue=635663
ltu	2018	93		FALSE	Scienpress Ltd	Journal of Earth Scienses and Geotechnical Engineering		1792-9040	1792-9660	https://www.scienpress.com/journal_focus.asp?main_id=59&Sub_id=IV&Issue=637631
ltu	2018	93		FALSE	Scienpress Ltd	Journal of Earth Scienses and Geotechnical Engineering		1792-9040	1792-9660	https://www.scienpress.com/journal_focus.asp?main_id=59&Sub_id=IV&Issue=639599
ltu	2018	93		FALSE	Scienpress Ltd	Journal of Earth Scienses and Geotechnical Engineering		1792-9040	1792-9660	https://www.scienpress.com/journal_focus.asp?main_id=59&Sub_id=IV&Issue=641567
ltu	2018	93		FALSE	Scienpress Ltd	Journal of Earth Scienses and Geotechnical Engineering		1792-9040	1792-9660	https://www.scienpress.com/journal_focus.asp?main_id=59&Sub_id=IV&Issue=643535
ltu	2018	244		FALSE	The International Association for Environmental Hydrology	Journal of Environmental Hydrology	1058-3912			http://www.hydroweb.com/journal-hydrology-2018-paper-6.html
