institution	period	euro	doi	is_hybrid	publisher
ltu	2020	1369.876266	10.1063/1.5133711	FALSE	AIP Publishing
ltu	2020	676.4556419999999	10.1021/acsomega.9b02862	FALSE	American Chemical Society
ltu	2020	3003.181506	10.1128/AEM.01535-20	TRUE	American Society for Microbiology
ltu	2020	1806.876	10.1061/(ASCE)MT.1943-5533.0003381	TRUE	American Society of Civil Engineers (ASCE)
ltu	2020	1900.02456	10.1061/JSWBAY.0000919	TRUE	American Society of Civil Engineers (ASCE)
ltu	2020	1367.0142660000001	10.2991/ijcis.d.201105.001	FALSE	Atlantis Press
ltu	2020	978.96141	10.17743/jaes.2020.0003	TRUE	Audio Engineering Society, Inc.
ltu	2020	948.6099	10.17743/jaes.2020.0043	TRUE	Audio Engineering Society, Inc.
ltu	2020	1796.4068039999997	10.1186/s13068-019-1628-z	FALSE	BioMed Central
ltu	2020	1013.425614	10.5194/amt-13-1273-2020	FALSE	Copernicus Publications
ltu	2020	714.033702	10.17265/1934-7359/2020.06.001	FALSE	David Publishing Company
ltu	2020	681.577668	10.17265/1934-7359/2020.06.005	FALSE	David Publishing Company
ltu	2020	546.4578779999999	10.1016/j.aej.2020.12.034	FALSE	Elsevier
ltu	2020	1820.232	10.1016/j.egyr.2020.05.015	FALSE	Elsevier
ltu	2020	1794.1649039999998	10.1016/j.egyr.2020.11.033	FALSE	Elsevier
ltu	2020	2286.630198	10.1016/j.enggeo.2020.105480	TRUE	Elsevier
ltu	2020	1096.013394	10.1016/j.heliyon.2020.e04032	FALSE	Elsevier
ltu	2020	2425.870314	10.1016/j.icarus.2020.113785	TRUE	Elsevier
ltu	2020	1062.663462	10.1016/j.indmarman.2020.02.004	TRUE	Elsevier
ltu	2020	1916.111862	10.1016/j.jbusres.2020.01.009	TRUE	Elsevier
ltu	2020	3197.003778	10.1016/j.jclepro.2020.124150	TRUE	Elsevier
ltu	2020	2932.849764	10.1016/j.jenvman.2020.110890	TRUE	Elsevier
ltu	2020	2829.3503039999996	10.1016/j.jenvman.2020.111756	TRUE	Elsevier
ltu	2020	1140.996402	10.1016/j.jksus.2020.01.047	FALSE	Elsevier
ltu	2020	890.613378	10.1016/j.jmrt.2019.12.045	FALSE	Elsevier
ltu	2020	1783.6709039999998	10.1016/j.jrurstud.2020.05.009	TRUE	Elsevier
ltu	2020	2229.7365	10.1016/j.jwpe.2020.101271	TRUE	Elsevier
ltu	2020	3012.576498	10.1016/j.msea.2019.138691	TRUE	Elsevier
ltu	2020	2570.633136	10.1016/j.renene.2020.01.041	TRUE	Elsevier
ltu	2020	3101.771682	10.1016/j.scitotenv.2020.138121	TRUE	Elsevier
