institution	period	euro	doi	is_hybrid	publisher	journal_full_title	issn	issn_print	issn_electronic	url	Anmärkning
ltu	2018	1817	10.5772/intechopen.80468	FALSE	IntechOpen	(Bok titel: Stainless Steels and Alloys, ISBN print: 978-1-78985-369-8, 978-1-78985-370-4)				https://www.intechopen.com/books/stainless-steels-and-alloys/microstructure-tailored-stainless-steels-with-high-mechanical-performance-at-elevated-temperature	Bok Kapitel
ltu	2018	350	10.3813/AAA.919181	TRUE	S. Hirzel Verlag	Acta Acoustica united with Acustica		1610-1928	1861-9959	"https://www.ingentaconnect.com/content/dav/aaua/2018/00000104/00000003/art00002;jsessionid=91rjel9phbtdn.x-ic-live-03"	
ltu	2018	1807	10.1155/2018/1249615	FALSE	Hindawi Publishing Corporation	Advances in Materials Science and Engineering		1687-8434	1687-8442	https://www.hindawi.com/journals/amse/2018/1249615/	
ltu	2018	675	10.15406/aaoaj.2018.02.00044	FALSE	MedCrave Group	Aeronautics and Aerospace Open Access Journal			2576-4500	https://medcraveonline.com/AAOAJ/AAOAJ-02-00044.php	
ltu	2018	59	10.14708/am.v11i0.1247		Polish Mathematical Society	Antiquitates Mathematicae		1898-5203	2353-8813	https://wydawnictwa.ptm.org.pl/index.php/antiquitates-mathematicae/article/view/1247	
ltu	2018	2027	10.1128/AEM.01628-18	TRUE	American Society for Microbiology	Applied and Environmental Microbiology		0099-2240	1098-5336	https://aem.asm.org/content/84/23/e01628-18	
ltu	2018	3137	10.1016/j.apenergy.2018.09.018	TRUE	Elsevier	Applied Energy	0306-2619			https://www.sciencedirect.com/science/article/pii/S0306261918313266	
ltu	2018	2298	10.1016/j.apgeochem.2018.03.015	TRUE	Elsevier	Applied Geochemistry	0883-2927			https://www.sciencedirect.com/science/article/pii/S0883292718300751?via%3Dihub	
ltu	2018	1042	10.3390/app8020316	FALSE	MDPI AG	Applied Sciences	2076-3417			https://www.mdpi.com/2076-3417/8/2/316/htm	
ltu	2018	1149	10.15376/biores.13.4.8787-8801	FALSE	North Carolina State University	BioResources	1930-2126			https://ojs.cnr.ncsu.edu/index.php/BioRes/article/view/BioRes_13_4_8787_Myronycheva_Mold_Rot_Fungi_Copper_Scots_Sapwood	
ltu	2018	1296	10.15376/biores.12.3.4606-4626	FALSE	North Carolina State University	BioResources	1930-2126			https://ojs.cnr.ncsu.edu/index.php/BioRes/article/view/BioRes_12_3_4606_Myronycheva_Growth_Fruiting_Oyster_Mushroom_Strains	
ltu	2018	1017	10.15376/biores.13.2.4029-4045	FALSE	North Carolina State University	BioResources	1930-2126			https://bioresources.cnr.ncsu.edu/resources/production-and-in-plane-compression-mechanics-of-alternatively-angled-layered-cross-laminated-timber/	
ltu	2018	1150	10.15376/biores.12.2.3570-3582	FALSE	North Carolina State University	BioResources	1930-2126			https://bioresources.cnr.ncsu.edu/wp-content/uploads/2017/03/BioRes_12_2_3570_Bjorngrim_FH_Resistance_Meas_Moisture_Inclusions_Timber_Bridge_Cross_Section_11136.pdf	
ltu	2018	2050	10.1186/s13068-018-1163-3	FALSE	BioMed Central	Biotechnology for Biofuels			1754-6834	https://biotechnologyforbiofuels.biomedcentral.com/articles/10.1186/s13068-018-1163-3	
ltu	2018	2050	10.1186/s13068-018-1173-1	FALSE	BioMed Central	Biotechnology for Biofuels			1754-6834	https://biotechnologyforbiofuels.biomedcentral.com/articles/10.1186/s13068-018-1173-1	
ltu	2018	1745	10.1186/s12891-018-2324-z	FALSE	BMC	BMC Musculoskeletal Disorders	1471-2474			https://link.springer.com/epdf/10.1186/s12891-018-2324-z?author_access_token=2vQ9Xf8z-Ggbfk76nLyBRG_BpE1tBhCbnbw3BuzI2RNxusfIFDLNUYDsXYAf5OmRcFTNlriUwAOiTb5ka7YoxyxPhg16dKvCAyQNlInTW344BxdRjBYso3obVVpmAo6zsvPt5QuvOxrkxAZMhLQDUQ%3D%3D	
ltu	2018	1591	10.1016/j.cstp.2018.08.006	TRUE	Elsevier	Case Studies on Transport Policy	2213-624X			https://www.sciencedirect.com/science/article/pii/S2213624X1730247X	
ltu	2018	754	10.3390/catal8070274	FALSE	MDPI AG	Catalysts	2073-4344			https://www.mdpi.com/2073-4344/8/7/274/htm	
ltu	2018	3004	10.1016/j.chemosphere.2018.01.139	TRUE	Elsevier	Chemosphere		0045-6535	1879-1298	https://www.sciencedirect.com/science/article/pii/S0045653518301565?via%3Dihub	
ltu	2018	1078	10.1080/23311975.2018.1423870	FALSE	Taylor & Francis	Cogent Business & Management			2331-1975	https://www.cogentoa.com/article/10.1080/23311975.2018.1423870	
ltu	2018	452	10.1080/23311835.2017.1327502	FALSE	Taylor & Francis	Cogent Mathamatics			2331-1835	https://www.tandfonline.com/doi/full/10.1080/23311835.2017.1327502	
ltu	2018	2200	10.1016/j.csbj.2018.09.005	FALSE	Elsevier	Computational and Structural Biotechnology Journal	2001-0370			https://www.sciencedirect.com/science/article/pii/S2001037018300941	
ltu	2018	308	10.3390/computers7010019	FALSE	MDPI AG	Computers	2073-431X			https://www.mdpi.com/2073-431X/7/1/19/htm	
ltu	2018	1572	10.1159/000484890	FALSE	S. Karger	Dementia and geriatric cognitive disorders extra			1664-5464	https://www.karger.com/Article/FullText/484890	
ltu	2018	1771	10.1159/000493339	FALSE	S. Karger	Dementia and geriatric cognitive disorders extra			1664-5464	https://www.karger.com/Article/Pdf/493339	
ltu	2018	380	10.5348/100038D05SO2018OA	FALSE	Edorium	Edorium Journal of Disability and Rehabilitation	2456-8392			https://www.ejdisabilityrehabilitation.com/archive/2018-articles/2018100038D05SO-olga/100038D05SO-full-text.php	
ltu	2018	1307	10.3390/en11123415	FALSE	MDPI AG	Energies	1996-1073			https://www.mdpi.com/1996-1073/11/12/3415/htm	
ltu	2018	1366	10.3390/en11030644	FALSE	MDPI AG	Energies	1996-1073			https://www.mdpi.com/1996-1073/11/3/644/htm	
ltu	2018	2784	10.1016/j.energy.2018.05.097	TRUE	Elsevier	Energy	0360-5442			https://www.sciencedirect.com/science/article/pii/S0360544218309174	
ltu	2018	2720	10.1016/j.energy.2018.11.065	TRUE	Elsevier	Energy	0360-5442			https://www.sciencedirect.com/science/article/pii/S036054421832276X	
ltu	2018	916	10.4236/eng.2018.1010046	FALSE	Scientific Research Publishing	Engineering		1947-3931 	1947-394X	https://file.scirp.org/Html/1-8103106_87732.htm	
ltu	2018	923	10.4236/eng.2018.105018	FALSE	Scientific Research Publishing	Engineering	1947-3931	1947-394X		https://file.scirp.org/Html/3-8103033_84687.htm	
ltu	2018	914	10.4236/eng.2018.106021	FALSE	Scientific Research Publishing	Engineering		1947-3931	1947-394X	https://www.scirp.org/journal/PaperInformation.aspx?PaperID=85135	
ltu	2018	1100	10.1186/s13640-018-0332-4	FALSE	Springer Open	EURASIP Journal on Image and Video Processing			1687-5281	https://jivp-eurasipjournals.springeropen.com/articles/10.1186/s13640-018-0332-4	
ltu	2018	2651	10.1016/j.gca.2018.07.030	TRUE	Elsevier	Geochimica et Cosmochimica Acta	0016-7037			https://www.sciencedirect.com/science/article/pii/S0016703718304162?via%3Dihub	
ltu	2018	497	10.3390/geosciences8070236	FALSE	MDPI AG	Geosciences	2076-3263			https://www.mdpi.com/2076-3263/8/7/236/htm	
ltu	2018	806	10.14485/HBPR.5.2.9	TRUE	Paris Scholar Publishing	Health Behavior and Policy Review			2326-4403	"https://www.ingentaconnect.com/content/psp/hbpr/2018/00000005/00000002/art00009;jsessionid=7v4btaa8uo9g7.x-ic-live-02"	
ltu	2018	2730	10.1093/heapro/day083	TRUE	Oxford University Press	Health Promotion International		0957-4824	1460-2245	https://academic.oup.com/heapro/advance-article/doi/10.1093/heapro/day083/5146510?guestAccessKey=0dab307b-3022-40eb-997f-fd162bb31dc4	
ltu	2018	3548	10.1002/hyp.11446	TRUE	John Wiley & Sons	Hydrological Processes		0885-6087	1099-1085	https://onlinelibrary.wiley.com/doi/full/10.1002/hyp.11446	
ltu	2018	1820	10.1109/ACCESS.2018.2838339	FALSE	IEEE	IEEE Access			2169-3536	https://ieeexplore.ieee.org/document/8360930	
ltu	2018	1921	10.1109/ACCESS.2018.2840128	FALSE	IEEE	IEEE Access			2169-3536	https://ieeexplore.ieee.org/document/8367786	
ltu	2018	1995	10.1109/ACCESS.2018.2875623	FALSE	IEEE	IEEE Access			2169-3536	https://ieeexplore.ieee.org/document/8489849	
ltu	2018	1700	10.1109/TPAMI.2018.2836422	TRUE	IEEE	IEEE Transaction on Pattern Analysis and Machine Intelligence		0162-8828	1939-3539	https://ieeexplore.ieee.org/document/8387507	
ltu	2018	1608	10.1109/TCSI.2018.2797527	TRUE	IEEE	IEEE Transactions on Circuits and Systems Part 1: Regular Papers		1549-8328	1558-0806	https://ieeexplore.ieee.org/document/8290572	
ltu	2018	249	10.1109/TPWRD.2018.2881222	TRUE	IEEE	IEEE Transactions on Power Delivery		0885-8977	1937-4208	https://ieeexplore.ieee.org/document/8534456	
ltu	2018	1406	10.3390/ijerph15112495	FALSE	MDPI AG	International Journal of Environmental Research and Public Health		1661-7827	1660-4601	https://www.mdpi.com/1660-4601/15/11/2495/htm	
ltu	2018	1203	10.1111/opn.12178	TRUE	John Wiley & Sons	International Journal of Older People Nursing			1748-3743	https://onlinelibrary.wiley.com/doi/full/10.1111/opn.12178	
ltu	2018	1250	10.1080/17482631.2018.1441592	FALSE	Taylor & Francis	International Journal of Qualitative Studies on Health and Well-being			1748-2631	https://www.tandfonline.com/doi/full/10.1080/17482631.2018.1441592	
ltu	2018	792	10.1155/2018/2981739	FALSE	Hindawi Publishing Corporation	International Journal of Rotating Machinery		1023-621X	1542-3034	https://www.hindawi.com/journals/ijrm/2018/2981739/	
ltu	2018	1048	10.1155/2017/9306192	FALSE	Hindawi Publishing Corporation	International Journal of Telemedicine and Applications		1687-6415	1687-6423	https://www.hindawi.com/journals/ijta/2017/9306192/	
ltu	2018	1630	10.2196/resprot.9505	FALSE	JMIR Publications	JMIR Research Protocols	1929-0748			https://www.researchprotocols.org/2018/5/e123/	
ltu	2018	987	10.1016/j.jbvi.2018.01.002	TRUE	Elsevier	Journal of Business Venturing Insights	2352-6734			https://www.sciencedirect.com/science/article/pii/S2352673417300938?via%3Dihub	
ltu	2018	972	10.1016/j.jbvi.2018.e00096	TRUE	Elsevier	Journal of Business Venturing Insights	2352-6734			https://www.sciencedirect.com/science/article/pii/S2352673418300568	
ltu	2018	740	10.17265/1934-7359/2018.02.001	FALSE	David Publishing Company	Journal of Civil Engineering and Architecture		1934-7359	1934-7367	http://www.davidpublisher.org/index.php/Home/Article/index?id=35397.html	
ltu	2018	1167	10.17265/1934-7359/2018.10.005	FALSE	David Publishing Company	Journal of Civil Engineering and Architecture		1934-7359	1934-7367	http://www.davidpublisher.org/index.php/Home/Article/index?id=37848.html	
