institution	period	euro	doi	is_hybrid	publisher
lu	2020	1281.05505	10.1016/j.ssmph.2019.100501	FALSE	Elsevier
lu	2020	1653.728472	10.3390/en13020339	FALSE	MDPI
lu	2020	2156.232708	10.1016/j.brainres.2019.146614	TRUE	Elsevier
lu	2020	1422.358668	10.1371/journal.pone.0226799	FALSE	Public Library of Science (PLoS)
lu	2020	1582.373088	10.3390/su12030824	FALSE	MDPI
lu	2020	2744.181	10.1002/chir.23167	TRUE	Wiley
lu	2020	3588.83352	10.1021/acs.energyfuels.9b03263	TRUE	American Chemical Society (ACS)
lu	2020	711.48843	10.26717/bjstr.2019.23.003960	FALSE	Biomedical research network
lu	2020	1488.3582959999999	10.3390/catal10010132	FALSE	MDPI
lu	2020	2032.1726399999998	10.3389/fbioe.2019.00413	FALSE	Frontiers
lu	2020	1550.653542	10.3389/fevo.2019.00475	FALSE	Frontiers
lu	2020	1099.431576	10.3390/foods8120627	FALSE	MDPI
lu	2020	1111.547376	10.3390/foods9010083	FALSE	MDPI
lu	2020	1576.0394820000001	10.3390/ijerph17030691	FALSE	MDPI
lu	2020	1841.3611919999998	10.1364/oe.386068	FALSE	Optical Society of America (OSA)
lu	2020	685.581606	10.1093/biomethods/bpaa001	FALSE	Oxford University Press (OUP)
lu	2020	2420.11674	10.1002/1873-3468.13718	TRUE	Wiley
lu	2020	1048.129272	10.1002/advs.201902011	FALSE	Wiley
lu	2020	1287.5785019999998	10.1016/j.heliyon.2019.e03067	FALSE	Cell Press
lu	2020	2608.53174	10.1016/j.preghy.2019.12.005	TRUE	Elsevier
lu	2020	3592.3824	10.1111/pcmr.12851	TRUE	Wiley
lu	2020	572.4	10.1136/bmjopen-2019-032290	FALSE	BMJ
lu	2020	2272.263912	10.1136/injuryprev-2019-043468	TRUE	BMJ
lu	2020	2205.494406	10.1210/jendso/bvz036	FALSE	Oxford University Press (OUP)
lu	2020	1119.9463919999998	10.23880/ggtij-16000113	FALSE	Medwin Publishers
lu	2020	1996.5121199999999	10.1007/s40801-019-00176-5	FALSE	Springer Science and Business Media LLC
lu	2020	1582.458948	10.1186/s12879-019-4742-4	FALSE	BioMed Central
lu	2020	2776.399488	10.1186/s13075-019-2077-6	FALSE	BioMed Central
lu	2020	1417.717458	10.1371/journal.pone.0226371	FALSE	Public Library of Science (PLoS)
lu	2020	1417.717458	10.1371/journal.pone.0227364	FALSE	Public Library of Science (PLoS)
lu	2020	1417.717458	10.1371/journal.pone.0227644	FALSE	Public Library of Science (PLoS)
lu	2020	1765.924596	10.2147/jmdh.s240140	FALSE	Dove Medical Press
lu	2020	715.0707	10.3389/fcvm.2019.00171	FALSE	Frontiers
lu	2020	2407.594536	10.3389/fimmu.2019.02734	FALSE	Frontiers
lu	2020	2407.594536	10.3389/fimmu.2019.02765	FALSE	Frontiers
lu	2020	2407.594536	10.3389/fimmu.2019.02809	FALSE	Frontiers
lu	2020	1511.864856	10.3389/fnana.2019.00102	FALSE	Frontiers
lu	2020	2034.8877240000002	10.3389/fonc.2019.01563	FALSE	Frontiers
lu	2020	2407.594536	10.3389/fpsyt.2019.00911	FALSE	Frontiers
lu	2020	1056.551184	10.3390/ijms21020387	FALSE	MDPI
lu	2020	2031.965622	10.1098/rspb.2019.2675	TRUE	The Royal Society
lu	2020	750.0491099999999	10.3176/proc.2020.1.03	FALSE	Estonian Academy of Sciences
lu	2020	3473.2020420000003	10.1126/sciadv.aa28645	FALSE	American Association for the Advancement of Science (AAAS)
lu	2020	2194.64361	10.1016/j.catena.2019.104085	FALSE	Elsevier
lu	2020	4140.126270000001	10.1126/sciadv.aax4184	FALSE	American Association for the Advancement of Science (AAAS)
lu	2020	775.3272479999999	10.3389/fsufs.2019.00107	FALSE	Frontiers
lu	2020	1099.269396	10.3390/biom10010045	FALSE	MDPI
lu	2020	2410.952616	10.1080/03066150.2019.1708724	TRUE	Taylor & Francis
lu	2020	1028.066652	10.1016/j.ijdrr.2019.101452	TRUE	Elsevier
lu	2020	774.6270119999999	10.3390/su12010383	FALSE	MDPI
lu	2020	2648.312586	10.3389/fpsyg.2020.00016	FALSE	Frontiers
lu	2020	1074.663828	10.1177/1729881420911498	TRUE	SAGE Publications
lu	2020	743.178402	10.3828/hgr.2018.21	TRUE	Liverpool University Press
lu	2020	743.178402	10.3828/hgr.2018.22	TRUE	Liverpool University Press
