"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"lu",2020,1281.05505,"10.1016/j.ssmph.2019.100501",FALSE,"Elsevier","SSM - Population Health","2352-8273","2352-8273",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"31720360","PMC6839008",NA,NA,TRUE
"lu",2020,1653.728472,"10.3390/en13020339",FALSE,"MDPI","Energies","1996-1073",NA,"1996-1073",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"lu",2020,2156.232708,"10.1016/j.brainres.2019.146614",TRUE,"Elsevier","Brain Research","0006-8993","0006-8993",NA,NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"31862273",NA,NA,NA,FALSE
"lu",2020,1422.358668,"10.1371/journal.pone.0226799",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"32023249","PMC7001898",NA,NA,TRUE
"lu",2020,1582.373088,"10.3390/su12030824",FALSE,"MDPI","Sustainability","2071-1050",NA,"2071-1050",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"lu",2020,2744.181,"10.1002/chir.23167",TRUE,"Wiley","Chirality","0899-0042","0899-0042","1520-636X",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"31930590","PMC7027874",NA,NA,FALSE
"lu",2020,3588.83352,"10.1021/acs.energyfuels.9b03263",TRUE,"American Chemical Society (ACS)","Energy & Fuels","0887-0624","0887-0624","1520-5029",NA,"http://pubs.acs.org/page/policy/authorchoice_termsofuse.html",TRUE,NA,NA,NA,NA,FALSE
"lu",2020,711.48843,"10.26717/bjstr.2019.23.003960",FALSE,"Biomedical research network","Biomedical Journal of Scientific & Technical Research","2574-1241",NA,"2574-1241",NA,NA,TRUE,NA,NA,NA,NA,FALSE
"lu",2020,1488.3582959999999,"10.3390/catal10010132",FALSE,"MDPI","Catalysts","2073-4344",NA,"2073-4344",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"lu",2020,2032.1726399999998,"10.3389/fbioe.2019.00413",FALSE,"Frontiers","Frontiers in Bioengineering and Biotechnology","2296-4185",NA,"2296-4185",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,"31921817","PMC6923635",NA,NA,TRUE
"lu",2020,1550.653542,"10.3389/fevo.2019.00475",FALSE,"Frontiers","Frontiers in Ecology and Evolution","2296-701X",NA,"2296-701X",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"lu",2020,1099.431576,"10.3390/foods8120627",FALSE,"MDPI","Foods","2304-8158",NA,"2304-8158",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,"31805678","PMC6963604",NA,NA,TRUE
"lu",2020,1111.547376,"10.3390/foods9010083",FALSE,"MDPI","Foods","2304-8158",NA,"2304-8158",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,"31940907","PMC7023049",NA,NA,TRUE
"lu",2020,1576.0394820000001,"10.3390/ijerph17030691",FALSE,"MDPI","International Journal of Environmental Research and Public Health","1660-4601",NA,"1660-4601",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,"31973097","PMC7037316",NA,NA,TRUE
"lu",2020,1841.3611919999998,"10.1364/oe.386068",FALSE,"Optical Society of America (OSA)","Optics Express","1094-4087",NA,"1094-4087",NA,NA,TRUE,"32121735",NA,NA,NA,TRUE
"lu",2020,685.581606,"10.1093/biomethods/bpaa001",FALSE,"Oxford University Press (OUP)","Biology Methods and Protocols","2396-8923",NA,"2396-8923",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"32161811","PMC6994045",NA,NA,TRUE
"lu",2020,2420.11674,"10.1002/1873-3468.13718",TRUE,"Wiley","FEBS Letters","0014-5793","0014-5793","1873-3468",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"31845319",NA,NA,NA,FALSE
"lu",2020,1048.129272,"10.1002/advs.201902011",FALSE,"Wiley","Advanced Science","2198-3844","2198-3844","2198-3844",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"31871869","PMC6918109",NA,NA,TRUE
"lu",2020,1287.5785019999998,"10.1016/j.heliyon.2019.e03067",FALSE,"Cell Press","Heliyon","2405-8440","2405-8440",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"31909251","PMC6940631",NA,NA,TRUE
"lu",2020,2608.53174,"10.1016/j.preghy.2019.12.005",TRUE,"Elsevier","Pregnancy Hypertension","2210-7789","2210-7789",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"31864208",NA,NA,NA,FALSE
"lu",2020,3592.3824,"10.1111/pcmr.12851",TRUE,"Wiley","Pigment Cell & Melanoma Research","1755-1471","1755-1471","1755-148X",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"31811783","PMC7217060",NA,NA,TRUE
"lu",2020,572.4,"10.1136/bmjopen-2019-032290",FALSE,"BMJ","BMJ Open","2044-6055","2044-6055","2044-6055",NA,NA,TRUE,"31831542","PMC6924838",NA,NA,TRUE
"lu",2020,2272.263912,"10.1136/injuryprev-2019-043468",TRUE,"BMJ","Injury Prevention","1353-8047","1353-8047","1475-5785",NA,"http://creativecommons.org/licenses/by-nc/4.0/",TRUE,"32019772","PMC7146925",NA,NA,FALSE
"lu",2020,2205.494406,"10.1210/jendso/bvz036",FALSE,"The Endocrine Society","Journal of the Endocrine Society","2472-1972",NA,"2472-1972",NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"32010875","PMC6984998",NA,NA,TRUE
"lu",2020,1119.9463919999998,"10.23880/ggtij-16000113",FALSE,"Medwin Publishers","Genomics & Gene Therapy International Journal","2642-1194",NA,"2642-1194",NA,NA,TRUE,NA,NA,NA,NA,FALSE
"lu",2020,1996.5121199999999,"10.1007/s40801-019-00176-5",FALSE,"Springer Science and Business Media LLC","Drugs - Real World Outcomes","2199-1154","2199-1154","2198-9788",NA,"https://creativecommons.org/licenses/by-nc/4.0",TRUE,"31834621","PMC7060975",NA,NA,TRUE
"lu",2020,1582.458948,"10.1186/s12879-019-4742-4",FALSE,"BioMed Central","BMC Infectious Diseases","1471-2334",NA,"1471-2334",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"31973742","PMC6979078",NA,NA,TRUE
"lu",2020,2776.399488,"10.1186/s13075-019-2077-6",FALSE,"BioMed Central","Arthritis Research & Therapy","1478-6362",NA,"1478-6362",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"31847885","PMC6918617",NA,NA,TRUE
"lu",2020,1417.717458,"10.1371/journal.pone.0226371",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"31846492","PMC6917284",NA,NA,TRUE
"lu",2020,1417.717458,"10.1371/journal.pone.0227364",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"31895938","PMC6939935",NA,NA,TRUE
"lu",2020,1417.717458,"10.1371/journal.pone.0227644",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"31923269","PMC6953879",NA,NA,TRUE
"lu",2020,1765.924596,"10.2147/jmdh.s240140",FALSE,"Dove Medical Press","Journal of Multidisciplinary Healthcare","1178-2390",NA,"1178-2390",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"32103978","PMC7029585",NA,NA,TRUE
"lu",2020,715.0707,"10.3389/fcvm.2019.00171",FALSE,"Frontiers","Frontiers in Cardiovascular Medicine","2297-055X",NA,"2297-055X",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,"31824964","PMC6886369",NA,NA,TRUE
"lu",2020,2407.594536,"10.3389/fimmu.2019.02734",FALSE,"Frontiers","Frontiers in Immunology","1664-3224",NA,"1664-3224",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,"31824510","PMC6882868",NA,NA,TRUE
"lu",2020,2407.594536,"10.3389/fimmu.2019.02765",FALSE,"Frontiers","Frontiers in Immunology","1664-3224",NA,"1664-3224",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,"31849956","PMC6895140",NA,NA,TRUE
"lu",2020,2407.594536,"10.3389/fimmu.2019.02809",FALSE,"Frontiers","Frontiers in Immunology","1664-3224",NA,"1664-3224",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,"31921109","PMC6917620",NA,NA,TRUE
"lu",2020,1511.864856,"10.3389/fnana.2019.00102",FALSE,"Frontiers","Frontiers in Neuroanatomy","1662-5129",NA,"1662-5129",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,"31969808","PMC6960112",NA,NA,TRUE
"lu",2020,2034.8877240000002,"10.3389/fonc.2019.01563",FALSE,"Frontiers","Frontiers in Oncology","2234-943X",NA,"2234-943X",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,"32010633","PMC6979639",NA,NA,TRUE
"lu",2020,2407.594536,"10.3389/fpsyt.2019.00911",FALSE,"Frontiers","Frontiers in Psychiatry","1664-0640",NA,"1664-0640",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,"31920758","PMC6927936",NA,NA,TRUE
"lu",2020,1056.551184,"10.3390/ijms21020387",FALSE,"MDPI","International Journal of Molecular Sciences","1422-0067",NA,"1422-0067",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,"31936248","PMC7014296",NA,NA,TRUE
"lu",2020,2031.965622,"10.1098/rspb.2019.2675",TRUE,"The Royal Society","Proceedings of the Royal Society B: Biological Sciences","0962-8452","0962-8452","1471-2954",NA,"https://royalsociety.org/journals/ethics-policies/data-sharing-mining/",TRUE,"31992169","PMC7015325",NA,NA,FALSE
"lu",2020,750.0491099999999,"10.3176/proc.2020.1.03",FALSE,"Estonian Academy Publishers","Proceedings of the Estonian Academy of Sciences","1736-6046","1736-6046",NA,NA,NA,TRUE,NA,NA,NA,NA,TRUE
"lu",2020,3473.2020420000003,"10.1126/sciadv.aa28645",FALSE,"American Association for the Advancement of Science (AAAS)",NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
"lu",2020,2194.64361,"10.1016/j.catena.2019.104085",FALSE,"Elsevier","CATENA","0341-8162","0341-8162",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE
"lu",2020,4140.126270000001,"10.1126/sciadv.aax4184",FALSE,"American Association for the Advancement of Science (AAAS)","Science Advances","2375-2548",NA,"2375-2548",NA,NA,TRUE,"31555741","PMC6750910",NA,NA,TRUE
"lu",2020,775.3272479999999,"10.3389/fsufs.2019.00107",FALSE,"Frontiers","Frontiers in Sustainable Food Systems","2571-581X",NA,"2571-581X",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"lu",2020,1099.269396,"10.3390/biom10010045",FALSE,"MDPI","Biomolecules","2218-273X",NA,"2218-273X",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,"31892223","PMC7022511",NA,NA,TRUE
"lu",2020,2410.952616,"10.1080/03066150.2019.1708724",TRUE,"Taylor & Francis","The Journal of Peasant Studies","0306-6150","0306-6150","1743-9361",NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE
"lu",2020,1028.066652,"10.1016/j.ijdrr.2019.101452",TRUE,"Elsevier","International Journal of Disaster Risk Reduction","2212-4209","2212-4209",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE
"lu",2020,774.6270119999999,"10.3390/su12010383",FALSE,"MDPI","Sustainability","2071-1050",NA,"2071-1050",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"lu",2020,2648.312586,"10.3389/fpsyg.2020.00016",FALSE,"Frontiers","Frontiers in Psychology","1664-1078",NA,"1664-1078",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,"32140118","PMC7043268",NA,NA,TRUE
"lu",2020,1074.663828,"10.1177/1729881420911498",TRUE,"SAGE Publications","International Journal of Advanced Robotic Systems","1729-8814","1729-8814","1729-8814",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"lu",2020,743.178402,"10.3828/hgr.2018.21",TRUE,"Liverpool University Press","Hunter Gatherer Research","2056-3264",NA,"2056-3264",NA,NA,TRUE,NA,NA,NA,NA,FALSE
"lu",2020,743.178402,"10.3828/hgr.2018.22",TRUE,"Liverpool University Press","Hunter Gatherer Research","2056-3264",NA,"2056-3264",NA,NA,TRUE,NA,NA,NA,NA,FALSE
"lu",2020,743.178402,"10.3828/hgr.2018.25",TRUE,"Liverpool University Press","Hunter Gatherer Research","2056-3264",NA,"2056-3264",NA,NA,TRUE,NA,NA,NA,NA,FALSE
"lu",2020,2428.5663179999997,"10.3389/fpsyg.2020.00215",FALSE,"Frontiers","Frontiers in Psychology","1664-1078",NA,"1664-1078",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,"32132955","PMC7040203",NA,NA,TRUE
"lu",2020,871.996068,"10.1016/j.lrp.2019.101953",TRUE,"Elsevier","Long Range Planning","0024-6301","0024-6301",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE
"lu",2020,1579.07988,"10.1038/s41597-020-0411-0",FALSE,"Springer Science and Business Media LLC","Scientific Data","2052-4463",NA,"2052-4463",NA,"https://creativecommons.org/licenses/by/4.0",TRUE,"32127530","PMC7054268",NA,NA,TRUE
"lu",2020,1710.699444,"10.3390/en13051048",FALSE,"MDPI","Energies","1996-1073",NA,"1996-1073",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"lu",2020,1704.194118,"10.3390/su12031096",FALSE,"MDPI","Sustainability","2071-1050",NA,"2071-1050",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"lu",2020,1282.589082,"10.1002/2211-5463.12789",FALSE,"Wiley","FEBS Open Bio","2211-5463","2211-5463","2211-5463",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"31950675","PMC7137789",NA,NA,TRUE
"lu",2020,790.73721,"10.3390/su12030783",FALSE,"MDPI","Sustainability","2071-1050",NA,"2071-1050",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"lu",2020,1933.2647820000002,"10.1172/jci.insight.131886",FALSE,"American Society for Clinical Investigation","JCI Insight","2379-3708",NA,"2379-3708",NA,NA,TRUE,"31661468","PMC6962029",NA,NA,TRUE
"lu",2020,4488.6654,"10.1001/jamaneurol.2019.5154",TRUE,"American Medical Association (AMA)","JAMA Neurology","2168-6149","2168-6149",NA,NA,NA,TRUE,"32091549","PMC7042808",NA,NA,FALSE
"lu",2020,588.7191240000001,"10.1016/j.ocarto.2020.100040",FALSE,"Elsevier","Osteoarthritis and Cartilage Open","2665-9131","2665-9131",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE
