institution,period,euro,doi,is_hybrid,publisher,journal_full_title,issn,issn_print,issn_electronic,url
lu,2024,1830.24,10.1093/jleuko/qiad152,TRUE,Oxford University Press,Journal of Leukocyte Biology,,,,
lu,2024,2598.91,10.3389/fimmu.2023.1310271,FALSE,Frontiers Media Sa,Frontiers in Immunology,,,,
lu,2024,2598.91,10.3389/fmolb.2023.1343979,FALSE,Frontiers Media Sa,Frontiers in Molecular Biosciences,,,,
lu,2024,2598.91,10.3389/fonc.2023.1309174,FALSE,Frontiers Media Sa,Frontiers in Oncology,,,,
lu,2024,2598.91,10.3389/fonc.2023.1304106,FALSE,Frontiers Media Sa,Frontiers in Oncology,,,,
lu,2024,2191.95,10.3389/fphy.2023.1340288,FALSE,Frontiers Media Sa,Frontiers in Physics,,,,
lu,2024,2598.91,10.3389/fphys.2023.1287365,FALSE,Frontiers Media Sa,Frontiers in Physiology,,,,
lu,2024,2598.91,10.3389/fsurg.2023.1334655,FALSE,Frontiers Media Sa,Frontiers in Surgery,,,,
lu,2024,1676.20,10.3389/fsufs.2023.1234108,FALSE,Frontiers Media Sa,Frontiers in Sustainable Food Systems,,,,
lu,2024,1378.98,10.1093/glycob/cwae007,TRUE,Oxford University Press,Glycobiology,,,,
lu,2024, 833.88,10.1002/acm2.14463,FALSE,John Wiley and Sons Ltd,The Journal of Applied Clinical Medical Physics,,,,
lu,2024,2381.15,10.1210/clinem/dgae510,TRUE,Oxford University Press,The Journal of Clinical Endocrinology & Metabolism,,,,
lu,2024,   0.00,10.3389/fvets.2024.1506106,FALSE,Frontiers Media Sa,Frontiers in Veterinary Science,,,,
lu,2024,   0.00,10.3389/fgstr.2024.1468394,FALSE,Frontiers Media Sa,Frontiers in Gastroenterology,,,,
lu,2024,   0.00,10.3389/fpubh.2024.1452085,FALSE,Frontiers Media Sa,Frontiers in Public Health,,,,
lu,2024,   0.00,10.3389/fpsyt.2024.1455343,FALSE,Frontiers Media Sa,Frontiers in Psychiatry,,,,
lu,2024,   0.00,10.3389/fimmu.2024.1459933,FALSE,Frontiers Media Sa,Frontiers in Immunology,,,,
lu,2024,   0.00,10.3389/fnut.2024.1478155,FALSE,Frontiers Media Sa,Frontiers in Nutrition,,,,
lu,2024,   0.00,10.3389/fsuep.2024.1460370,FALSE,Frontiers Media Sa,Frontiers in Sustainable Energy Policy,,,,
lu,2024,   0.00,10.3389/fcomm.2024.1401644,FALSE,Frontiers Media Sa,Frontiers in Communication,,,,
lu,2024,   0.00,10.3389/fnut.2024.1497844,FALSE,Frontiers Media Sa,Frontiers in Nutrition,,,,
lu,2024,   0.00,10.3389/fnins.2024.1415397,FALSE,Frontiers Media Sa,Frontiers in Neuroscience,,,,
lu,2024,   0.00,10.3389/fmed.2024.1458394,FALSE,Frontiers Media Sa,Frontiers in Medicine,,,,
lu,2024,   0.00,10.3389/fnut.2024.1478399,FALSE,Frontiers Media Sa,Frontiers in Nutrition,,,,
lu,2024,   0.00,10.3389/frobt.2024.1456613,FALSE,Frontiers Media Sa,Frontiers in Robotics and AI,,,,
lu,2024,   0.00,10.3389/fmed.2024.1453462,FALSE,Frontiers Media Sa,Frontiers in Medicine,,,,
lu,2024,   0.00,10.3389/fpsyg.2024.1446240,FALSE,Frontiers Media Sa,Frontiers in Psychology,,,,
lu,2024,   0.00,10.3389/frabi.2024.1439688,FALSE,Frontiers Media Sa,Frontiers in Antibiotics,,,,
lu,2024,   0.00,10.3389/fpos.2024.1456990,FALSE,Frontiers Media Sa,Frontiers in Political Science,,,,
lu,2024,   0.00,10.3389/frai.2024.1415782,FALSE,Frontiers Media Sa,Frontiers in Artificial Intelligence,,,,
lu,2024,   0.00,10.3389/fnmol.2024.1458070,FALSE,Frontiers Media Sa,Frontiers in Molecular Neuroscience,,,,
lu,2024,   0.00,10.3389/fnins.2024.1435212,FALSE,Frontiers Media Sa,Frontiers in Neuroscience,,,,
lu,2024,   0.00,10.3389/fnins.2024.1400963,FALSE,Frontiers Media Sa,Frontiers in Neuroscience,,,,
lu,2024,   0.00,10.3389/fsoc.2024.1367517,FALSE,Frontiers Media Sa,Frontiers in Sociology,,,,
lu,2024,   0.00,10.3389/fpubh.2024.1454729,FALSE,Frontiers Media Sa,Frontiers in Public Health,,,,
lu,2024,   0.00,10.3389/fmicb.2024.1440081,FALSE,Frontiers Media Sa,Frontiers in Microbiology,,,,
lu,2024,   0.00,10.3389/fcimb.2024.1405333,FALSE,Frontiers Media Sa,Frontiers in Cellular and Infection Microbiology,,,,
lu,2024,   0.00,10.3389/fimmu.2024.1416669,FALSE,Frontiers Media Sa,Frontiers in Immunology,,,,
lu,2024,   0.00,10.3389/fphar.2024.1405497,FALSE,Frontiers Media Sa,Frontiers in Pharmacology,,,,
lu,2024,   0.00,10.3389/fpls.2024.1418658,FALSE,Frontiers Media Sa,Frontiers in Plant Science,,,,
lu,2024,   0.00,10.3389/fsurg.2024.1349351,FALSE,Frontiers Media Sa,Frontiers in Surgery,,,,
lu,2024,   0.00,10.3389/fcomm.2024.1430685,FALSE,Frontiers Media Sa,Frontiers in Communication,,,,
lu,2024,   0.00,10.3389/fsufs.2024.1423861,FALSE,Frontiers Media Sa,Frontiers in Sustainable Food Systems,,,,
lu,2024,   0.00,10.3389/fonc.2024.1394448,FALSE,Frontiers Media Sa,Frontiers in Oncology,,,,
lu,2024,   0.00,10.3389/fpubh.2024.1412306,FALSE,Frontiers Media Sa,Frontiers in Public Health,,,,
lu,2024,   0.00,10.3389/fnut.2024.1395745,FALSE,Frontiers Media Sa,Frontiers in Nutrition,,,,
lu,2024,   0.00,10.3389/fped.2024.1376371,FALSE,Frontiers Media Sa,Frontiers in Pediatrics,,,,
lu,2024,   0.00,10.3389/fnmol.2024.1425780,FALSE,Frontiers Media Sa,Frontiers in Molecular Neuroscience,,,,
lu,2024,   0.00,10.3389/fhumd.2024.1376968,FALSE,Frontiers Media Sa,Frontiers in Human Dynamics,,,,
lu,2024,   0.00,10.3389/fpsyg.2024.1354419,FALSE,Frontiers Media Sa,Frontiers in Psychology,,,,
lu,2024,   0.00,10.3389/frma.2024.1396472,FALSE,Frontiers Media Sa,Frontiers in Research Metrics and Analytics,,,,
lu,2024,   0.00,10.3389/fped.2024.1401654,FALSE,Frontiers Media Sa,Frontiers in Pediatrics,,,,
lu,2024,   0.00,10.3389/fpsyg.2024.1347890,FALSE,Frontiers Media Sa,Frontiers in Psychology,,,,
lu,2024,   0.00,10.3389/fpubh.2024.1395682,FALSE,Frontiers Media Sa,Frontiers in Public Health,,,,
lu,2024,   0.00,10.3389/fphar.2024.1390058,FALSE,Frontiers Media Sa,Frontiers in Pharmacology,,,,
lu,2024,   0.00,10.3389/fstro.2024.1403812,FALSE,Frontiers Media Sa,Frontiers in Stroke,,,,
lu,2024,   0.00,10.3389/fpsyt.2024.1307633,FALSE,Frontiers Media Sa,Frontiers in Psychiatry,,,,
lu,2024,   0.00,10.3389/fphys.2024.1391806,FALSE,Frontiers Media Sa,Frontiers in Physiology,,,,
lu,2024,   0.00,10.3389/fphys.2024.1281343,FALSE,Frontiers Media Sa,Frontiers in Physiology,,,,
lu,2024,   0.00,10.3389/fmicb.2024.1403168,FALSE,Frontiers Media Sa,Frontiers in Microbiology,,,,
lu,2024,   0.00,10.3389/fneur.2024.1378203,FALSE,Frontiers Media Sa,Frontiers in Neurology,,,,
lu,2024,   0.00,10.3389/fspor.2024.1384483,FALSE,Frontiers Media Sa,Frontiers in Sports and Active Living,,,,
lu,2024,   0.00,10.3389/fpls.2024.1358490,FALSE,Frontiers Media Sa,Frontiers in Plant Science,,,,
lu,2024,   0.00,10.3389/frai.2024.1345179,FALSE,Frontiers Media Sa,Frontiers in Artificial Intelligence,,,,
lu,2024,   0.00,10.3389/fped.2024.1386513,FALSE,Frontiers Media Sa,Frontiers in Pediatrics,,,,
lu,2024,   0.00,10.3389/fmed.2024.1276420,FALSE,Frontiers Media Sa,Frontiers in Medicine,,,,
lu,2024,   0.00,10.3389/frhs.2024.1306461,FALSE,Frontiers Media Sa,Frontiers in Health Services,,,,
lu,2024,   0.00,10.3389/fcomm.2024.1314120,FALSE,Frontiers Media Sa,Frontiers in Communication,,,,
lu,2024,   0.00,10.3389/fpsyg.2024.1345906,FALSE,Frontiers Media Sa,Frontiers in Psychology,,,,
lu,2024,   0.00,10.3389/fpsyg.2024.1341406,FALSE,Frontiers Media Sa,Frontiers in Psychology,,,,
lu,2024,   0.00,10.3389/fpubh.2024.1293887,FALSE,Frontiers Media Sa,Frontiers in Public Health,,,,
lu,2024,   0.00,10.3389/fpsyg.2024.1341430,FALSE,Frontiers Media Sa,Frontiers in Psychology,,,,
lu,2024,   0.00,10.3389/frsfm.2024.1354122,FALSE,Frontiers Media Sa,Frontiers in Soft Matter,,,,
lu,2024,   0.00,10.3389/fimmu.2024.1293793,FALSE,Frontiers Media Sa,Frontiers in Immunology,,,,
lu,2024,   0.00,10.3389/fearc.2024.1351411,FALSE,Frontiers Media Sa,Frontiers in Environmental Archaeology,,,,
lu,2024,   0.00,10.3389/fnagi.2024.1337365,FALSE,Frontiers Media Sa,Frontiers in Aging Neuroscience,,,,
lu,2024,   0.00,10.3389/fpsyt.2024.1343733,FALSE,Frontiers Media Sa,Frontiers in Psychiatry,,,,
lu,2024,   0.00,10.3389/fphys.2024.1342351,FALSE,Frontiers Media Sa,Frontiers in Physiology,,,,
lu,2024,   0.00,10.3389/fonc.2024.1342488,FALSE,Frontiers Media Sa,Frontiers in Oncology,,,,
lu,2024,   0.00,10.3389/ti.2024.13215,FALSE,Frontiers Media Sa,Transplant International,,,,
lu,2024,   0.00,10.3389/ti.2024.12298,FALSE,Frontiers Media Sa,Transplant International,,,,
lu,2024,1595.17,10.5194/gmd-17-2299-2024,FALSE,Copernicus,Geoscientific Model Development,,,,
lu,2024,1947.14,10.5194/bg-21-1685-2024,FALSE,Copernicus,Biogeosciences,,,,
lu,2024,1595.17,10.5194/gmd-17-4923-2024,FALSE,Copernicus,Geoscientific Model Development,,,,
lu,2024,1595.17,10.5194/gc-7-167-2024,FALSE,Copernicus,Geoscience Communication,,,,
lu,2024,2105.60,10.1371/journal.pone.0306834,FALSE,PLOS,PLOS ONE,,,,
lu,2024,2105.60,10.1371/journal.pone.0308827,FALSE,PLOS,PLOS ONE,,,,
lu,2024,1775.11,10.1371/journal.pone.0296661,FALSE,PLOS,PLOS ONE,,,,
lu,2024,2105.60,10.1371/journal.pone.0309594,FALSE,PLOS,PLOS ONE,,,,
