institution,period,sek,doi,is_hybrid,publisher,journal_full_title,issn,issn_print,issn_electronic,url
lu,2021,7076.3,10.1515/spma-2020-0140,FALSE,De Gruyter,Special Matrices,,,,
lu,2021,24826.02,10.3389/fmicb.2020.608101,FALSE,Frontiers Media,Frontiers in Microbiology,,,,
lu,2021,7065.29,10.3389/frsc.2020.583833,FALSE,Frontiers Media,Frontiers in Sustainable Cities,,,,
lu,2021,21939.59,10.3389/fphys.2020.592117,FALSE,Frontiers Media,Frontiers in Physiology,,,,
lu,2021,18518.5,10.3389/fnut.2020.603653,FALSE,Frontiers Media,Frontiers in Nutrition,,,,
lu,2021,21939.59,10.3389/fimmu.2020.603980,FALSE,Frontiers Media,Frontiers in Immunology,,,,
lu,2021,18518.5,10.3389/fnut.2020.598850,FALSE,Frontiers Media,Frontiers in Nutrition,,,,
lu,2021,21939.59,10.3389/fimmu.2020.620707,FALSE,Frontiers Media,Frontiers in Immunology,,,,
lu,2021,21939.59,10.3389/fneur.2020.609928,FALSE,Frontiers Media,Frontiers in Neurology,,,,
lu,2021,6581.88,10.3389/fnins.2020.604150,FALSE,Frontiers Media,Frontiers in Neuroscience,,,,
lu,2021,21939.59,10.3389/fpsyg.2020.616572,FALSE,Frontiers Media,Frontiers in Psychology,,,,
lu,2021,22005.97,10.3389/fonc.2021.626058,FALSE,Frontiers Media,Frontiers in Oncology,,,,
lu,2021,22005.97,10.3389/fcell.2021.622764,FALSE,Frontiers Media,Frontiers in Cell and Developmental Biology,,,,
lu,2021,22005.97,10.3389/fonc.2021.631021,FALSE,Frontiers Media,Frontiers in Oncology,,,,
lu,2021,22005.97,10.3389/fonc.2021.628653,FALSE,Frontiers Media,Frontiers in Oncology,,,,
lu,2021,22005.97,10.3389/fnsys.2021.640085,FALSE,Frontiers Media,Frontiers in Systems Neuroscience,,,,
lu,2021,22005.97,10.3389/fmicb.2021.639582,FALSE,Frontiers Media,Frontiers in Microbiology,,,,
lu,2021,22430.5,10.3389/fneur.2021.630154,FALSE,Frontiers Media,Frontiers in Neurology,,,,
lu,2021,22430.5,10.3389/fendo.2021.629242,FALSE,Frontiers Media,Frontiers in Endocrinology,,,,
lu,2021,18932.86,10.3389/fphy.2021.641168,FALSE,Frontiers Media,Frontiers in Physics,,,,
lu,2021,22430.5,10.3389/fendo.2021.634955,FALSE,Frontiers Media,Frontiers in Endocrinology,,,,
lu,2021,11215.25,10.3389/fphys.2021.645650,FALSE,Frontiers Media,Frontiers in Physiology,,,,
lu,2021,22430.5,10.3389/fimmu.2021.629103,FALSE,Frontiers Media,Frontiers in Immunology,,,,
lu,2021,8744.09,10.3389/fevo.2021.624084,FALSE,Frontiers Media,Frontiers in Ecology and Evolution,,,,
lu,2021,18932.86,10.3389/fevo.2021.642774,FALSE,Frontiers Media,Frontiers in Ecology and Evolution,,,,
lu,2021,16092.93,10.3389/fcvm.2021.643900,FALSE,Frontiers Media,Frontiers in Cardiovascular Medicine,,,,
lu,2021,22430.5,10.3389/fpsyt.2021.579987,FALSE,Frontiers Media,Frontiers in Psychiatry,,,,
lu,2021,19216.35,10.3389/fmolb.2021.649007,FALSE,Frontiers Media,frontiers in Molecular Biosciences,,,,
lu,2021,22766.36,10.3389/fpls.2021.517547,FALSE,Frontiers Media,frontiers in Plant Science,,,,
lu,2021,19216.35,10.3389/fsurg.2021.662744,FALSE,Frontiers Media,frontiers in Surgery,,,,
lu,2021,22766.36,10.3389/fphys.2021.653492,FALSE,Frontiers Media,frontiers in Physiology,,,,
lu,2021,7331.54,10.3389/fpos.2021.643134,FALSE,Frontiers Media,frontiers in Political Science,,,,
lu,2021,22766.36,10.3389/fphar.2021.645558,FALSE,Frontiers Media,frontiers in Pharmacology,,,,
lu,2021,5402.19,10.3389/fclim.2021.664130,FALSE,Frontiers Media,frontiers in Climate,,,,
lu,2021,19216.35,10.3389/fevo.2021.666176,FALSE,Frontiers Media,frontiers in Ecology and Evolution,,,,
lu,2021,19216.35,10.3389/fmed.2021.638750,FALSE,Frontiers Media,frontiers in Medicine,,,,
lu,2021,11576.12,10.3389/fcell.2021.660350,FALSE,Frontiers Media,frontiers in Cell and Developmental Biology,,,,
lu,2021,22766.36,10.3389/fmicb.2021.635591,FALSE,Frontiers Media,frontiers in Microbiology,,,,
lu,2021,22327.75,10.3389/fpsyg.2021.602581,FALSE,Frontiers Media,Frontiers in Psychology,,,,
lu,2021,22327.75,10.3389/fpsyg.2021.601679,FALSE,Frontiers Media,Frontiers in Psychology,,,,
lu,2021,18846.14,10.3389/fenvs.2021.635757,FALSE,Frontiers Media,Frontiers in Environmental Science,,,,
lu,2021,22327.75,10.3389/fcell.2021.666675,FALSE,Frontiers Media,Frontiers in Cell and Developmental Biology,,,,
lu,2021,22327.75,10.3389/fbioe.2021.671229,FALSE,Frontiers Media,Frontiers in Bioengineering and Biotechnology,,,,
lu,2021,18846.14,10.3389/fphy.2021.673843,FALSE,Frontiers Media,Frontiers in Physics,,,,
lu,2021,22327.75,10.3389/fpsyt.2021.672931,FALSE,Frontiers Media,Frontiers in Pscychiatry,,,,
lu,2021,13396.65,10.3389/fncom.2021.656401,FALSE,Frontiers Media,Frontiers in Computational Neuroscience,,,,
lu,2021,18846.14,10.3389/fenrg.2021.663769,FALSE,Frontiers Media,Frontiers in Energy Research,,,,
lu,2021,14380.59,10.3389/ftox.2021.659407,FALSE,Frontiers Media,Frontiers in toxicology,,,,
lu,2021,22327.75,10.3389/fphys.2021.672875,FALSE,Frontiers Media,Frontiers in physiology,,,,
lu,2021,22327.75,10.3389/fendo.2021.665537,FALSE,Frontiers Media,Frontiers in Endocrinology,,,,
lu,2021,22327.75,10.3389/fonc.2021.642768,FALSE,Frontiers Media,Frontiers in Oncology,,,,
lu,2021,22327.75,10.3389/fonc.2021.658004,FALSE,Frontiers Media,Frontiers in Oncology,,,,
lu,2021,22327.75,10.3389/fpsyt.2021.526399,FALSE,Frontiers Media,Frontiers in Pscychiatry,,,,
lu,2021,22327.75,10.3389/fmicb.2021.673845,FALSE,Frontiers Media,Frontiers in Microbiology,,,,
lu,2021,22327.75,10.3389/fcell.2021.675140,FALSE,Frontiers Media,Frontiers in Cell and Developmental Biology,,,,
lu,2021,22001.72,10.3389/fpsyg.2021.604135,FALSE,Frontiers Media,frontiers in psychology,,,,
lu,2021,18570.94,10.3389/fevo.2021.629124,FALSE,Frontiers Media,frontiers in ecology and evolution,,,,
lu,2021,22001.72,10.3389/fneur.2021.664010,FALSE,Frontiers Media,frontiers in neurology,,,,
lu,2021,18570.94,10.3389/fevo.2021.675800,FALSE,Frontiers Media,frontiers in ecology and evolution,,,,
lu,2021,22001.72,10.3389/fcimb.2021.633394,FALSE,Frontiers Media,frontiers in cellular and infection microbiology,,,,
lu,2021,22001.72,10.3389/fimmu.2021.690821,FALSE,Frontiers Media,frontiers in immunology,,,,
lu,2021,22001.72,10.3389/fmicb.2021.664216,FALSE,Frontiers Media,frontiers in microbiology,,,,
lu,2021,22001.72,10.3389/fnbeh.2021.678936,FALSE,Frontiers Media,frontiers in behavioral neuroscience,,,,
