institution	period	euro	doi	is_hybrid	publisher	journal_full_title	issn	issn_print	issn_electronic	url
mah	2016	611.12	10.15744/2348-9804.4.202	FALSE	Annex Publishers	Journal of Forensic Science & Criminology	2348-9804			
mah	2016	1517.23	10.1186/s12877-016-0325-z	FALSE	BioMed Central	BMC Geriatrics	1471-2318			
mah	2016	1517.23	10.1186/s12912-016-0151-9	FALSE	BioMed Central	BMC Nursing	1472-6955			
mah	2016	1517.23	10.1186/s12903-016-0238-4	FALSE	BioMed Central	BMC Oral Health	1472-6831			
mah	2016	1517.23	10.1186/s12884-016-1122-6	FALSE	BioMed Central	BMC Pregnancy and Childbirth	1471-2393			
mah	2016	1517.23	10.1186/s12884-016-1017-6	FALSE	BioMed Central	BMC Pregnancy and Childbirth;	1471-2393			
mah	2016	1517.23	10.1186/s12888-016-0789-6	FALSE	BioMed Central	BMC Psychiatry	1471-244X			
mah	2016	934.91	10.1186/s13104-016-2031-5	FALSE	BioMed Central	BMC research Notes	1756-0500			
mah	2016	1517.23	10.1186/s40248-016-0078-8	FALSE	BioMed Central	Multidisciplinary Respiratory Medicine	1828-695X			
mah	2016	1550.45	10.3402/ecrj.v3.31024	FALSE	Taylor & Francis	European Clinical Respiratory Journal;	2001-8525			
mah	2016	1584	10.2147/ccide.s94343	FALSE	Dove Medical Press	Clinical, Cosmetic and Investigational Dentistry;	1179-1357			
mah	2016	1190.59	10.1016/j.jtrangeo.2016.09.003	TRUE	Elsevier	Journal of Transport Geography;	0966-6923			
mah	2016	803.29	10.1016/j.npls.2016.01.001	FALSE	Elsevier	NursingPlus Open;	2352-9008			
mah	2016	226.9	10.11114/ijsss.v4i10.1876	FALSE	Redfame Publishing	International Journal of Social Science Studies	2324-8033			
mah	2016	1050.51	10.1039/c6ra17122b	FALSE	Royal Society of Chemistry (RSC)	RSC Advances	2046-2069			
mah	2016	226.9	10.5430/jnep.v6n8p22	FALSE	Sciedu Press	Journal of Nursing Education and Practice	1925-4040			
mah	2016	377.41	10.4236/ojmp.2017.61002	FALSE	Scientific Research Publishing	Open Journal of Medical Psychology	2165-9370			
mah	2016	1394.36	10.1186/s10194-016-0656-3	FALSE	Springer Open	The Journal of Headache and Pain	1129-2377			
mah	2016	2150	10.1080/01419870.2016.1155719	TRUE	Taylor & Francis	Ethnic and Racial Studies	1466-4356			
mah	2016	2269.01	10.1111/clr.12748	TRUE	Wiley	Clinical Oral Implant Research	0905-7161			
mah	2016	1606.57	10.1016/j.chb.2016.01.003	TRUE	Elsevier	Computers in Human Behavior	0747-5632			
mah	2016	1417.23	10.1186/s12903-016-0242-8	FALSE	BioMed Central	BMC Oral Health	1472-6831			
mah	2016	1137.81	10.1371/journal.pone.0157596	FALSE	Public Library of Science (PLoS)	PLOS ONE	1932-6203			
