institution	period	euro	doi	is_hybrid	publisher	journal_full_title	issn	issn_print	issn_electronic	url
mah	2017	516	10.7903/cmr.17291	FALSE	Academy of Taiwan Information Systems Research	Contemporary Management Research	1813-5498			
mah	2017	1436	10.1186/s12903-017-0431-0	FALSE	BioMed Central	Biomed Central Oral Health	1472-6831			
mah	2017	1436	10.1186/s12902-017-0229-8	FALSE	BioMed Central	BMC Endocrine Disorders	1472-6831			
mah	2017	1436	10.1186/s12875-017-0604-6	FALSE	BioMed Central	BMC Family Practice	1471-2296			
mah	2017	1436	10.1186/s12877-017-0533-1	FALSE	BioMed Central	BMC Geriatrics	1471-2318			
mah	2017	1436	10.1186/s12913-017-2731-0	FALSE	BioMed Central	BMC Health Services Research	1472-6963			
mah	2017	1436	10.1186/s12912-017-0258-7	FALSE	BioMed Central	BMC Nursing	1472-6955			
mah	2017	1436	10.1186/s12903-016-0327-4	FALSE	BioMed Central	BMC Oral Health	1472-6831			
mah	2017	885	10.1186/s13104-017-2955-4	FALSE	BioMed Central	BMC Research Notes	1756-0500			
mah	2017	1436	10.1186/s12955-017-0762-1	FALSE	BioMed Central	Health and Quality of life Outcomes	1477-7525			
mah	2017	1025	10.1080/2331205x.2017.1328820	FALSE	Cogent OA	Cogent Medicine	2331-205X			
mah	2017	1016	10.1108/gm-09-2015-0082	TRUE	Emerald	Gender in Management	1754-2413			
mah	2017	1016	10.1108/ijwhm-10-2016-0075	TRUE	Emerald	International Journal of Workplace Health Management	1753-8351			
mah	2017	1110	10.3390/rs9111146	FALSE	MDPI	Remote Sensing	2072-4292			
mah	2017	1305	10.1038/s41598-017-07505-0	FALSE	Springer	Scientific Reports	2045-2322			
mah	2017	1305	10.1038/s41598-017-07552-7	FALSE	Springer	Scientific Reports	2045-2323			
mah	2017	1305	10.1038/s41598-017-10090-x	FALSE	Springer	Scientific Reports	2045-2323			
mah	2017	1305	10.1038/srep44299	FALSE	Springer	Scientific Reports	2045-2323			
mah	2017	506	10.1039/c7ra00385d	FALSE	Royal Society of Chemistry (RSC)	RSC Advances	2046-2069			
mah	2017	1415	10.1177/1177271917704193	FALSE	SAGE Publications	Biomarker Insight	1177-2719			
mah	2017	1808	10.1080/09500693.2017.1310407	TRUE	Taylor & Francis	International Journal of Science Education	0950-0693			
mah	2017	1808	10.1080/13676261.2017.1306037	TRUE	Taylor & Francis	Journal of Youth Studies	1367-6261			
mah	2017	1808	10.1080/13664530.2017.1385517	TRUE	Taylor & Francis	Teacher Development	1366-4530			
mah	2017	3e3	10.1111/cdoe.12300	TRUE	Wiley	Community Dentistry and Oral Epidemiology	1600-0528			
