"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"mau",2018,1800,"10.1186/s12912-018-0289-8",FALSE,"BioMed Central","BMC Nursing","1472-6955",NA,"1472-6955",NA,NA,TRUE,"29760582","PMC5946464",NA,NA,TRUE
"mau",2018,1105,"10.1186/s13104-018-3718-6",FALSE,"BioMed Central","BMC Research Notes","1756-0500",NA,"1756-0500",NA,NA,TRUE,"30143050","PMC6109287",NA,NA,TRUE
"mau",2018,1105,"10.1186/s13104-018-3728-4",FALSE,"BioMed Central","BMC Research Notes","1756-0500",NA,"1756-0500",NA,NA,TRUE,"30153861","PMC6114177",NA,NA,TRUE
"mau",2018,1180,"10.1186/s12912-018-0316-9",FALSE,"BioMed Central","BMC Nursing","1472-6955",NA,"1472-6955",NA,NA,TRUE,"30524202","PMC6276187",NA,NA,TRUE
"mau",2018,1586,"10.2147/ijwh.s185930",FALSE,"Dove Medical Press","International Journal of Women's Health","1179-1411",NA,"1179-1411",NA,"http://creativecommons.org/licenses/by-nc/3.0/",TRUE,"30799960","PMC6369851",NA,NA,TRUE
"mau",2018,999,"10.1155/2018/5189761",FALSE,"Hindawi Publishing Corporation","International Journal of Dentistry","1687-8728","1687-8728","1687-8736",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"30598665","PMC6287154",NA,NA,TRUE
"mau",2018,1077,"10.1080/23311916.2018.1438728",FALSE,"Taylor & Francis","Cogent Engineering","2331-1916",NA,"2331-1916",NA,NA,TRUE,NA,NA,NA,NA,TRUE
"mau",2018,1208,"10.3390/app8071027",FALSE,"MDPI","Applied Sciences","2076-3417",NA,"2076-3417",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"mau",2018,119,"10.3390/sports5040092",FALSE,"MDPI","Sports","2075-4663",NA,"2075-4663",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,"29910452","PMC5969021",NA,NA,TRUE
"mau",2018,1391,"10.1136/bmjopen-2018-025055",FALSE,"BMJ","BMJ Open","2044-6055","2044-6055","2044-6055",NA,NA,TRUE,"30413521","PMC6231592",NA,NA,TRUE
"mau",2018,575,"10.1080/23337931.2018.1459626",FALSE,"Taylor & Francis","Acta Biomaterialia Odontologica Scandinavica","2333-7931",NA,"2333-7931",NA,NA,TRUE,"29707612","PMC5917306",NA,NA,TRUE
"mau",2018,1380,"10.1080/17482631.2018.1474673",FALSE,"Taylor & Francis","International Journal of Qualitative Studies on Health and Well-being","1748-2631",NA,"1748-2631",NA,"http://creativecommons.org/licenses/by/4.0",TRUE,"29869590","PMC5990949",NA,NA,TRUE
"mau",2018,1203,"10.1002/nop2.144",FALSE,"Wiley","Nursing Open","2054-1058",NA,NA,NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"30062028","PMC6056451",NA,NA,TRUE
"mau",2018,1203,"10.1002/nop2.220",FALSE,"Wiley","Nursing Open","2054-1058","2054-1058","2054-1058",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"30918690","PMC6419122",NA,NA,TRUE
"mau",2018,2916,"10.1016/j.jcis.2018.04.112",TRUE,"Elsevier","Journal of Colloid and Interface Science","0021-9797","0021-9797",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"29738939",NA,NA,NA,FALSE
"mau",2018,1040,"10.3390/polym10030284",FALSE,"MDPI","Polymers","2073-4360",NA,"2073-4360",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,"30966319","PMC6415026",NA,NA,TRUE
"mau",2018,3500,"10.1002/anie.201708635|",TRUE,"Wiley",NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
