institution	period	euro	doi	is_hybrid	publisher
mau	2020	1603.674	10.1136/bmjopen-2019-033214	FALSE	BMJ
mau	2020	2934.5994	10.3389/fpsyg.2020.00995	FALSE	Frontiers Media
mau	2020	986.2452	10.3390/fi12040073	FALSE	MDPI AG
mau	2020	977.6591999999999	10.3390/urbansci4020020	FALSE	MDPI AG
mau	2020	896.3783999999999	10.1155/2020/1854387	FALSE	Hindawi Publishing Corporation
mau	2020	1245.3516	10.1080/17482631.2020.1734166	FALSE	Taylor & Francis
mau	2020	1473.8346	10.1136/bmjopen-2020-037633	FALSE	BMJ
mau	2020	912.4055999999999	10.3390/fi12080133	FALSE	MDPI AG
mau	2020	1284.561	10.3390/electronics9091347	FALSE	MDPI AG
mau	2020	997.1208	10.3389/fpubh.2020.574334	FALSE	Frontiers Media
mau	2020	1190.115	10.2144/btn-2020-0091	FALSE	Future science
mau	2020	1870.8894	10.3390/s20205747	FALSE	MDPI AG
mau	2020	1673.8884	10.3390/su12208607	FALSE	MDPI AG
mau	2020	805.5576	10.1155/2020/1585067	FALSE	Hindawi Publishing Corporation
mau	2020	1476.5058	10.1080/02813432.2020.1844370	FALSE	Taylor & Francis
mau	2020	797.8302	10.2196/17324	FALSE	JMIR Publications
mau	2020	2517.8922	10.3389/fpsyg.2020.601667	FALSE	Frontiers Media
mau	2020	1194.885	10.1109/ACCESS.2020.3045615	FALSE	IEEE Publications
mau	2020	809.7552	10.3390/info11120564	FALSE	MDPI AG
mau	2020	2082.0096	10.3389/fpubh.2020.532883	FALSE	Frontiers Media
mau	2020	1512.8532	10.3390/app10144854	FALSE	MDPI AG
mau	2020	1311.0822	10.3290/j.ohpd.a44681	FALSE	Quintessence
mau	2020	334.6632	10.33225/pec/20.78.777	FALSE	Vilnius University Šiauliai Academy, Lithuania
mau	2020	594.5328	10.4012/dmj.2020-039	FALSE	The Japanese Society for Dental Materials and Devices
mau	2020	378.8334	10.1055/s-0040-1721294	FALSE	Thieme
mau	2020	1399.3272	10.1109/ACCESS.2021.3050255	FALSE	IEEE Publications
mau	2020	1911.1481999999999	1660-4601/17/21/7738	FALSE	MDPI AG
mau	2020	2354.1857999999997	10.1108/IJLLS-02-2020-0007	TRUE	Emerald Publishing
mau	2020	2354.1857999999997	10.1108/IJLLS-12-2019-0082	TRUE	Emerald Publishing
mau	2020	2885.0868	10.1108/IJLLS-02-2020-0005	TRUE	Emerald Publishing
mau	2020	2885.0868	10.1108/IJLLS-01-2020-0003	TRUE	Emerald Publishing
mau	2020	2885.0868	10.1108/IJLLS-05-2020-0022	TRUE	Emerald Publishing
mau	2020	1454.0868	10.3390/su12030971	FALSE	MDPI AG
mau	2020	1961.6148	10.3390/ijerph17124214	FALSE	MDPI AG
mau	2020	1622.5632	10.3390/su12031130	FALSE	MDPI AG
mau	2020	819.8676	10.3390/iot1020027	FALSE	JMIR Publications
mau	2020	2298.7584	10.2196/22326	FALSE	JMIR Publications
mau	2020	2524.4748	10.1259/dmfr.20190495	TRUE	British Institute of Radiology
mau	2020	1980.4086	10.1016/j.oooo.2020.01.003	TRUE	Elsevier
mau	2020	1885.581	10.3390/ijerph17228675	FALSE	MDPI AG
