"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"mau",2020,1603.674,"10.1136/bmjopen-2019-033214",FALSE,"BMJ","BMJ Open","2044-6055","2044-6055","2044-6055",NA,"http://creativecommons.org/licenses/by-nc/4.0/",TRUE,"32014875","PMC7044997",NA,NA,TRUE
"mau",2020,2934.5994,"10.3389/fpsyg.2020.00995",FALSE,"Frontiers","Frontiers in Psychology","1664-1078",NA,"1664-1078",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,"32595552","PMC7304336",NA,NA,TRUE
"mau",2020,986.2452,"10.3390/fi12040073",FALSE,"MDPI","Future Internet","1999-5903",NA,"1999-5903",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"mau",2020,977.6591999999999,"10.3390/urbansci4020020",FALSE,"MDPI","Urban Science","2413-8851",NA,"2413-8851",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"mau",2020,896.3783999999999,"10.1155/2020/1854387",FALSE,"Hindawi Publishing Corporation","Nursing Research and Practice","2090-1429","2090-1429","2090-1437",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"32550024","PMC7275198",NA,NA,TRUE
"mau",2020,1245.3516,"10.1080/17482631.2020.1734166",FALSE,"Taylor & Francis","International Journal of Qualitative Studies on Health and Well-being","1748-2631",NA,"1748-2631",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"32116141","PMC7067191",NA,NA,TRUE
"mau",2020,1473.8346,"10.1136/bmjopen-2020-037633",FALSE,"BMJ","BMJ Open","2044-6055","2044-6055","2044-6055",NA,"http://creativecommons.org/licenses/by-nc/4.0/",TRUE,"32883730","PMC7473623",NA,NA,TRUE
"mau",2020,912.4055999999999,"10.3390/fi12080133",FALSE,"MDPI","Future Internet","1999-5903",NA,"1999-5903",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"mau",2020,1284.561,"10.3390/electronics9091347",FALSE,"MDPI","Electronics","2079-9292",NA,"2079-9292",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"mau",2020,997.1208,"10.3389/fpubh.2020.574334",FALSE,"Frontiers","Frontiers in Public Health","2296-2565",NA,"2296-2565",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,"33194974","PMC7604301",NA,NA,TRUE
