institution	period	euro	doi	is_hybrid	publisher
mdh	2019	950	10.1016/j.linged.2018.12.006	TRUE	Elsevier
mdh	2019	2835	10.1093/ptj/pzz044	TRUE	Oxford
mdh	2019	1600	10.1002/nop2.280	FALSE	Wiley
mdh	2019	1550	10.1016/j.edurev.2019.03.005	TRUE	Elsevier
mdh	2019	1834	10.1109/TBME.2019.2908349	TRUE	IEEE
mdh	2019	1569	10.1109/ACCESS.2019.2909093	FALSE	IEEE
mdh	2019	415	10.1177/2158244019846687	FALSE	SAGE
mdh	2019	2681	10.1111/soru.12256	TRUE	Wiley
mdh	2019	850	10.2991/ijcis.d.190711.001	FALSE	Atlantis PressInternational Journal of Computational Intelligence Systems
mdh	2019	3333	10.1111/jocn.14971	TRUE	Wiley
mdh	2019	1827	10.1016/j.bspc.2019.101634	TRUE	Elsevier
	2019	2690	10.1177/1049732319873051	TRUE	SAGE
mdh	2019	2346	10.1108/IJQRM-09-2018-0243	TRUE	Emerald
mdh	2019	1550	10.1016/j.scaman.2018.09.002	TRUE	Elsevier
mdh	2019	1561	10.1016/j.heliyon.2019.e02523	FALSE	Elsevier
mdh	2019	2345	10.1108/EBHRM-04-2019-0040	TRUE	Emerald
