institution	period	euro	doi	is_hybrid	publisher
mdh	2020	1331.2116	10.3928/00220124-20200115-05	TRUE	Healio
mdh	2020	2590.7778	10.3389/fpsyg.2020.00236	FALSE	Frontiers
mdh	2020	2434.2264	10.3389/fpsyg.2019.03053	FALSE	Frontiers
mdh	2020	1475.5518	10.23865/njlr.v5.1460	FALSE	Cappelen Damm Akademisk
mdh	2020	2681.4078	10.1108/jmtm-09-2018-0307	TRUE	Emerald
mdh	2020	2865.339	10.1016/j.solener.2019.11.087	TRUE	Elsevier
mdh	2020	726.8525999999999	10.3390/buildings10010005	FALSE	MDPI
mdh	2020	2470.2876	10.1108/jmtm-03-2019-0087	TRUE	Emerald
mdh	2020	853.5438	10.1109/access.2020.2971712	FALSE	Institute of Electrical & Electronics Engineers (IEEE)
mdh	2020	953.4276	10.3390/soc10010022	FALSE	MDPI
mdh	2020	1443.5928	10.1155/2020/1358707	FALSE	Hindawi Publishing Corporation
mdh	2020	2420.0117999999998	10.2196/15450	FALSE	JMIR Publications
mdh	2020	491.1192	10.3390/aerospace7040044	FALSE	MDPI
mdh	2020	705.96	10.3389/frsc.2020.00034	FALSE	Frontiers
mdh	2020	474.9966	10.3390/aerospace7060066	FALSE	MDPI
mdh	2020	1695.1625999999999	10.1016/j.ijproman.2020.06.004	TRUE	Elsevier
mdh	2020	2424.4002	10.3389/fpsyg.2020.578092	FALSE	Frontiers
mdh	2020	1631.817	10.1097/pr9.0000000000000844	TRUE	Lippincott Williams & Wilkins
mdh	2020	956.1942	10.3390/brainsci10080551	FALSE	MDPI
mdh	2020	2135.2428	10.1016/j.nepr.2020.102870	TRUE	Elsevier
mdh	2020	2212.7076	10.1016/j.engappai.2020.103878	TRUE	Elsevier
mdh	2020	1834.3512	10.3390/s20195707	FALSE	MDPI
