"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"mdh",2020,1331.2116,"10.3928/00220124-20200115-05",TRUE,"Healio","The Journal of Continuing Education in Nursing","0022-0124","0022-0124",NA,NA,NA,TRUE,"31978244",NA,NA,NA,FALSE
"mdh",2020,2590.7778,"10.3389/fpsyg.2020.00236",FALSE,"Frontiers","Frontiers in Psychology","1664-1078",NA,"1664-1078",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,"32153461","PMC7044344",NA,NA,TRUE
"mdh",2020,2434.2264,"10.3389/fpsyg.2019.03053",FALSE,"Frontiers","Frontiers in Psychology","1664-1078",NA,"1664-1078",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,"32038411","PMC6986326",NA,NA,TRUE
"mdh",2020,1475.5518,"10.23865/njlr.v5.1460",FALSE,"Cappelen Damm Akademisk","Nordic Journal of Literacy Research","2464-1596","2464-1596",NA,NA,NA,TRUE,NA,NA,NA,NA,TRUE
"mdh",2020,2681.4078,"10.1108/jmtm-09-2018-0307",TRUE,"Emerald","Journal of Manufacturing Technology Management","1741-038X","1741-038X",NA,NA,"https://www.emerald.com/insight/site-policies",TRUE,NA,NA,NA,NA,FALSE
"mdh",2020,2865.339,"10.1016/j.solener.2019.11.087",TRUE,"Elsevier","Solar Energy","0038-092X","0038-092X",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE
"mdh",2020,726.8525999999999,"10.3390/buildings10010005",FALSE,"MDPI","Buildings","2075-5309",NA,"2075-5309",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"mdh",2020,2470.2876,"10.1108/jmtm-03-2019-0087",TRUE,"Emerald","Journal of Manufacturing Technology Management","1741-038X","1741-038X",NA,NA,"https://www.emerald.com/insight/site-policies",TRUE,NA,NA,NA,NA,FALSE
"mdh",2020,853.5438,"10.1109/access.2020.2971712",FALSE,"Institute of Electrical & Electronics Engineers (IEEE)","IEEE Access","2169-3536",NA,"2169-3536",NA,NA,TRUE,NA,NA,NA,NA,TRUE
"mdh",2020,953.4276,"10.3390/soc10010022",FALSE,"MDPI","Societies","2075-4698",NA,"2075-4698",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"mdh",2020,1443.5928,"10.1155/2020/1358707",FALSE,"Hindawi Publishing Corporation","Occupational Therapy International","0966-7903","0966-7903","1557-0703",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"32454804","PMC7154983",NA,NA,TRUE
"mdh",2020,2420.0117999999998,"10.2196/15450",FALSE,"JMIR Publications","Journal of Medical Internet Research","1438-8871",NA,"1438-8871",NA,NA,TRUE,"32543444","PMC7327600",NA,NA,TRUE
"mdh",2020,491.1192,"10.3390/aerospace7040044",FALSE,"MDPI","Aerospace","2226-4310",NA,"2226-4310",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"mdh",2020,705.96,"10.3389/frsc.2020.00034",FALSE,"Frontiers","Frontiers in Sustainable Cities","2624-9634",NA,"2624-9634",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"mdh",2020,474.9966,"10.3390/aerospace7060066",FALSE,"MDPI","Aerospace","2226-4310",NA,"2226-4310",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"mdh",2020,1695.1625999999999,"10.1016/j.ijproman.2020.06.004",TRUE,"Elsevier","International Journal of Project Management","0263-7863","0263-7863",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE
"mdh",2020,2424.4002,"10.3389/fpsyg.2020.578092",FALSE,"Frontiers","Frontiers in Psychology","1664-1078",NA,"1664-1078",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,"33324289","PMC7724111",NA,NA,TRUE
"mdh",2020,1631.817,"10.1097/pr9.0000000000000844",TRUE,"Lippincott Williams & Wilkins","PAIN Reports","2471-2531",NA,"2471-2531",NA,NA,TRUE,"33490840","PMC7808688",NA,NA,TRUE
"mdh",2020,956.1942,"10.3390/brainsci10080551",FALSE,"MDPI","Brain Sciences","2076-3425",NA,"2076-3425",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,"32823582","PMC7465285",NA,NA,TRUE
"mdh",2020,2135.2428,"10.1016/j.nepr.2020.102870",TRUE,"Elsevier","Nurse Education in Practice","1471-5953","1471-5953",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"32905838",NA,NA,NA,FALSE
"mdh",2020,2212.7076,"10.1016/j.engappai.2020.103878",TRUE,"Elsevier","Engineering Applications of Artificial Intelligence","0952-1976","0952-1976",NA,NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE
"mdh",2020,1834.3512,"10.3390/s20195707",FALSE,"MDPI","Sensors","1424-8220",NA,"1424-8220",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,"33036479","PMC7582332",NA,NA,TRUE
