institution	period	euro	doi	is_hybrid	publisher	journal_full_title	issn	issn_print	issn_electronic	url
oru	2015	900	10.1038/ctg.2015.49	FALSE						
oru	2015	250	10.1080/01425692.2013.783962	TRUE						
oru	2015	2150	10.1080/13573322.2013.847824	TRUE						
oru	2015	2150	10.1080/13573322.2011.582245	TRUE						
oru	2015	2150	10.1080/17408989.2013.868875	TRUE						
oru	2015	2150	10.1080/10350330.2015.1096132	TRUE						
oru	2015	2150	10.1080/09581596.2013.872771	TRUE						
oru	2015	580	10.1080/02673843.2015.1018283	FALSE						
oru	2015	532	10.1016/j.ctrc.2015.05.004	TRUE						
oru	2015	2231	10.1016/j.forpol.2015.10.015	TRUE						
oru	2015	1898	10.1186/s12877-015-0072-6	FALSE						
oru	2015	1780	10.1186/s13756-015-0084-1	FALSE						
oru	2015	1215	10.1371/journal.pone.0132896	FALSE						
oru	2015	1350	10.2196/mhealth.3854	FALSE						
oru	2015	1800	10.1155/2015/846782	FALSE						
oru	2015	2655	10.1080/08941920.2015.1054570	TRUE						
oru	2015	2001	10.1136/bmjopen-2015-009901	FALSE						
oru	2015	2655	10.1080/02827581.2015.1113308	TRUE						
oru	2015	960	10.5772/62060	FALSE						
oru	2015	960	10.5772/61812	FALSE						
oru	2015	2700	10.1037/dev0000035	TRUE						
oru	2015	2700	10.1037/fam0000076	TRUE						
oru	2015	941	10.2340/16501977-1992	FALSE						
oru	2016	1242	10.1161/JAHA.115.003031	FALSE						
oru	2016	1952	10.1177/1464700110390604	TRUE						
oru	2016	1952	10.1177/1356336X15620716	TRUE						
oru	2016	1952	10.1177/1356336X16645611	TRUE						
oru	2016	1952	10.1177/0957926516630901	TRUE						
oru	2016	1952	10.1177/0163443716635865	TRUE						
oru	2016	1165	10.1038/srep21911	FALSE						
oru	2016	1221	10.1080/2331186X.2016.1247610	FALSE						
oru	2016	545	10.1080/02701367.2014.977430	TRUE						
oru	2016	2150	10.1080/23251042.2016.1237336	TRUE						
oru	2016	2150	10.1080/23251042.2016.1213611	TRUE						
oru	2016	2150	10.1080/23251042.2016.1210841	TRUE						
oru	2016	1e3	10.1080/14767430.2015.1136194	TRUE						
oru	2016	2480	10.1016/j.ijnurstu.2016.07.009	TRUE						
oru	2016	1623	10.1016/j.jsis.2016.08.005	TRUE						
oru	2016	1173	10.1016/j.childyouth.2016.10.026	TRUE						
oru	2016	1740	10.1016/j.invent.2016.03.002	FALSE						
oru	2016	1928	10.1016/j.compedu.2016.04.004	TRUE						
oru	2016	2e3	10.1515/sem-2016-0009	TRUE						
oru	2016	1732	10.1186/s13229-016-0074-z	FALSE						
oru	2016	1732	10.1186/s12866-016-0678-7	FALSE						
oru	2016	1757	10.1186/s13019-016-0491-2	FALSE						
oru	2016	1732	10.1186/s12889-016-3131-9	FALSE						
oru	2016	1732	10.1186/s12866-016-0810-8	FALSE						
oru	2016	1732	10.1186/s12912-016-0184-0	FALSE						
oru	2016	1732	10.1186/s12889-016-3947-3	FALSE						
oru	2016	2379	10.1186/s12937-016-0198-1	FALSE						
oru	2016	828	10.3390/s16040493	FALSE						
oru	2016	1472	10.3390/rs8040329	FALSE						
oru	2016	2318	10.1136/bmjopen-2016-014315	FALSE						
oru	2016	800	10.17645/mac.v4i1.357	FALSE						
oru	2016	360	10.21767/2049-5471.100061	FALSE						
oru	2016	374	10.15344/2394-4986/2016/121	FALSE						
oru	2016	647	10.4172/2375-4427.1000145	FALSE						
oru	2016	2200	10.1007/s11187-016-9815-9	TRUE						
oru	2016	2200	10.1007/s10519-016-9827-x	TRUE						
oru	2016	2200	10.1007/s00405-016-4239-3	TRUE						
oru	2016	2200	10.1007/s10096-016-2777-7	TRUE						
oru	2016	2200	10.1007/s10826-016-0623-2	TRUE						
oru	2016	2200	10.1007/s10691-016-9332-x	TRUE						
oru	2016	2200	10.1007/s00787-016-0899-1	TRUE						
oru	2016	2200	10.1007/s10803-016-2976-1	TRUE						
oru	2016	2200	10.1007/s10620-016-4422-9	TRUE						
oru	2017	2e3	10.1111/issj.12091	TRUE						
oru	2017	1425	10.1192/bjpo.bp.116.004325	FALSE						
oru	2017	1140	10.1386/nl.15.1.15_1	TRUE						
oru	2017	890	10.1177/1609406917734060	FALSE						
oru	2017	2670	10.1177/1527476417699708	TRUE						
oru	2017	0	10.1177/1179573517702867	FALSE						
oru	2017	868	10.1097/PR9.0000000000000600	FALSE						
oru	2017	2275	10.1093/femspd/ftx064	TRUE						
oru	2017	2150	10.1080/09644016.2017.1371919	TRUE						
oru	2017	2706	10.1016/j.envsci.2016.12.008	TRUE						
oru	2017	2255	10.1016/j.forpol.2016.12.004	TRUE						
oru	2017	2691	10.1016/j.jneuroim.2017.09.002	TRUE						
oru	2017	1749	10.1016/j.invent.2017.10.004	FALSE						
oru	2017	1346	10.1016/j.crm.2017.11.001	FALSE						
oru	2017	1542	10.2147/COPD.S135111	FALSE						
oru	2017	1307	10.2147/VHRM.S125966	FALSE						
oru	2017	1750	10.1186/s13049-017-0367-z	FALSE						
oru	2017	1619	10.1186/s12912-017-0238-y	FALSE						
oru	2017	1331	10.1371/journal.pone.0175496	FALSE						
oru	2017	1331	10.1371/journal.pone.0176051	FALSE						
oru	2017	2225	10.2196/mhealth.9061	FALSE						
oru	2017	315	10.3390/robotics6030015	FALSE						
oru	2017	1620	10.3390/s17071586	FALSE						
oru	2017	1575	10.3390/s17112545	FALSE						
oru	2017	2808	10.1159/000484679	FALSE						
oru	2017	1700	10.1075/jlp.17004.kro	TRUE						
oru	2017	870	10.3389/frobt.2016.00076	FALSE						
oru	2017	2200	10.1007/s00330-017-4852-6	TRUE						
oru	2017	2200	10.1007/s00330-017-5242-9	TRUE						
oru	2017	2200	10.1007/s13402-017-0331-y	TRUE						
oru	2017	2200	10.1007/s11695-017-2798-z	TRUE						
oru	2017	2200	10.1007/s10803-017-3436-2	TRUE						
oru	2017	2200	10.1007/s00068-017-0779-5	TRUE						
oru	2017	2200	10.1007/s00068-017-0813-7	TRUE						
oru	2017	2200	10.1007/s11116-017-9803-1	TRUE						
oru	2017	2200	10.1007/s11217-017-9564-5	TRUE						
oru	2017	2200	10.1007/s00405-017-4679-4	TRUE						
oru	2017	2200	10.1007/s10096-017-3016-6	TRUE						
