"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"oru",2015,900,"10.1038/ctg.2015.49",FALSE,"Springer Nature","Clinical and Translational Gastroenterology","2155-384X",NA,"2155-384X",NA,"http://www.springer.com/tdm",TRUE,"26540026","PMC4816088",NA,NA,TRUE
"oru",2015,250,"10.1080/01425692.2013.783962",TRUE,"Informa UK Limited","British Journal of Sociology of Education","0142-5692","0142-5692","1465-3346",NA,NA,TRUE,NA,NA,NA,NA,FALSE
"oru",2015,2150,"10.1080/13573322.2013.847824",TRUE,"Informa UK Limited","Sport, Education and Society","1357-3322","1357-3322","1470-1243",NA,NA,TRUE,NA,NA,NA,NA,FALSE
"oru",2015,2150,"10.1080/13573322.2011.582245",TRUE,"Informa UK Limited","Sport, Education and Society","1357-3322","1357-3322","1470-1243",NA,NA,TRUE,NA,NA,NA,NA,FALSE
"oru",2015,2150,"10.1080/17408989.2013.868875",TRUE,"Informa UK Limited","Physical Education and Sport Pedagogy","1740-8989","1740-8989","1742-5786",NA,NA,TRUE,NA,NA,NA,NA,FALSE
"oru",2015,2150,"10.1080/10350330.2015.1096132",TRUE,"Informa UK Limited","Social Semiotics","1035-0330","1035-0330","1470-1219",NA,NA,TRUE,NA,NA,NA,NA,FALSE
"oru",2015,2150,"10.1080/09581596.2013.872771",TRUE,"Informa UK Limited","Critical Public Health","0958-1596","0958-1596","1469-3682",NA,NA,TRUE,"26740738","PMC4685599",NA,NA,FALSE
"oru",2015,580,"10.1080/02673843.2015.1018283",FALSE,"Informa UK Limited","International Journal of Adolescence and Youth","0267-3843","0267-3843","2164-4527",NA,NA,TRUE,NA,NA,NA,NA,TRUE
"oru",2015,532,"10.1016/j.ctrc.2015.05.004",TRUE,"Elsevier BV","Cancer Treatment Communications","2213-0896","2213-0896",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE
"oru",2015,2231,"10.1016/j.forpol.2015.10.015",TRUE,"Elsevier BV","Forest Policy and Economics","1389-9341","1389-9341",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE
"oru",2015,1898,"10.1186/s12877-015-0072-6",FALSE,"Springer Nature","BMC Geriatrics","1471-2318",NA,"1471-2318",NA,"http://www.springer.com/tdm",TRUE,"26152308","PMC4495641",NA,NA,TRUE
"oru",2015,1780,"10.1186/s13756-015-0084-1",FALSE,"Springer Nature","Antimicrobial Resistance and Infection Control","2047-2994",NA,"2047-2994",NA,NA,TRUE,"26539295","PMC4632481",NA,NA,TRUE
"oru",2015,1215,"10.1371/journal.pone.0132896",FALSE,"Public Library of Science (PLoS)","PLOS ONE","1932-6203",NA,"1932-6203",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"26168046","PMC4500601",NA,NA,TRUE
"oru",2015,1350,"10.2196/mhealth.3854",FALSE,"JMIR Publications Inc.","JMIR mHealth and uHealth","2291-5222",NA,"2291-5222",NA,NA,TRUE,"25757551","PMC4376127",NA,NA,TRUE
"oru",2015,1800,"10.1155/2015/846782",FALSE,"Hindawi Publishing Corporation","Mediators of Inflammation","0962-9351","0962-9351","1466-1861",NA,"http://creativecommons.org/licenses/by/3.0/",TRUE,"25788762","PMC4348606",NA,NA,TRUE
"oru",2015,2655,"10.1080/08941920.2015.1054570",TRUE,"Informa UK Limited","Society & Natural Resources","0894-1920","0894-1920","1521-0723",NA,NA,TRUE,NA,NA,NA,NA,FALSE
"oru",2015,2001,"10.1136/bmjopen-2015-009901",FALSE,"BMJ","BMJ Open","2044-6055","2044-6055","2044-6055",NA,NA,TRUE,"26769788","PMC4735206",NA,NA,TRUE
"oru",2015,2655,"10.1080/02827581.2015.1113308",TRUE,"Informa UK Limited","Scandinavian Journal of Forest Research","0282-7581","0282-7581","1651-1891",NA,NA,TRUE,NA,NA,NA,NA,FALSE
"oru",2015,960,"10.5772/62060",FALSE,"SAGE Publications","International Journal of Advanced Robotic Systems","1729-8814","1729-8814","1729-8814",NA,"http://journals.sagepub.com/page/policies/text-and-data-mining-license",TRUE,NA,NA,NA,NA,TRUE
"oru",2015,960,"10.5772/61812",FALSE,"SAGE Publications","International Journal of Advanced Robotic Systems","1729-8806","1729-8806",NA,NA,NA,TRUE,NA,NA,NA,NA,FALSE
