institution	period	euro	doi	is_hybrid	publisher
oru	2018	264.663	10.18291/njwls.v7i3.97093	FALSE	Aalborg University
oru	2018	3209.05	10.1016/j.neubiorev.2018.01.001	TRUE	Elsevier
oru	2018	2115.686	10.1080/08941920.2017.1413719	TRUE	Taylor & Francis
oru	2018	1779.6509999999998	10.1002/mbo3.606	FALSE	Wiley
oru	2018	2232.9	10.1080/00313831.2018.1434825	TRUE	Taylor & Francis
oru	2018	1170.567	10.1075/jlp.17028.krz	TRUE	John Benjamins Publishing Company
oru	2018	2131.983	10.1080/15562948.2017.1317895	TRUE	Taylor & Francis
oru	2018	877.5840000000001	10.1080/1943815x.2018.1439509	FALSE	Taylor & Francis
oru	2018	313.31	10.1177/2158244018771732	FALSE	SAGE Publications
oru	2018	2026.387	10.3389/fcimb.2018.00081	FALSE	Frontiers
oru	2018	3662.145	10.1001/jamasurg.2018.0672	TRUE	American Medical Association
oru	2018	1393.249	10.1038/s41598-018-23181-0	FALSE	Springer
oru	2018	2196.496	10.2196/10387	FALSE	JMIR Publications
oru	2018	2534.6830000000004	10.1080/10350330.2017.1421804	TRUE	Taylor & Francis
oru	2018	1524.5040000000001	10.1088/1367-2630/aab599	FALSE	IOP Publishing
oru	2018	1642.2340000000002	10.7150/jca.24474	FALSE	Ivyspring International Publisher
oru	2018	2253.0330000000004	10.1186/s12904-018-0311-7	FALSE	BioMed Central
oru	2018	2049.525	10.29219/fnr.v62.1366	FALSE	Swedish Nutrition Foundation
oru	2018	1229.2610000000002	10.1002/nop2.172	FALSE	Wiley
oru	2018	1870.923	10.3389/fphys.2018.01110	FALSE	Frontiers
oru	2018	1137.0910000000001	10.3390/su10082906	FALSE	MDPI
oru	2018	1055.2440000000001	10.3167/nc.2018.130301	TRUE	Berghahn Books
oru	2018	1153.9	10.1177/1534735418796286	FALSE	SAGE Publications
oru	2018	1487.9470000000001	10.3390/nu10091156	FALSE	MDPI
oru	2018	1908.864	10.1186/s12879-018-3375-3	FALSE	BioMed Central
oru	2018	1800	10.1186/s12964-018-0268-4	FALSE	BioMed Central
oru	2018	1153.9270000000001	10.3390/su10103552	FALSE	MDPI
oru	2018	2279.909	10.1016/j.jopan.2018.08.003	TRUE	Elsevier
oru	2018	2369.5490000000004	10.1080/00131911.2018.1495182	TRUE	Taylor & Francis
oru	2018	731.432	10.1158/1055-9965.epi-18-0451	TRUE	American Association for Cancer Research (AACR)
oru	2018	1137.238	10.3390/su10124457	FALSE	MDPI
oru	2018	1850.4	10.1186/s12859-018-2513-7	FALSE	BioMed Central
oru	2018	1295.784	10.3390/ijerph15122674	FALSE	MDPI
oru	2018	1850.4	10.1186/s12877-018-0996-8	FALSE	BioMed Central
oru	2018	1133.8120000000001	10.3390/su10124479	FALSE	MDPI
oru	2018	2662.5200000000004	10.1016/j.ijsu.2018.11.022	TRUE	Elsevier
oru	2018	1518.1000000000001	10.1093/database/bay046	FALSE	Oxford University Press (OUP)
oru	2018	1517.3000000000002	10.1038/s41598-018-31492-5	FALSE	Springer
oru	2018	1749.3000000000002	10.1002/jbm4.10056	FALSE	Wiley
oru	2018	2125.7000000000003	10.1186/s12918-018-0667-6	FALSE	BioMed Central
oru	2018	878	10.1080/1943815x.2018.1455714	FALSE	Taylor & Francis
oru	2018	1203	10.1002/nop2.223	FALSE	Wiley
