institution	period	euro	doi	is_hybrid	publisher
oru	2020	2595.019284	10.1177/0267323119886151	TRUE	SAGE Publications
oru	2020	1527.920676	10.3390/s20030879	FALSE	MDPI AG
oru	2020	904.861368	10.17645/mac.v8i1.2432	FALSE	Cogitatio
oru	2020	1507.115844	10.3390/ijms21041395	FALSE	MDPI AG
oru	2020	1206.481824	10.3233/IP-190131	TRUE	IOS Press
oru	2020	2686.77405	10.1108/AAAJ-03-2019-3932	TRUE	Emerald
oru	2020	1784.5876979999998	10.1186/s12877-019-1372-z	FALSE	Springer Nature
oru	2020	2413.06668	10.1108/ICS-07-2019-0079	TRUE	Emerald
oru	2020	1522.831086	10.3390/cancers12020341	FALSE	MDPI AG
oru	2020	2146.087872	10.1002/cac2.12021	FALSE	Wiley
oru	2020	2191.53357	10.1057/s41287-020-00261-4	TRUE	Springer Nature
oru	2020	1819.20645	10.1097/MD.0000000000019584	FALSE	Wolters Kluwer
oru	2020	1679.6124	10.1080/03585522.2020.1730234	TRUE	Taylor & Francis
oru	2020	1946.1952979999999	10.1155/2020/4623107	FALSE	Hindawi Publishing Corporation
oru	2020	2068.69176	10.1515/npprj-2019-0086	TRUE	Walter de Gruyter GmbH
oru	2020	1629.3356460000002	10.1016/j.dcm.2020.100381	TRUE	Elsevier
oru	2020	1573.1937	10.1080/17482631.2019.1678971	FALSE	Taylor & Francis
oru	2020	1536.1308	10.1371/journal.pone.0232259	FALSE	Public Library of Science
oru	2020	1781.497692	10.3390/nu12041075	FALSE	MDPI AG
oru	2020	2026.8684	10.1515/sjpain-2019-0180	TRUE	Walter de Gruyter GmbH
oru	2020	1584.8029259999998	10.3390/biom10050766	FALSE	MDPI AG
oru	2020	2393.448624	10.2196/17459	FALSE	JMIR Publications Inc.
oru	2020	2161.99296	10.1057/s41292-020-00192-7	TRUE	Springer Nature
oru	2020	2509.929162	10.1080/10350330.2020.1766193	TRUE	Taylor & Francis
oru	2020	1516.596696	10.1371/journal.pone.0234561	FALSE	Public Library of Science
oru	2020	1676.928798	10.3390/cells9061414	FALSE	MDPI AG
oru	2020	1921.912182	10.1108/AAAJ-09-2016-2717	TRUE	Emerald
oru	2020	2927.545524	10.1016/j.scitotenv.2020.139682	TRUE	Elsevier
oru	2020	2985.312132	10.18632/aging.103514	FALSE	Impact Journals, LLC
oru	2020	1681.31052	10.10.3390/nu12071954 /nu12071954	FALSE	MDPI AG
oru	2020	1480.552668	10.3389/frobt.2020.00082	FALSE	Frontiers Media
oru	2020	1483.470954	10.3390/su12166337	FALSE	MDPI AG
oru	2020	1982.1420179999998	10.1088 /1361-6404 /aba70b	TRUE	IOP Publishing
oru	2020	1972.2805199999998	10.1515/humaff-2020-0053	TRUE	Walter de Gruyter GmbH
oru	2020	1380.985596	10.1371/journal.pone.0236864	FALSE	Public Library of Science
oru	2020	2071.15785	10.2147/JPR.S263035	FALSE	Dove Medical Press Ltd.
oru	2020	2796.348582	10.1097/j.pain.0000000000002046	TRUE	Wolters Kluwer
oru	2020	889.234848	10.17645/pag.v8i3.2825	FALSE	Cogitatio
oru	2020	831.509262	10.3390/educsci10100289	FALSE	MDPI AG
oru	2020	2403.1765619999996	10.1016/j.jaac.2020.09.022	TRUE	Elsevier
oru	2020	1302.775722	10.1080/17482631.2020.1830702	FALSE	Taylor & Francis
oru	2020	804.786768	10.1159/000511697	FALSE	Karger
oru	2020	1782.21033	10.1155/2020/4651090	FALSE	Hindawi Publishing Corporation
oru	2020	1971.6766380000001	10.3920/BM2020.0010	TRUE	Wageningen Academic Publishers
oru	2020	1692.4055399999997	10.3390/nu12092610	FALSE	MDPI AG
oru	2020	2323.057734	10.1186/s13756-020-00838-y	FALSE	BioMed Central
oru	2020	826.067646	10.3390/environments7110100	FALSE	MDPI AG
oru	2020	1284.062058	10.3390/nu12103079	FALSE	MDPI AG
oru	2020	1121.082606	10.1016/j.envint.2020.106099	FALSE	Elsevier
oru	2020	2356.181568	10.1016/j.cose.2020.102035	TRUE	Elsevier
oru	2020	1566.931644	10.3390/s21010155	FALSE	MDPI AG
oru	2020	487.74204000000003	10.1515/opli-2020-0022	FALSE	Walter de Gruyter GmbH
oru	2020	487.74204000000003	10.1515/opli-2020-0023	FALSE	Walter de Gruyter GmbH
oru	2020	487.74204000000003	10.1515/opli-2020-0033	FALSE	Walter de Gruyter GmbH
oru	2020	487.74204000000003	10.1515/opli-2020-0032	FALSE	Walter de Gruyter GmbH
oru	2020	487.74204000000003	10.1515/opli-2020-0035	FALSE	Walter de Gruyter GmbH
oru	2020	487.74204000000003	10.1515/opli-2020-0036	FALSE	Walter de Gruyter GmbH
oru	2020	487.74204000000003	10.1515/opli-2020-0038	FALSE	Walter de Gruyter GmbH
oru	2020	487.74204000000003	10.1515/opli-2020-0043	FALSE	Walter de Gruyter GmbH
oru	2020	1783.4905979999999	10.3389/fevo.2020.612211	FALSE	Frontiers Media
oru	2020	1449.7260660000002	10.3390/su13010429	FALSE	MDPI AG
oru	2020	1623.872088	10.3390/nu12123601	FALSE	MDPI AG
oru	2020	1646.573472	10.1044/2020_PERSP-20-00027	TRUE	American Speech Language Hearing Association
oru	2020	1299.0980519999998	10.3390/microorganisms8121890	FALSE	MDPI AG
oru	2020	1219.68423	10.1080/17482631.2020.1846671	FALSE	Taylor & Francis
