"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"oru",2020,2595.019284,"10.1177/0267323119886151",TRUE,"SAGE Publications","European Journal of Communication","0267-3231","0267-3231","1460-3705",NA,"http://journals.sagepub.com/page/policies/text-and-data-mining-license",TRUE,NA,NA,NA,NA,FALSE
"oru",2020,1527.920676,"10.3390/s20030879",FALSE,"MDPI","Sensors","1424-8220",NA,"1424-8220",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,"32041376","PMC7038760",NA,NA,TRUE
"oru",2020,904.861368,"10.17645/mac.v8i1.2432",FALSE,"Cogitatio","Media and Communication","2183-2439",NA,"2183-2439",NA,"http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,TRUE
"oru",2020,1507.115844,"10.3390/ijms21041395",FALSE,"MDPI","International Journal of Molecular Sciences","1422-0067",NA,"1422-0067",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,"32092929","PMC7073036",NA,NA,TRUE
"oru",2020,1206.481824,"10.3233/ip-190131",TRUE,"IOS Press","Information Polity","1570-1255","1570-1255","1875-8754",NA,"https://creativecommons.org/licenses/by-nc/4.0/",TRUE,NA,NA,NA,NA,TRUE
"oru",2020,2686.77405,"10.1108/aaaj-03-2019-3932",TRUE,"Emerald","Accounting, Auditing & Accountability Journal","0951-3574","0951-3574",NA,NA,"https://www.emerald.com/insight/site-policies",TRUE,NA,NA,NA,NA,FALSE
"oru",2020,1784.5876979999998,"10.1186/s12877-019-1372-z",FALSE,"Springer","BMC Geriatrics","1471-2318",NA,"1471-2318",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"31842776","PMC6915921",NA,NA,TRUE
"oru",2020,2413.06668,"10.1108/ics-07-2019-0079",TRUE,"Emerald","Information & Computer Security","2056-4961","2056-4961",NA,NA,"https://www.emerald.com/insight/site-policies",TRUE,NA,NA,NA,NA,FALSE
"oru",2020,1522.831086,"10.3390/cancers12020341",FALSE,"MDPI","Cancers","2072-6694",NA,"2072-6694",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,"32028703","PMC7073235",NA,NA,TRUE
"oru",2020,2146.087872,"10.1002/cac2.12021",FALSE,"Wiley","Cancer Communications","2523-3548","2523-3548","2523-3548",NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"32255568","PMC7238668",NA,NA,TRUE
