institution,period,sek,doi,is_hybrid,publisher,journal_full_title,issn,issn_print,issn_electronic,url
oru,2021,24377.33,10.3389/fphys.2021.625950,FALSE,Frontiers Media,,,,,
oru,2021,21964.28,10.3389/fped.2021.651846,FALSE,Frontiers Media,,,,,
oru,2021,14415.81,10.3389/frobt.2021.637125,FALSE,Frontiers Media,,,,,
oru,2021,2156.3,10.1177/16094069211016716,FALSE,SAGE Publications,,,,,
oru,2021,22489.97,10.3389/fmicb.2021.682626,FALSE,Frontiers Media,,,,,
oru,2021,11266.16,10.3389/fcdhc.2021.655238,FALSE,Frontiers Media,,,,,
oru,2021,5466.95,10.3389/fsoc.2021.723464,FALSE,Frontiers Media,,,,,
oru,2021,5450.76,10.3389/frsus.2021.726320,FALSE,Frontiers Media,,,,,
oru,2021,14448.37,10.3389/fpsyg.2021.730724,FALSE,Frontiers Media,,,,,
oru,2021,23013.54,10.3389/fendo.2021.752756,FALSE,Frontiers Media,,,,,
oru,2021,22762.9,10.3389/fgene.2021.721507,FALSE,Frontiers Media,,,,,
oru,2021,4728.28,10.1177/1358863X211038620,FALSE,SAGE Publications,,,,,
oru,2021,26997.81,10.3389/fpsyt.2021.797165,FALSE,Frontiers Media,,,,,
oru,2021,24298.03,10.3389/fpsyt.2021.789663,FALSE,Frontiers Media,,,,,
