institution	period	euro	doi	is_hybrid	publisher	journal_full_title	issn	issn_print	issn_electronic	issn_l	license_ref	indexed_in_crossref	pmid	pmcid	ut	url	doaj
bth	2017	2200	10.1007/s10468-017-9696-x	TRUE	Springer	Algebras and Representation Theory	1386-923X	1386-923X	1572-9079	1386-923X	http://creativecommons.org/licenses/by/4.0	TRUE	NA	NA	ut:000416229800008	NA	FALSE
bth	2017	2200	10.1007/s10586-017-0912-6	TRUE	Springer	Cluster Computing	1386-7857	1386-7857	1573-7543	1386-7857	http://creativecommons.org/licenses/by/4.0	TRUE	NA	NA	ut:000407928800014	NA	FALSE
bth	2017	2200	10.1007/s10664-016-9497-6	TRUE	Springer	Empirical Software Engineering	1382-3256	1382-3256	1573-7616	1382-3256	http://creativecommons.org/licenses/by/4.0	TRUE	NA	NA	ut:000411865400006	NA	FALSE
bth	2017	2200	10.1007/s11071-017-3560-8	TRUE	Springer	Nonlinear Dynamics	0924-090X	0924-090X	1573-269X	0924-090X	http://creativecommons.org/licenses/by/4.0	TRUE	NA	NA	ut:000405962800025	NA	FALSE
bth	2017	2200	10.1007/s11071-017-3785-6	TRUE	Springer	Nonlinear Dynamics	0924-090X	0924-090X	1573-269X	0924-090X	http://creativecommons.org/licenses/by/4.0	TRUE	NA	NA	ut:000413286700038	NA	FALSE
bth	2017	2200	10.1007/s11187-017-9948-5	TRUE	Springer	Small Business Economics	0921-898X	0921-898X	1573-0913	0921-898X	http://creativecommons.org/licenses/by/4.0	TRUE	NA	NA	ut:000416227700001	NA	FALSE
bth	2017	2200	10.1007/s11219-017-9360-z	TRUE	Springer	Software Quality Journal	0963-9314	0963-9314	1573-1367	0963-9314	http://creativecommons.org/licenses/by/4.0	TRUE	NA	NA	ut:000433521200015	NA	FALSE
bth	2017	2200	10.1007/s11219-017-9373-7	TRUE	Springer	Software Quality Journal	0963-9314	0963-9314	1573-1367	0963-9314	http://creativecommons.org/licenses/by/4.0	TRUE	NA	NA	ut:000433521200007	NA	FALSE
bth	2017	2200	10.1007/s12369-017-0437-4	TRUE	Springer	International Journal of Social Robotics	1875-4791	1875-4791	1875-4805	1875-4791	http://creativecommons.org/licenses/by/4.0	TRUE	NA	NA	ut:000423152900008	NA	FALSE
cth	2017	2200	10.1007/s00066-017-1106-0	TRUE	Springer	Strahlentherapie und Onkologie	0179-7158	0179-7158	1439-099X	0179-7158	http://creativecommons.org/licenses/by/4.0	TRUE	28251250	PMC5405104	ut:000400110400001	NA	FALSE
cth	2017	2200	10.1007/s00165-017-0435-1	TRUE	Springer	Formal Aspects of Computing	0934-5043	0934-5043	1433-299X	0934-5043	http://creativecommons.org/licenses/by/4.0	TRUE	NA	NA	NA	NA	FALSE
cth	2017	2200	10.1007/s00170-016-9894-4	TRUE	Springer	The International Journal of Advanced Manufacturing Technology	0268-3768	0268-3768	1433-3015	0268-3768	http://creativecommons.org/licenses/by/4.0	TRUE	NA	NA	ut:000404132100078	NA	FALSE
cth	2017	2200	10.1007/s00170-017-0214-4	TRUE	Springer	The International Journal of Advanced Manufacturing Technology	0268-3768	0268-3768	1433-3015	0268-3768	http://creativecommons.org/licenses/by/4.0	TRUE	NA	NA	ut:000407815500082	NA	FALSE
cth	2017	2200	10.1007/s00170-017-0259-4	TRUE	Springer	The International Journal of Advanced Manufacturing Technology	0268-3768	0268-3768	1433-3015	0268-3768	http://creativecommons.org/licenses/by/4.0	TRUE	NA	NA	ut:000411237500024	NA	FALSE
