institution	period	euro	doi	is_hybrid	publisher	journal_full_title	issn	issn_print	issn_electronic	issn_l	license_ref	indexed_in_crossref	pmid	pmcid	ut	url	doaj
du	2018	1500	NA	FALSE	Taylor & Francis	Journal of Sports Science and Medicine	1303-2968	NA	NA	1303-2968	NA	FALSE	NA	NA	NA	https://www.jssm.org/researchjssm-17-74.xml.xml	TRUE
gih	2018	1500	NA	FALSE	Cambridge University Press (CUP)	Journal of Sports Science and Medicine	1303-2968	NA	NA	NA	NA	FALSE	NA	NA	NA	https://www.jssm.org/hfabst.php?id=jssm-17-167.xml	TRUE
gu	2018	2530.5683114452013	10.1080/00343404.2018.1515481	TRUE	Taylor & Francis	Regional Studies	0034-3404	0034-3404	1360-0591	NA	NA	TRUE	NA	NA	NA	NA	FALSE
gu	2019	1869.7808	10.1186/s40345-019-0168-6	FALSE	Springer Open	International Journal of Bipolar Disorders	2194-7511	NA	2194-7511	NA	https://creativecommons.org/licenses/by/4.0	TRUE	32030544	PMC7005229	NA	NA	TRUE
gu	2019	2019.5936	10.1515/sjpain-2019-0061	TRUE	Walter de Gruyter	Scandinavian Journal of Pain	1877-8879	1877-8860	1877-8879	NA	http://creativecommons.org/licenses/by/4.0	TRUE	31251727	NA	NA	NA	FALSE
gu	2019	2303.2655999999997	10.1093/jac/dkz025	TRUE	Oxford University Press (OUP)	Journal of Antimicrobial Chemotherapy	0305-7453	0305-7453	1460-2091	NA	http://creativecommons.org/licenses/by-nc/4.0/	TRUE	30753583	PMC6477974	NA	NA	FALSE
gu	2019	2402.1968	10.1093/neuros/nyz488	TRUE	Oxford University Press (OUP)	Neurosurgery	0148-396X	0148-396X	1524-4040	NA	http://creativecommons.org/licenses/by-nc-nd/4.0/	TRUE	31792497	PMC7490157	NA	NA	FALSE
gu	2019	2489.328	10.1093/neuonc/noz011	TRUE	Oxford University Press (OUP)	Neuro-Oncology	1522-8517	1522-8517	1523-5866	NA	http://creativecommons.org/licenses/by-nc/4.0/	TRUE	30668814	PMC6502500	NA	NA	FALSE
gu	2019	2714	10.1093/nop/npz066	TRUE	Oxford University Press (OUP)	Neuro-Oncology Practice	2054-2577	2054-2577	2054-2585	NA	http://creativecommons.org/licenses/by-nc/4.0/	TRUE	32528713	PMC7274187	NA	NA	FALSE
hb	2019	1574.11056	NA	FALSE	MDPI	International Journal of Qualitative Studies on Health and Well-beingÂ	NA	1748-2623	1748-2631	NA	NA	FALSE	NA	NA	NA	https://www.tandfonline.com/toc/zqhw20/current	TRUE
hb	2019	3091.1279999999997	10.1080/10286632.2019.1595607	TRUE	Taylor & Francis	International Journal of Cultural Policy	1028-6632	1028-6632	1477-2833	NA	http://creativecommons.org/licenses/by-nc-nd/4.0/	TRUE	NA	NA	NA	NA	FALSE
hv	2019	2380	10.1515/jag-2019-0011	TRUE	Walter de Gruyter	Journal of Applied Geodesy	1862-9024	1862-9016	1862-9024	NA	http://creativecommons.org/licenses/by/4.0	TRUE	NA	NA	NA	NA	FALSE
ki	2020	1647.329088	NA	FALSE	Frontiers	Journal of Sleep Medicine & Disorders	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA
ki	2020	659.62	NA	FALSE	MDPI	Journal of Rehabilitation Medicine	NA	NA	1651-2081	NA	NA	FALSE	NA	NA	NA	https://www.medicaljournals.se/jrm/content/html/10.2340/20030711-1000023	TRUE
ki	2020	826.313408	NA	FALSE	BMJ	EU Research	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	https://issuu.com/euresearcher/docs/digital_magazine_eur22/s/10368183	NA
kth	2019	2005.1881600000002	10.1515/npprj-2018-0031	TRUE	Walter de Gruyter	Nordic Pulp and Paper Research Journal	2000-0669	0283-2631	2000-0669	NA	http://creativecommons.org/licenses/by-nc-nd/4.0	TRUE	NA	NA	NA	NA	FALSE
kth	2019	201.46281599999998	10.1515/znc-2018-0199	TRUE	Walter de Gruyter	Zeitschrift für Naturforschung C	1865-7125	0939-5075	1865-7125	NA	http://creativecommons.org/licenses/by-nc-nd/4.0	TRUE	30789828	NA	NA	NA	FALSE
kth	2019	206.24134400000003	10.1515/hf-2018-0225	TRUE	Walter de Gruyter	Holzforschung	1437-434X	0018-3830	1437-434X	NA	http://creativecommons.org/licenses/by-nc-nd/4.0	TRUE	NA	NA	NA	NA	FALSE
liu	2019	1242.776	NA	TRUE	MDPI	Nursing & Care Open Access Journal	NA	NA	2572-8474	NA	NA	FALSE	NA	NA	NA	https://medcraveonline.com/NCOAJ/from-insecurity-to-perceived-control-over-the-heart-failure-diseasendasha-qualitative-analysis.html	FALSE
liu	2019	1582.9936	10.1093/crocol/otz010	FALSE	Oxford University Press (OUP)	Crohn's & Colitis 360	2631-827X	NA	2631-827X	NA	http://creativecommons.org/licenses/by-nc/4.0/	TRUE	NA	NA	NA	NA	FALSE
liu	2019	1803.6064	10.1080/14992027.2018.1551631	TRUE	Taylor & Francis	International Journal of Audiology	1499-2027	1499-2027	1708-8186	NA	http://creativecommons.org/licenses/by-nc-nd/4.0/	TRUE	30714435	NA	NA	NA	FALSE
liu	2019	2168.5568	10.1017/bpp.2019.17	TRUE	Cambridge University Press (CUP)	Behavioural Public Policy	2398-063X	2398-063X	2398-0648	NA	http://creativecommons.org/licenses/by-nc-sa/4.0/	TRUE	NA	NA	NA	NA	FALSE
liu	2019	2614.5024	10.1080/13825585.2019.1648747	TRUE	Taylor & Francis	Aging, Neuropsychology, and Cognition	1382-5585	1382-5585	1744-4128	NA	http://creativecommons.org/licenses/by-nc-nd/4.0/	TRUE	31382824	NA	NA	NA	FALSE
lnu	2019	1498.1563199999998	NA	FALSE	Taylor & Francis	Journal of Sports Science and Medicine	1303-2968	NA	NA	NA	NA	FALSE	NA	NA	NA	https://www.jssm.org/hf.php?id=jssm-18-623.xml	TRUE
lnu	2019	404.7343359999999	NA	FALSE	Madridge publishers	Wood Research	1336-4561	NA	NA	NA	NA	FALSE	NA	NA	NA	http://www.woodresearch.sk/wr/201902/01.pdf	FALSE
ltu	2018	244	NA	FALSE	Elsevier	Journal of Environmental Hydrology	1058-3912	NA	NA	NA	NA	FALSE	NA	NA	NA	http://www.hydroweb.com/journal-hydrology-2018-paper-6.html	FALSE
ltu	2018	86	NA	FALSE	MDPI	Journal of Earth Sciences and Geotechnical Engineering	1792-9040	1792-9660	NA	NA	NA	FALSE	NA	NA	NA	http://www.scienpress.com/journal_focus.asp?main_id=59&Sub_id=IV&Issue=551039	FALSE
ltu	2018	86	NA	FALSE	MDPI	Journal of Earth Sciences and Geotechnical Engineering	1792-9040	1792-9660	NA	NA	NA	FALSE	NA	NA	NA	http://www.scienpress.com/journal_focus.asp?main_id=59&Sub_id=IV&Issue=586463	FALSE
ltu	2018	86	NA	FALSE	MDPI	Journal of Earth Sciences and Geotechnical Engineering	1792-9040	1792-9660	NA	NA	NA	FALSE	NA	NA	NA	http://www.scienpress.com/journal_focus.asp?main_id=59&Sub_id=IV&Issue=588431	FALSE
ltu	2018	86	NA	FALSE	MDPI	Journal of Earth Sciences and Geotechnical Engineering	1792-9040	1792-9660	NA	NA	NA	FALSE	NA	NA	NA	http://www.scienpress.com/journal_focus.asp?main_id=59&Sub_id=IV&Issue=590399	FALSE
ltu	2018	86	NA	FALSE	MDPI	Journal of Earth Sciences and Geotechnical Engineering	1792-9040	1792-9660	NA	NA	NA	FALSE	NA	NA	NA	http://www.scienpress.com/journal_focus.asp?main_id=59&Sub_id=IV&Issue=592367	FALSE
ltu	2018	86	NA	FALSE	MDPI	Journal of Earth Sciences and Geotechnical Engineering	1792-9040	1792-9660	NA	NA	NA	FALSE	NA	NA	NA	http://www.scienpress.com/journal_focus.asp?main_id=59&Sub_id=IV&Issue=594335	FALSE
ltu	2018	86	NA	FALSE	MDPI	Journal of Earth Sciences and Geotechnical Engineering	1792-9040	1792-9660	NA	NA	NA	FALSE	NA	NA	NA	https://www.scienpress.com/journal_focus.asp?main_id=59&Sub_id=IV&Issue=560879	FALSE
ltu	2018	93	NA	FALSE	Scientific Research Publishing	Journal of Earth Sciences and Geotechnical Engineering	1792-9040	1792-9660	NA	NA	NA	FALSE	NA	NA	NA	https://www.scienpress.com/journal_focus.asp?main_id=59&Sub_id=IV&Issue=625823	FALSE
ltu	2018	93	NA	FALSE	Scientific Research Publishing	Journal of Earth Sciences and Geotechnical Engineering	1792-9040	1792-9660	NA	NA	NA	FALSE	NA	NA	NA	https://www.scienpress.com/journal_focus.asp?main_id=59&Sub_id=IV&Issue=627791	FALSE
ltu	2018	93	NA	FALSE	Scientific Research Publishing	Journal of Earth Sciences and Geotechnical Engineering	1792-9040	1792-9660	NA	NA	NA	FALSE	NA	NA	NA	https://www.scienpress.com/journal_focus.asp?main_id=59&Sub_id=IV&Issue=629759	FALSE
ltu	2018	93	NA	FALSE	Scientific Research Publishing	Journal of Earth Sciences and Geotechnical Engineering	1792-9040	1792-9660	NA	NA	NA	FALSE	NA	NA	NA	https://www.scienpress.com/journal_focus.asp?main_id=59&Sub_id=IV&Issue=631727	FALSE
ltu	2018	93	NA	FALSE	Scientific Research Publishing	Journal of Earth Sciences and Geotechnical Engineering	1792-9040	1792-9660	NA	NA	NA	FALSE	NA	NA	NA	https://www.scienpress.com/journal_focus.asp?main_id=59&Sub_id=IV&Issue=633695	FALSE
ltu	2018	93	NA	FALSE	Scientific Research Publishing	Journal of Earth Sciences and Geotechnical Engineering	1792-9040	1792-9660	NA	NA	NA	FALSE	NA	NA	NA	https://www.scienpress.com/journal_focus.asp?main_id=59&Sub_id=IV&Issue=635663	FALSE
ltu	2018	93	NA	FALSE	Scientific Research Publishing	Journal of Earth Sciences and Geotechnical Engineering	1792-9040	1792-9660	NA	NA	NA	FALSE	NA	NA	NA	https://www.scienpress.com/journal_focus.asp?main_id=59&Sub_id=IV&Issue=637631	FALSE
ltu	2018	93	NA	FALSE	Scientific Research Publishing	Journal of Earth Sciences and Geotechnical Engineering	1792-9040	1792-9660	NA	NA	NA	FALSE	NA	NA	NA	https://www.scienpress.com/journal_focus.asp?main_id=59&Sub_id=IV&Issue=639599	FALSE
ltu	2018	93	NA	FALSE	Scientific Research Publishing	Journal of Earth Sciences and Geotechnical Engineering	1792-9040	1792-9660	NA	NA	NA	FALSE	NA	NA	NA	https://www.scienpress.com/journal_focus.asp?main_id=59&Sub_id=IV&Issue=641567	FALSE
ltu	2018	93	NA	FALSE	Scientific Research Publishing	Journal of Earth Sciences and Geotechnical Engineering	1792-9040	1792-9660	NA	NA	NA	FALSE	NA	NA	NA	https://www.scienpress.com/journal_focus.asp?main_id=59&Sub_id=IV&Issue=643535	FALSE
ltu	2019	259.256384	NA	FALSE	Wiley	Journal of Environmental Hydrology	NA	1058-3912	1996-7918	NA	NA	FALSE	NA	NA	NA	http://www.hydroweb.com/journal-hydrology-2019-paper-10.html	FALSE
