institution,period,euro,doi,is_hybrid,publisher,journal_full_title,issn,issn_print,issn_electronic,url
su,2017,140,NA,FALSE,Academic Conferences and Publishing International (ACPI),Electronic Journal of e-Learning,1479-4403,NA,1479-4403,http://www.ejel.org/volume15/issue4/p343
su,2017,276,NA,FALSE,Academic Conferences and Publishing International (ACPI),Electronic Journal of e-Government,1479-439X,NA,1479-439X,http://www.ejeg.com/volume15/issue2/p116
su,2017,179,NA,FALSE,"Society for Research and Knowledge Management Ltd, District of Flacq, Mauritius","International Journal of Learning, Teaching and Educational Research",1694-2116,1694-2493,1694-2116,http://www.ijlter.org/index.php/ijlter/article/view/882
oru,2016,917,NA,FALSE,iMedPub LTD,Health Science Journal,1791-809X,NA,NA,http://www.hsj.gr/medicine/important-strategies-for-youth-centers-to-be-healthpromoting-settings.php?aid=8425
oru,2016,270,NA,FALSE,IAEME,International Journal of Mechanical Engineering & Technology (IJMET),NA,0976-6340,0976-6359,http://www.iaeme.com/MasterAdmin/UploadFolder/IJMET_07_01_020/IJMET_07_01_020.pdf
oru,2016,1620,NA,FALSE,Remedy Publications LLC,Clinics in Oncology,NA,NA,2474-1663,http://www.clinicsinoncology.com/pdfs_folder/cio-v1-id1116.pdf
ltu,2017,931,NA,FALSE,North Carolina State University,Bioresources,1930-2126,NA,1930-2126,http://ojs.cnr.ncsu.edu/index.php/BioRes/article/view/BioRes_12_2_3122_Sadatnezhad_Continuous_Surface_Densification_Wood
ltu,2017,95,NA,FALSE,Salehan Institute of Higher Education,Civil Engineering Journal,2476-3055,NA,2476-3055,http://civilejournal.org/index.php/cej/article/view/310
ltu,2017,241,NA,FALSE,International Association for Environmental Hydrology,Journal of Environmental Hydrology,1058-3912,1058-3912,1996-7918,http://www.hydroweb.com/journal-hydrology-2017-paper-6.html
liu,2017,1016.8,NA,FALSE,e-Century Publishing Corporation,International Journal of Burns and Trauma,2160-2026,NA,2160-2026,http://www.ijbt.org/IJBT_V7N1.html
