institution,period,euro,doi,is_hybrid,publisher,journal_full_title,issn,issn_print,issn_electronic,issn_l,license_ref,indexed_in_crossref,pmid,pmcid,ut,url,doaj
du,2019,1192.8383999999999,10.23865/njlr.v5.2018,FALSE,Cappelen Damm Akademisk,Nordic Journal of Literacy Research,2464-1596,2464-1596,NA,NA,NA,TRUE,NA,NA,NA,NA,TRUE
du,2019,1280.6304,10.3233/wor-192974,TRUE,IOS Press,Work,1051-9815,1051-9815,1875-9270,NA,https://creativecommons.org/licenses/by-nc/4.0/,TRUE,31450534,PMC6839605,NA,NA,FALSE
du,2019,1310.744,10.12968/ijpn.2019.25.2.65,TRUE,Mark Allen Group,International Journal of Palliative Nursing,1357-6321,1357-6321,2052-286X,NA,NA,TRUE,30785819,NA,NA,NA,FALSE
du,2019,1332.2672,10.1080/17482631.2018.1554025,FALSE,Taylor & Francis,International Journal of Qualitative Studies on Health and Well-being,1748-2631,NA,1748-2631,NA,http://creativecommons.org/licenses/by/4.0/,TRUE,30704369,PMC6292354,NA,NA,TRUE
du,2019,1440.8272,10.3390/ijerph16132409,FALSE,MDPI,International Journal of Environmental Research and Public Health,1660-4601,NA,1660-4601,NA,https://creativecommons.org/licenses/by/4.0/,TRUE,31284620,PMC6651011,NA,NA,TRUE
du,2019,1473.9615999999999,10.3390/en12244694,FALSE,MDPI,Energies,1996-1073,NA,1996-1073,NA,https://creativecommons.org/licenses/by/4.0/,TRUE,NA,NA,NA,NA,TRUE
du,2019,1504.264,10.1136/bmjopen-2019-030314,FALSE,BMJ,BMJ Open,2044-6055,2044-6055,2044-6055,NA,NA,TRUE,31371301,PMC6677950,NA,NA,TRUE
du,2019,1598.664,10.3390/en12132484,FALSE,MDPI,Energies,1996-1073,NA,1996-1073,NA,https://creativecommons.org/licenses/by/4.0/,TRUE,NA,NA,NA,NA,TRUE
du,2019,1840.8,10.1163/24682470-12340037,TRUE,Brill,Shii Studies Review,2468-2462,NA,2468-2462,NA,NA,TRUE,NA,NA,NA,NA,FALSE
du,2019,1911.6,10.1186/s13012-018-0835-5,FALSE,BioMed Central,Implementation Science,1748-5908,NA,1748-5908,NA,http://creativecommons.org/licenses/by/4.0/,TRUE,30509289,PMC6278165,NA,NA,TRUE
du,2019,2039.04,10.1016/j.uclim.2019.100571,TRUE,Elsevier,Urban Climate,2212-0955,2212-0955,NA,NA,http://creativecommons.org/licenses/by/4.0/,TRUE,NA,NA,NA,NA,FALSE
du,2019,2068.6816,10.1111/scs.12667,TRUE,Wiley,Scandinavian Journal of Caring Sciences,0283-9318,0283-9318,1471-6712,NA,http://creativecommons.org/licenses/by/4.0/,TRUE,30859599,NA,NA,NA,FALSE
du,2019,2085.3903999999998,10.1016/j.archger.2019.01.002,TRUE,Elsevier,Archives of Gerontology and Geriatrics,0167-4943,0167-4943,NA,NA,http://creativecommons.org/licenses/by-nc-nd/4.0/,TRUE,30711841,NA,NA,NA,FALSE
du,2019,2085.3903999999998,10.1016/j.srhc.2019.02.003,TRUE,Elsevier,Sexual & Reproductive Healthcare,1877-5756,1877-5756,NA,NA,http://creativecommons.org/licenses/by-nc-nd/4.0/,TRUE,31084814,NA,NA,NA,FALSE
du,2019,2269.6592,10.1016/j.archger.2019.103960,TRUE,Elsevier,Archives of Gerontology and Geriatrics,0167-4943,0167-4943,NA,NA,http://creativecommons.org/licenses/by-nc-nd/4.0/,TRUE,31704624,NA,NA,NA,FALSE
du,2019,227.1264,10.18848/2325-1581/cgp/v12i01/39-51,TRUE,Common Ground Research Networks,The International Journal of Visual Design,2325-1581,2325-1581,2325-159X,NA,NA,TRUE,NA,NA,NA,NA,FALSE
du,2019,2360,10.1111/opn.12299,TRUE,Wiley,International Journal of Older People Nursing,1748-3735,1748-3735,1748-3743,NA,http://creativecommons.org/licenses/by/4.0/,TRUE,31886633,NA,NA,NA,FALSE
du,2019,2424.7584,10.1111/idh.12424,TRUE,Wiley,International Journal of Dental Hygiene,1601-5029,1601-5029,1601-5037,NA,http://creativecommons.org/licenses/by/4.0/,TRUE,31782889,NA,NA,NA,FALSE
du,2019,2472.2416,10.1111/apa.14948,TRUE,Wiley,Acta Paediatrica,0803-5253,0803-5253,1651-2227,NA,http://creativecommons.org/licenses/by-nc/4.0/,TRUE,31350769,PMC6899771,NA,NA,FALSE
du,2019,2485.9296,10.1111/apa.14903,TRUE,Wiley,Acta Paediatrica,0803-5253,0803-5253,1651-2227,NA,http://creativecommons.org/licenses/by-nc-nd/4.0/,TRUE,31206784,PMC6899467,NA,NA,FALSE
du,2019,2737.6,10.1111/spol.12572,TRUE,Wiley,Social Policy & Administration,0144-5596,0144-5596,1467-9515,NA,http://creativecommons.org/licenses/by/4.0/,TRUE,NA,NA,NA,NA,FALSE
du,2019,2926.4,10.1016/j.matchar.2019.109926,TRUE,Elsevier,Materials Characterization,1044-5803,1044-5803,NA,NA,http://creativecommons.org/licenses/by-nc-nd/4.0/,TRUE,NA,NA,NA,NA,FALSE
du,2019,3519.9872,10.1111/jan.14222,TRUE,Wiley,Journal of Advanced Nursing,0309-2402,0309-2402,1365-2648,NA,http://creativecommons.org/licenses/by/4.0/,TRUE,31576579,PMC6972495,NA,NA,FALSE
gih,2019,1240.9823999999999,10.3390/ijerph16234721,FALSE,MDPI,International Journal of Environmental Research and Public Health,1660-4601,NA,1660-4601,NA,https://creativecommons.org/licenses/by/4.0/,TRUE,31783476,PMC6926659,NA,NA,TRUE
gih,2019,1458.5744,10.1371/journal.pone.0219741,FALSE,Public Library of Science (PLoS),PLOS ONE,1932-6203,NA,1932-6203,NA,http://creativecommons.org/licenses/by/4.0/,TRUE,31339909,PMC6655643,NA,NA,TRUE
gih,2019,1660.8736,10.3390/ijerph16245136,FALSE,MDPI,International Journal of Environmental Research and Public Health,1660-4601,NA,1660-4601,NA,https://creativecommons.org/licenses/by/4.0/,TRUE,31888199,PMC6949984,NA,NA,TRUE
gih,2019,1724.4048,10.3390/ijerph16183370,FALSE,MDPI,International Journal of Environmental Research and Public Health,1660-4601,NA,1660-4601,NA,https://creativecommons.org/licenses/by/4.0/,TRUE,31547253,PMC6765997,NA,NA,TRUE
gih,2019,1746.6832,10.1186/s40795-019-0279-6,FALSE,BioMed Central,BMC Nutrition,2055-0928,NA,2055-0928,NA,http://creativecommons.org/licenses/by/4.0/,TRUE,32153928,PMC7050762,NA,NA,TRUE
gih,2019,1806.1552,10.1186/s12889-019-6589-4,FALSE,BioMed Central,BMC Public Health,1471-2458,NA,1471-2458,NA,http://creativecommons.org/licenses/by/4.0/,TRUE,30836957,PMC6402109,NA,NA,TRUE
gih,2019,2524.4447999999998,10.1111/apa.14884,TRUE,Wiley,Acta Paediatrica,0803-5253,0803-5253,1651-2227,NA,http://creativecommons.org/licenses/by-nc/4.0/,TRUE,31162723,PMC6899754,NA,NA,FALSE
gih,2019,2584.672,10.1016/j.ypmed.2019.105799,TRUE,Elsevier,Preventive Medicine,0091-7435,0091-7435,NA,NA,http://creativecommons.org/licenses/by/4.0/,TRUE,31454664,NA,NA,NA,FALSE
gih,2019,3033.1664,10.1111/sms.13581,TRUE,Wiley,Scandinavian Journal of Medicine & Science in Sports,0905-7188,0905-7188,1600-0838,NA,http://creativecommons.org/licenses/by-nc-nd/4.0/,TRUE,31631386,PMC7003943,NA,NA,FALSE
gih,2019,411.3952,10.3389/fpsyg.2019.02721,FALSE,Frontiers,Frontiers in Psychology,1664-1078,NA,1664-1078,NA,https://creativecommons.org/licenses/by/4.0/,TRUE,31866908,PMC6904340,NA,NA,TRUE
gih,2019,827.3216,10.3390/ijerph16234766,FALSE,MDPI,International Journal of Environmental Research and Public Health,1660-4601,NA,1660-4601,NA,https://creativecommons.org/licenses/by/4.0/,TRUE,31795109,PMC6926785,NA,NA,TRUE
gu,2019,1007.72,10.1073/pnas.1813268116,TRUE,National Academy of Sciences,Proceedings of the National Academy of Sciences,0027-8424,0027-8424,1091-6490,NA,https://creativecommons.org/licenses/by-nc-nd/4.0/,TRUE,30808740,PMC6397522,NA,NA,FALSE
gu,2019,1072.856,10.3390/min9080497,FALSE,MDPI,Minerals,2075-163X,NA,2075-163X,NA,https://creativecommons.org/licenses/by/4.0/,TRUE,NA,NA,NA,NA,TRUE
gu,2019,1084.656,10.1126/sciadv.aaw1531,FALSE,American Association for the Advancement of Science (AAAS),Science Advances,2375-2548,NA,2375-2548,NA,NA,TRUE,31328161,PMC6636987,NA,NA,TRUE
gu,2019,1088.9984,10.1016/j.jasrep.2019.101971,TRUE,Elsevier,Journal of Archaeological Science: Reports,2352-409X,2352-409X,NA,NA,http://creativecommons.org/licenses/by-nc-nd/4.0/,TRUE,NA,NA,NA,NA,FALSE
