spie-intl soc optical eng	Society of Photo-optical Instrumentation Engineers (SPIE)
taylor & francis group	Taylor & Francis
csiro publishing	CSIRO Publishing
macmillan publishers	Springer
american society for pharmacology and experimental therapeutics (aspet)	American Society for Pharmacology & Experimental Therapeutics (ASPET)
baishideng publishing group inc.	Baishideng Publishing Group
society of photo-optical instrumentation engineers (spie)	Society of Photo-optical Instrumentation Engineers (SPIE)
sage	SAGE Publications
jmir publications inc.	JMIR Publications
oxford	Oxford University Press (OUP)
informa uk ltd	Taylor & Francis
common ground research networks	Common Ground Research Networks
council for british archaeology	Council for British Archaeology
springer science + business media	Springer
amer inst physics	AIP Publishing
ieee	Institute of Electrical & Electronics Engineers (IEEE)
acta dermato-venereologica	Acta Dermato-Venereologica
copernicus	Copernicus Publications
copernicus gmbh	Copernicus
ecs - the electrochemical society	The Electrochemical Society (ECS)
american society of plant biologists	American Society of Plant Biologists
the society for reproduction and development	Japanese Society of Animal Reproduction
iop publishing	IOP Publishing
institute of electrical & electronics engineers (ieee)	Institute of Electrical & Electronics Engineers (IEEE)
omics international	OMICS International
royal society of chemistry	Royal Society of Chemistry (RSC)
redfame	Redfame Publishing
american society of clinical oncology (asco)	American Society of Clinical Oncology (ASCO)
cambridge university press	Cambridge University Press (CUP)
american society of animal science (asas)	American Society of Animal Science (ASAS)
brill academic publishers	Brill
genetics society of america	Genetics Society of America
bentham open	Bentham Open
nature publishing group	Springer
embo	EMBO
scientific research publishing limited	Scientific Research Publishing
walter de gruyter	Walter de Gruyter
international union of crystallography (iucr)	International Union of Crystallography (IUCr)
university of chicago press	The University of Chicago Press
portland press ltd.	Portland Press
resilience allience	Resilience Alliance
wiley / agu	Wiley
american society for microbiology	American Society for Microbiology
magnolia press	Magnolia Press
association for research in vision and ophthalmology (arvo)	Association for Research in Vision and Ophthalmology (ARVO)
john benjamins publishing company	John Benjamins Publishing Company
inter-research science center	Inter-Research Science Center
the royal society	The Royal Society
cogitatio	Cogitatio
taylor and francis	Taylor & Francis
cappelen damm akademisk	Cappelen Damm Akademisk
american physical society (aps)	American Physical Society (APS)
bmj publishing	BMJ
iwa publishing	IWA Publishing
mdpi	MDPI
cogitatio press	Cogitatio
co-action	Taylor & Francis
wageningen	Wageningen Academic Publishers
walter de gruyter gmbh	Walter de Gruyter
the electrochemical society (ecs)	The Electrochemical Society (ECS)
trans tech publications	Trans Tech Publications
mdpi ag	MDPI
aip publishing	AIP Publishing
s. karger	Karger
journal of gambling issues	Journal of Gambling Issues
ieee publications	Institute of Electrical and Electronics Engineers (IEEE)
japan society of applied physics	Japan Society of Applied Physics
american speech language hearing association	American Speech Language Hearing Association
resilience alliance	Resilience Alliance
scitechnol biosoft pvt. ltd.	Scitechnol Biosoft Pvt. Ltd.
the endocrine society	The Endocrine Society
international union crystallography	International Union Crystallography
mary ann liebert, inc.	Mary Ann Liebert
springer	Springer
academicjournals	Academic Journals
aip	AIP Publishing
university of california press	University of California Press
bmj publishing group ltd	BMJ
public library of science (plos)	Public Library of Science (PLoS)
american association for the advancement of science (aaas)	American Association for the Advancement of Science (AAAS)
arvo journals	Association for Research in Vision and Ophthalmology (ARVO)
springer open	Springer Open
intellect	Intellect
american physical society	American Physical Society (APS)
mary ann liebert inc	Mary Ann Liebert
sage publications ltd	SAGE Publications
pnas	National Academy of Sciences
nature	Springer
elsevier bv	Elsevier
faculty of 1000	Faculty of 1000
cappelen damm akademisk as * nordic open access scholarly publishing	Cappelen Damm Akademisk
annex publishers	Annex Publishers
royal society the	The Royal Society
osa publishing	Optical Society of America (OSA)
taylor & francis	Taylor & Francis
proceedings of the national academy of sciences	National Academy of Sciences
cgpublisher	CGPublisher
american association for the advancement of science	American Association for the Advancement of Science (AAAS)
biomed central (springer nature)	BioMed Central
portland press	Portland Press
cold spring harbour	Cold Spring Harbor Laboratory Press
elsevier inc.	Elsevier
society of nuclear medicine	Society of Nuclear Medicine
the electrochemical society	The Electrochemical Society
lippincott	Lippincott Williams & Wilkins
american chemical society	American Chemical Society (ACS)
david publishing company	David Publishing Company
world scientific publishing	World Scientific Publishing
co-action publishing	Taylor & Francis
sage publications	SAGE Publications
impact journals, llc	Impact Journals
f1000 research	Faculty of 1000
american association for cancer research (aacr	American Association for Cancer Research (AACR)
emeral group publishers	Emerald
the american association of immunologists	The American Association of Immunologists
springeropen	Springer Open
americal physical society	American Physical Society (APS)
intellect ltd	Intellect
acs	American Chemical Society (ACS)
emerald	Emerald
cell press	Cell Press
american society of plant biologists (aspb)	American Society of Plant Biologists (ASPB)
dove medical press	Dove Medical Press
ecs	The Electrochemical Society (ECS)
wolters kluwer	Wolters Kluwer
biomed central ltd	BioMed Central
the university of chicago press	The University of Chicago Press
aps	American Physical Society (APS)
scientific.net	Trans Tech Publications
wiley-blackwell	Wiley
informa uk limited	Taylor & Francis
impact journals	Impact Journals
cadmus	American Society for Microbiology
academy of taiwan information systems research	Academy of Taiwan Information Systems Research
american psychological association (apa)	American Psychological Association (APA)
frontiers media sa	Frontiers
sciedu press	Sciedu Press
american association of pharmaceutical scientists (aaps)	American Association of Pharmaceutical Scientists (AAPS)
dove press	Dove Medical Press
ivyspring international publisher	Ivyspring International Publisher
public library of science	Public Library of Science (PLoS)
acs publications	American Chemical Society (ACS)
cold spring harbor laboratory press	Cold Spring Harbor Laboratory Press
optical society of america	Optical Society of America (OSA)
omics publishing group	OMICS Publishing Group
american society for clinical pharmacology and therapeutics	Wiley
society for neuroscience	Society for Neuroscience
american society for biochemistry and molecular biology	American Society for Biochemistry & Molecular Biology (ASBMB)
american dairy science association	American Dairy Science Association
hindawi	Hindawi Publishing Corporation
scandinavian journal of work	Nordic Association of Occupational Safety and Health (NOROSH)
symbiosis	Symbiosis
karger	Karger
sci forschen inc	Sci Forschen Inc
mgh insititute of health professions	Wiley
american meteorological society	American Meteorological Society
company of biologists	The Company of Biologists
norosh	Nordic Association of Occupational Safety and Health (NOROSH)
bmc	BioMed Central
acoustical society of america (asa)	Acoustical Society of America (ASA)
t&f	Taylor & Francis
smart science and technology	Smart Science and Technology
bmj	BMJ
macmillan publishers ltd	Springer
institute of physics	IOP Publishing
biomed central (springer)	BioMed Central
spie	Society of Photo-optical Instrumentation Engineers (SPIE)
national academy of sciences, usa	National Academy of Sciences
redfame publishing	Redfame Publishing
hindawi publishing corporation	Hindawi Publishing Corporation
