"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"sh",2018,1824,"10.1016/j.rbms.2018.10.014",FALSE,"Elsevier BV","Reproductive Biomedicine & Society Online","2405-6618","2405-6618",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"30740547","PMC6357206",NA,NA,TRUE
"sh",2018,900,"10.17645/mac.v6i2.1281",FALSE,"Cogitatio","Media and Communication","2183-2439",NA,"2183-2439",NA,"http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,TRUE
"sh",2018,900,"10.17645/mac.v6i2.1337",FALSE,"Cogitatio","Media and Communication","2183-2439",NA,"2183-2439",NA,"http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,TRUE
"sh",2018,2651.16,"10.1016/j.ygcen.2018.03.011",TRUE,"Elsevier BV","General and Comparative Endocrinology","0016-6480","0016-6480",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"29526718",NA,NA,NA,FALSE
"sh",2018,2165.12,"10.1016/j.marpol.2018.03.002",TRUE,"Elsevier BV","Marine Policy","0308-597X","0308-597X",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE
"sh",2018,416.16,"10.1080/1331677x.2017.1314820",FALSE,"Informa UK Limited","Economic Research-Ekonomska Istraživanja","1331-677X","1331-677X","1848-9664",NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"sh",2018,2000,"10.1515/hzhz-2017-0029",TRUE,"Walter de Gruyter GmbH","Historische Zeitschrift","2196-680X","0018-2613","2196-680X",NA,"http://creativecommons.org/licenses/by-nc-nd/3.0",TRUE,NA,NA,NA,NA,FALSE
"sh",2018,3211.26,"10.1177/2399654418778037",TRUE,"SAGE Publications","Environment and Planning C: Politics and Space","2399-6544","2399-6544","2399-6552",NA,"http://journals.sagepub.com/page/policies/text-and-data-mining-license",TRUE,NA,NA,NA,NA,FALSE
"sh",2018,1204.99,"10.1016/j.aqrep.2018.09.003",FALSE,"Elsevier BV","Aquaculture Reports","2352-5134","2352-5134",NA,NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"sh",2018,4135.81,"10.1016/j.cosust.2018.01.009",TRUE,"Elsevier BV","Current Opinion in Environmental Sustainability","1877-3435","1877-3435",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE
"sh",2018,2475.58,"10.1080/00111619.2018.1459457",TRUE,"Informa UK Limited","Critique: Studies in Contemporary Fiction","0011-1619","0011-1619","1939-9138",NA,"http://creativecommons.org/licenses/by/4.0",TRUE,NA,NA,NA,NA,FALSE
"sh",2018,607.66,"10.3390/su10030739",FALSE,"MDPI AG","Sustainability","2071-1050",NA,"2071-1050",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"sh",2018,258.26,"10.3390/agriculture8020026",FALSE,"MDPI AG","Agriculture","2077-0472",NA,"2077-0472",NA,"https://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"sh",2018,2150,"10.1080/07352166.2017.1422982",TRUE,"Informa UK Limited","Journal of Urban Affairs","0735-2166","0735-2166","1467-9906",NA,NA,TRUE,NA,NA,NA,NA,FALSE
