"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"slu",2016,1495.39,"10.1186/s12936-016-1656-0",FALSE,"BioMed Central","Malaria Journal","1475-2875",NA,"1475-2875",NA,NA,TRUE,"28114992","PMC5259891",NA,NA,TRUE
"slu",2016,1576.36,"10.1186/s13028-016-0266-8",FALSE,"BioMed Central","Acta Veterinaria Scandinavica","1751-0147",NA,"1751-0147",NA,NA,TRUE,NA,NA,NA,NA,TRUE
"slu",2016,1435.1,"10.1186/s12864-016-2458-z",FALSE,"BioMed Central","BMC Genomics","1471-2164",NA,"1471-2164",NA,NA,TRUE,"26887814","PMC4758094",NA,NA,TRUE
"slu",2016,1881.94,"10.1186/s13750-016-0080-9",FALSE,"BioMed Central","Environmental Evidence","2047-2382",NA,"2047-2382",NA,NA,TRUE,NA,NA,NA,NA,TRUE
"slu",2016,1435.69,"10.1186/s12870-016-0952-8",FALSE,"BioMed Central","BMC Plant Biology","1471-2229",NA,"1471-2229",NA,NA,TRUE,"28061815","PMC5219727",NA,NA,TRUE
"slu",2016,1646.46,"10.1186/s12870-016-0939-5",FALSE,"BioMed Central","BMC Plant Biology","1471-2229",NA,"1471-2229",NA,NA,TRUE,NA,NA,NA,NA,TRUE
"slu",2016,2000.46,"10.1186/s13068-016-0640-9",FALSE,"BioMed Central","Biotechnology for Biofuels","1754-6834",NA,"1754-6834",NA,NA,TRUE,NA,NA,NA,NA,TRUE
"slu",2016,1408.19,"10.1186/s40793-016-0199-x",FALSE,"BioMed Central","Standards in Genomic Sciences","1944-3277",NA,"1944-3277",NA,NA,TRUE,NA,NA,NA,NA,TRUE
"slu",2016,1408.19,"10.1186/s41065-016-0014-0",FALSE,"BioMed Central","Hereditas","1601-5223",NA,"1601-5223",NA,NA,TRUE,"28096772","PMC5226105",NA,NA,TRUE
"slu",2016,1802.53,"10.1186/s12863-015-0304-y",FALSE,"BioMed Central","BMC Genetics","1471-2156",NA,"1471-2156",NA,NA,TRUE,"26706685","PMC4691297",NA,NA,TRUE
"slu",2016,1623.98,"10.1186/s40575-015-0029-2",FALSE,"BioMed Central","Canine Genetics and Epidemiology","2052-6687",NA,"2052-6687",NA,NA,TRUE,"26457193","PMC4599337",NA,NA,TRUE
"slu",2016,1439.65,"10.1186/s41065-016-0011-3",FALSE,"BioMed Central","Hereditas","1601-5223",NA,"1601-5223",NA,NA,TRUE,"28096769","PMC5226109",NA,NA,TRUE
"slu",2016,900.17,"10.1186/s40064-016-2831-z",FALSE,"Springer","SpringerPlus","2193-1801",NA,"2193-1801",NA,"http://creativecommons.org/licenses/by/4.0",TRUE,"27512633","PMC4960079",NA,NA,TRUE
"slu",2016,1653.86,"10.1186/s13068-016-0543-9",FALSE,"BioMed Central","Biotechnology for Biofuels","1754-6834",NA,"1754-6834",NA,NA,TRUE,"27330562","PMC4912747",NA,NA,TRUE
"slu",2016,2087.34,"10.1186/s13071-016-1503-8",FALSE,"BioMed Central","Parasites & Vectors","1756-3305",NA,"1756-3305",NA,NA,TRUE,"27094215","PMC4837528",NA,NA,TRUE
"slu",2016,1428.09,"10.1186/s13742-016-0132-7",FALSE,"Oxford University Press (OUP)","GigaScience","2047-217X",NA,"2047-217X",NA,NA,TRUE,"27267963","PMC4897895",NA,NA,TRUE
"slu",2016,1555.74,"10.1186/s12936-016-1386-3",FALSE,"BioMed Central","Malaria Journal","1475-2875",NA,"1475-2875",NA,NA,TRUE,"27439360","PMC4955153",NA,NA,TRUE
"slu",2016,1686.22,"10.1186/s13028-016-0213-8",FALSE,"BioMed Central","Acta Veterinaria Scandinavica","1751-0147",NA,"1751-0147",NA,NA,TRUE,"27207437","PMC4875734",NA,NA,TRUE
"slu",2016,1560.61,"10.1186/s12868-016-0258-7",FALSE,"BioMed Central","BMC Neuroscience","1471-2202",NA,"1471-2202",NA,NA,TRUE,"27246183","PMC4888552",NA,NA,TRUE
"slu",2016,1594.89,"10.1186/s12936-016-1308-4",FALSE,"BioMed Central","Malaria Journal","1475-2875",NA,"1475-2875",NA,NA,TRUE,"27142303","PMC4855760",NA,NA,TRUE
"slu",2016,1559.03,"10.1186/s12864-016-2561-1",FALSE,"BioMed Central","BMC Genomics","1471-2164",NA,"1471-2164",NA,NA,TRUE,"26988094","PMC4794925",NA,NA,TRUE
"slu",2016,1816.38,"10.1186/s13068-016-0454-9",FALSE,"BioMed Central","Biotechnology for Biofuels","1754-6834",NA,"1754-6834",NA,NA,TRUE,"26925165","PMC4769498",NA,NA,TRUE
"slu",2016,1530.61,"10.1186/s12889-015-2574-8",FALSE,"BioMed Central","BMC Public Health","1471-2458",NA,"1471-2458",NA,"http://www.springer.com/tdm",TRUE,"26654879","PMC4676886",NA,NA,TRUE
"slu",2016,1530.61,"10.1186/s12870-016-0706-7",FALSE,"BioMed Central","BMC Plant Biology","1471-2229",NA,"1471-2229",NA,NA,TRUE,"26786587","PMC4719685",NA,NA,TRUE
"slu",2016,1350,"10.5194/hess-20-2811-2016",FALSE,"Copernicus","Hydrology and Earth System Sciences","1607-7938",NA,"1607-7938",NA,"http://creativecommons.org/licenses/by/3.0/",TRUE,NA,NA,NA,NA,TRUE
"slu",2016,2976.47,"10.1016/j.biombioe.2016.12.002",TRUE,"Elsevier","Biomass and Bioenergy","0961-9534","0961-9534",NA,NA,"http://www.elsevier.com/tdm/userlicense/1.0/",TRUE,NA,NA,NA,NA,FALSE
"slu",2016,2705.88,"10.1016/j.wasman.2016.12.016",TRUE,"Elsevier","Waste Management","0956-053X","0956-053X",NA,NA,"http://www.elsevier.com/tdm/userlicense/1.0/",TRUE,"28038908",NA,NA,NA,FALSE
"slu",2016,901.96,"10.1016/j.aqrep.2016.12.003",FALSE,"Elsevier","Aquaculture Reports","2352-5134","2352-5134",NA,NA,"http://www.elsevier.com/tdm/userlicense/1.0/",TRUE,NA,NA,NA,NA,TRUE
