institution	period	euro	doi	is_hybrid	publisher
slu	2017	2691	10.1016/j.tvjl.2017.02.004	TRUE	Elsevier
slu	2017	2870	10.1016/j.marpolbul.2017.02.014	TRUE	Elsevier
slu	2017	2242.65	10.1016/j.cropro.2017.03.001	TRUE	Elsevier
slu	2017	2556.62	10.1016/j.applthermaleng.2017.02.010	TRUE	Elsevier
slu	2017	3229.41	10.1016/j.foreco.2017.02.011	TRUE	Elsevier
slu	2017	2242.65	10.1016/j.apsoil.2017.02.010	TRUE	Elsevier
slu	2017	2870.59	10.1016/j.scitotenv.2017.02.038	TRUE	Elsevier
slu	2017	1973.53	10.1016/j.healthplace.2016.12.002	TRUE	Elsevier
slu	2017	2691	10.1016/j.peptides.2017.10.016	TRUE	Elsevier
slu	2017	2870	10.1016/j.scitotenv.2017.10.056	TRUE	Elsevier
slu	2017	2466	10.1016/j.biosystemseng.2017.10.016	TRUE	Elsevier
slu	2017	2870	10.1016/j.ecolind.2017.11.007	TRUE	Elsevier
slu	2017	448	10.1016/j.dib.2017.09.043	FALSE	Elsevier
slu	2017	2691	10.1016/j.geoderma.2017.10.049	TRUE	Elsevier
slu	2017	3229	10.1016/j.envexpbot.2017.10.015	TRUE	Elsevier
slu	2017	2870	10.1016/j.chemosphere.2017.09.088	TRUE	Elsevier
slu	2017	1648	10.1016/j.ijppaw.2017.09.003	FALSE	Elsevier
slu	2017	2960	10.1016/j.biortech.2017.08.213	TRUE	Elsevier
slu	2017	2698	10.1016/j.biocontrol.2017.09.006	TRUE	Elsevier
slu	2017	3139	10.1016/j.gloenvcha.2017.09.001	TRUE	Elsevier
slu	2017	2870	10.1016/j.scitotenv.2017.09.067	TRUE	Elsevier
slu	2017	2691	10.1016/j.geoderma.2017.09.004	TRUE	Elsevier
slu	2017	2691	10.1016/j.tvjl.2017.09.001	TRUE	Elsevier
slu	2017	3229	10.1016/j.agee.2017.06.042	TRUE	Elsevier
slu	2017	1345	10.1016/j.ufug.2017.07.006	TRUE	Elsevier
slu	2017	2870	10.1016/j.soilbio.2017.07.021	TRUE	Elsevier
slu	2017	2691	10.1016/j.livsci.2017.05.026	TRUE	Elsevier
slu	2017	3552	10.1016/j.eja.2017.07.003	TRUE	Elsevier
slu	2017	3229	10.1016/j.agsy.2017.06.004	TRUE	Elsevier
slu	2017	3139	10.1016/j.ecolecon.2017.07.008	TRUE	Elsevier
slu	2017	3229	10.1016/j.tplants.2017.06.010	TRUE	Elsevier
slu	2017	3229	10.1016/j.foreco.2017.04.045	TRUE	Elsevier
slu	2017	1614	10.1016/j.geoforum.2017.05.011	TRUE	Elsevier
slu	2017	448	10.1016/j.gdata.2017.05.010	FALSE	Elsevier
slu	2017	1419.1	10.1371/journal.pone.0174634	FALSE	Public Library of Science (PLoS)
slu	2017	1399	10.1371/journal.pone.0176253	FALSE	Public Library of Science (PLoS)
slu	2017	1419.1	10.1371/journal.pone.0175211	FALSE	Public Library of Science (PLoS)
slu	2017	2135.77	10.1371/journal.pntd.0005367	FALSE	Public Library of Science (PLoS)
slu	2017	2139.51	10.1371/journal.pgen.1006562	FALSE	Public Library of Science (PLoS)
slu	2017	1267.13	10.1371/journal.pone.0185182	FALSE	Public Library of Science (PLoS)
