institution	period	euro	doi	is_hybrid	publisher
slu	2014	2200	10.1007/s10818-014-9183-yc	TRUE	Springer
slu	2014	1351	10.1186/1751-0147-55-50m	FALSE	BioMed Central
slu	2016	662.73	10.4172/antimicro.1000107	FALSE	OMICS Publishing Group
slu	2017	2960	1016/j.biortech.2017.08.213	TRUE	Elsevier
slu	2017	1203	wiley ecosphere jacobson size-dependent prey availability affects diet	FALSE	Wiley
slu	2018	1538.25	10.1186/s12864-018-5256-y	FALSE	BioMed Central
slu	2018	1691.25	10.1186/s13028-018-0419-z	FALSE	BioMed Central
slu	2018	1440.48	10.1186/s12936-018-2245-1	FALSE	BioMed Central
slu	2018	1538.25	10.1186/s40359-018-0228-1	FALSE	BioMed Central
slu	2018	2475	10.1186/s13059-018-1444-y	FALSE	BioMed Central
slu	2018	1875	10.1186/s12936-018-2499-7	FALSE	BioMed Central
slu	2018	2240	10.1016/j.apgeochem.2018.12.027	TRUE	Elsevier
slu	2018	1980	10.1016/j.jviromet.2018.12.003	TRUE	Elsevier
slu	2018	2760	10.1016/j.vetpar.2018.11.004	TRUE	Elsevier
slu	2018	2930	10.1016/j.cca.2018.10.044	TRUE	Elsevier
slu	2018	2760	10.1016/j.vetpar.2018.11.003	TRUE	Elsevier
slu	2018	3204	10.1016/j.applanim.2018.10.013	TRUE	Elsevier
slu	2018	3004.65	10.1016/j.biocon.2018.09.011	TRUE	Elsevier
slu	2018	3579.07	10.1016/j.jclepro.2018.10.017	TRUE	Elsevier
slu	2018	2209.3	10.1016/j.jevs.2018.10.002	TRUE	Elsevier
slu	2018	2827.91	10.1016/j.geoderma.2018.09.048	TRUE	Elsevier
slu	2018	3004.65	10.1016/j.scitotenv.2018.09.314	TRUE	Elsevier
slu	2018	1624.28	10.1016/j.ijpddr.2018.09.003	TRUE	Elsevier
slu	2018	3004.65	10.1016/j.biocon.2018.09.023	TRUE	Elsevier
slu	2018	3004.65	10.1016/j.scitotenv.2018.09.127	TRUE	Elsevier
slu	2018	441.86	10.1016/j.dib.2018.08.060	FALSE	Elsevier
slu	2018	3004.65	10.1016/j.biocon.2018.07.025	TRUE	Elsevier
slu	2018	2651	10.1016/j.cvsm.2018.03.001	TRUE	Elsevier
slu	2018	3313.95	10.1016/j.gloenvcha.2018.07.012	TRUE	Elsevier
slu	2018	3004.65	10.1016/j.scitotenv.2018.07.328	TRUE	Elsevier
slu	2018	2297.67	10.1016/j.apgeochem.2018.07.012	TRUE	Elsevier
slu	2018	3004.65	10.1016/j.scitotenv.2018.07.207	TRUE	Elsevier
slu	2018	1293.2	10.1016/j.gecco.2018.e00414	FALSE	Elsevier
slu	2018	3313.95	10.1016/j.watres.2018.07.030	TRUE	Elsevier
slu	2018	2209.3	10.1016/j.still.2018.06.007	TRUE	Elsevier
slu	2018	3137.21	10.1016/j.apenergy.2018.06.045	TRUE	Elsevier
slu	2018	2297.67	10.1016/j.cropro.2018.05.025	TRUE	Elsevier
