"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","issn_l","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj"
"SLU",2019,2926.34336,"10.1016/j.chemosphere.2019.01.148",TRUE,"Elsevier BV","Chemosphere","0045-6535","0045-6535",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"30716548",NA,NA,NA,FALSE
"SLU",2019,2157.3043199999997,"10.1016/j.forpol.2019.01.005",TRUE,"Elsevier BV","Forest Policy and Economics","1389-9341","1389-9341",NA,NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE
"SLU",2019,2926.34336,"10.1016/j.chemosphere.2019.02.021",TRUE,"Elsevier BV","Chemosphere","0045-6535","0045-6535",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE
"SLU",2019,2926.34336,"10.1016/j.fcr.2019.02.015",TRUE,"Elsevier BV","Field Crops Research","0378-4290","0378-4290",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE
"SLU",2019,3104.121216,"10.1016/j.livsci.2019.01.017",TRUE,"Elsevier BV","Livestock Science","1871-1413","1871-1413",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE
"SLU",2019,3225.96896,"10.1016/j.watres.2019.02.052",TRUE,"Elsevier BV","Water Research","0043-1354","0043-1354",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"30849732",NA,NA,NA,FALSE
"SLU",2019,3136.08128,"10.1016/j.foreco.2019.03.044",TRUE,"Elsevier BV","Forest Ecology and Management","0378-1127","0378-1127",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE
"SLU",2019,2926.34336,"10.1016/j.chemosphere.2019.03.034",TRUE,"Elsevier BV","Chemosphere","0045-6535","0045-6535",NA,NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,"30875502",NA,NA,NA,FALSE
"SLU",2019,3016.2310399999997,"10.1016/j.foodcont.2019.03.010",TRUE,"Elsevier BV","Food Control","0956-7135","0956-7135",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE
"SLU",2019,2756.55552,"10.1016/j.prevetmed.2019.03.023",TRUE,"Elsevier BV","Preventive Veterinary Medicine","0167-5877","0167-5877",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"31027721",NA,NA,NA,FALSE
"SLU",2019,1288.3900800000001,"10.1016/j.gecco.2019.e00587",FALSE,"Elsevier BV","Global Ecology and Conservation","2351-9894","2351-9894",NA,NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"SLU",2019,2157.3043199999997,"10.1016/j.still.2019.04.008",TRUE,"Elsevier BV","Soil and Tillage Research","0167-1987","0167-1987",NA,NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,FALSE
"SLU",2019,2926.34336,"10.1016/j.scitotenv.2019.04.254",TRUE,"Elsevier BV","Science of The Total Environment","0048-9697","0048-9697",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,"31030156",NA,NA,NA,FALSE
"SLU",2019,1288.3900800000001,"10.1016/j.gecco.2019.e00636",FALSE,"Elsevier BV","Global Ecology and Conservation","2351-9894","2351-9894",NA,NA,"http://creativecommons.org/licenses/by/4.0/",TRUE,NA,NA,NA,NA,TRUE
"SLU",2019,2926.34336,"10.1016/j.biocon.2019.05.006",TRUE,"Elsevier BV","Biological Conservation","0006-3207","0006-3207",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE
"SLU",2019,2586.76768,"10.1016/j.livsci.2019.04.014",TRUE,"Elsevier BV","Livestock Science","1871-1413","1871-1413",NA,NA,"http://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,NA,NA,NA,NA,FALSE
