institution	period	euro	doi	is_hybrid	publisher
slu	2020	2581.524	10.1177/0266242620967006	TRUE	
slu	2020	2393.7768	10.1098/rstb.2019.0449	TRUE	
slu	2020	2288.169	10.1136/vr.105644	TRUE	
slu	2020	2252.9664	10.1039/D0EW00150C	TRUE	
slu	2020	2194.2954	10.1017/S0022029920000692	TRUE	
slu	2020	2053.485	10.1042/BST20190937	TRUE	
slu	2020	897.6663	10.1039/c9ra10691j	FALSE	
slu	2020	880.0649999999999	10.1039/d0ra06828d	FALSE	
slu	2020	1727.5031999999999	10.3390/f11040373	FALSE	
slu	2020	1727.5031999999999	10.3390/su12114352	FALSE	
slu	2020	1554.75288	10.3390/su12176995	FALSE	
slu	2020	1535.5584	10.3390/agronomy10060882	FALSE	
slu	2020	1439.586	10.3390/ijms21020620	FALSE	
slu	2020	1343.6136	10.3390/ijms21176311	FALSE	
slu	2020	1209.25224	10.3390/land9110451	FALSE	
slu	2020	1151.6688	10.3390/rs12030505	FALSE	
slu	2020	1151.6688	10.3390/insects11070402	FALSE	
slu	2020	959.7239999999999	10.3390/land9050144	FALSE	
slu	2020	3255.525	10.3168/jds.2020-18302	TRUE	
slu	2020	2743.9425	10.3389/fvets.2020.00645	FALSE	
slu	2020	2511.4049999999997	10.1071/EN19296	TRUE	
slu	2020	2469.54825	10.3389/fpls.2020.00023	FALSE	
slu	2020	2469.54825	10.3389/fpls.2020.00448	FALSE	
slu	2020	2469.54825	10.3389/fpls.2020.00329	FALSE	
slu	2020	2469.54825	10.3389/fpls.2020.00358	FALSE	
slu	2020	2469.54825	10.3389/fmicb.2020.00679	FALSE	
slu	2020	2469.54825	10.3389/fpls.2020.00651	FALSE	
slu	2020	2469.54825	10.3389/fmicb.2020.01500	FALSE	
slu	2020	2469.54825	10.3389/fpls.2020.01043	FALSE	
slu	2020	2469.54825	10.3389/fmicb.2020.01616	FALSE	
slu	2020	2469.54825	10.3389/fmicb.2020.02066	FALSE	
slu	2020	2469.54825	10.3389/fpls.2020.01144	FALSE	
slu	2020	2469.54825	10.3389/fpls.2020.01067	FALSE	
slu	2020	2469.54825	10.3389/fvets.2020.568881	FALSE	
slu	2020	2469.54825	10.3389/fvets.2020.572691	FALSE	
slu	2020	2469.54825	10.3389/fmicb.2020.581698	FALSE	
slu	2020	2469.54825	10.3389/fpls.2020.588846	FALSE	
slu	2020	2469.54825	10.3389/fpls.2020.593773	FALSE	
slu	2020	2469.54825	10.3389/fpls.2020.611607	FALSE	
slu	2020	2469.54825	10.3389/fpsyg.2020.612672	FALSE	
slu	2020	2316.0735	10.3389/fvets.2020.00298	FALSE	
slu	2020	2185.8525	10.1371/journal.pntd.0008531	FALSE	
slu	2020	2084.46615	10.3389/fvets.2020.00355	FALSE	
slu	2020	2084.46615	10.3389/fevo.2020.00254	FALSE	
slu	2020	2084.46615	10.3389/fenvs.2020.570637	FALSE	
slu	2020	2084.46615	10.3389/fenrg.2020.595224	FALSE	
slu	2020	2084.46615	10.3389/fevo.2020.595730	FALSE	
slu	2020	2084.46615	10.3389/fenvs.2020.619901	FALSE	
slu	2020	1765.7967600000002	10.1080/20008686.2020.1761588	FALSE	
slu	2020	1765.7967600000002	10.1080/20008686.2020.1772668	FALSE	
slu	2020	1720.7775	10.2166/wh.2020.264	TRUE	
slu	2020	1590.5565	10.3389/fenvs.2020.00036	FALSE	
slu	2020	1590.5565	10.3389/fenrg.2020.00105	FALSE	
slu	2020	1576.6042499999999	10.1371/journal.pone.0231608	FALSE	
slu	2020	1548.69975	10.3389/fvets.2020.586858	FALSE	
slu	2020	1483.58925	10.1371/journal.pone.0233530	FALSE	
slu	2020	1483.58925	10.1371/journal.pone.0234476	FALSE	
slu	2020	1483.58925	10.1371/journal.pone.0233611	FALSE	
