institution,period,euro,doi,is_hybrid,publisher,journal_full_title,issn,issn_print,issn_electronic,url
slu,2022,2803.71,10.3389/fgene.2022.848627,FALSE,,,,,,
slu,2022,1121.48,10.3389/fpls.2021.799482,FALSE,,,,,,
slu,2022,2803.71,10.3389/fpls.2022.882136,FALSE,,,,,,
slu,2022,2523.39,10.3389/fpls.2022.785196,FALSE,,,,,,
slu,2022,2523.39,10.3389/fpls.2022.816425,FALSE,,,,,,
slu,2022,2523.39,10.3389/fmicb.2022.1032202,FALSE,,,,,,
slu,2022,2523.39,10.3389/fvets.2022.992954,FALSE,,,,,,
slu,2022,2523.39,10.3389/fmicb.2022.972928,FALSE,,,,,,
slu,2022,2523.39,10.3389/fphys.2022.960897,FALSE,,,,,,
slu,2022,2523.39,10.3389/fvets.2022.956559,FALSE,,,,,,
slu,2022,2523.39,10.3389/fnbeh.2022.941517,FALSE,,,,,,
slu,2022,2523.39,10.3389/fpls.2022.932008,FALSE,,,,,,
slu,2022,2523.39,10.3389/fmolb.2022.931946,FALSE,,,,,,
slu,2022,2523.39,10.3389/fmicb.2022.928464,FALSE,,,,,,
slu,2022,2523.39,10.3389/fpls.2022.927673,FALSE,,,,,,
slu,2022,2523.39,10.3389/fmicb.2022.927139,FALSE,,,,,,
slu,2022,2523.39,10.3389/fpsyg.2022.914294,FALSE,,,,,,
slu,2022,2523.39,10.3389/fvets.2022.878162,FALSE,,,,,,
slu,2022,2523.39,10.3389/fmicb.2022.877990,FALSE,,,,,,
slu,2022,2523.39,10.3389/fmicb.2022.867865,FALSE,,,,,,
slu,2022,2523.39,10.3389/fphar.2022.853936,FALSE,,,,,,
slu,2022,2523.39,10.3389/fpls.2022.844450,FALSE,,,,,,
slu,2022,2523.39,10.3389/fpls.2022.823019,FALSE,,,,,,
slu,2022,2523.39,10.3389/fvets.2022.809128,FALSE,,,,,,
slu,2022,2523.39,10.3389/fvets.2021.799619,FALSE,,,,,,
slu,2022,2523.39,10.3389/fvets.2022.773903,FALSE,,,,,,
slu,2022,2523.39,10.3389/fnbeh.2022.744533,FALSE,,,,,,
slu,2022,2523.39,10.3389/fnins.2022.671702,FALSE,,,,,,
slu,2022,2129.86,10.3389/fenvs.2022.889119,FALSE,,,,,,
slu,2022,2129.86,10.3389/fenvs.2022.869009,FALSE,,,,,,
slu,2022,2129.86,10.3389/fevo.2022.849944,FALSE,,,,,,
slu,2022,2129.86,10.3389/fevo.2022.804118,FALSE,,,,,,
slu,2022,2129.86,10.3389/fevo.2021.800057,FALSE,,,,,,
slu,2022,1625.20,10.3389/fitd.2022.792857,FALSE,,,,,,
slu,2022,1582.48,10.3389/fpsyg.2022.774592,FALSE,,,,,,
slu,2022,1582.48,10.3389/fpls.2022.720486,FALSE,,,,,,
slu,2022, 983.72,10.3389/fanim.2022.1000490,FALSE,,,,,,
slu,2022, 983.72,10.3389/fanim.2022.896666,FALSE,,,,,,
slu,2022, 983.72,10.3389/fclim.2021.766583,FALSE,,,,,,
slu,2022, 812.65,10.3389/feduc.2022.809661,FALSE,,,,,,
slu,2022, 384.96,10.3389/fcosc.2022.1013867,FALSE,,,,,,
slu,2022,1662.28,10.1371/journal.pone.0273741,FALSE,,,,,,
slu,2022,1135.22,10.1080/1943815X.2022.2137202,FALSE,,,,,,
slu,2022,4436.82,10.1016/j.ymben.2022.05.005,TRUE,,,,,,
slu,2022,2523.39,10.3389/fpls.2022.997860,FALSE,,,,,,
slu,2022,2523.39,10.3389/fpls.2022.1010249,FALSE,,,,,,
slu,2022,2523.39,10.3389/fpls.2022.1035549,FALSE,,,,,,
slu,2022,2523.39,10.3389/fpls.2022.1062984,FALSE,,,,,,
slu,2022,2523.39,10.3389/fpls.2022.999692,FALSE,,,,,,
slu,2022,1853.86,10.1080/09064710.2022.2085165,FALSE,,,,,,
