institution,period,sek,doi,is_hybrid,publisher,journal_full_title,issn,issn_print,issn_electronic,url
slu,2021,30160.8,10.1017/S1466252321000013,TRUE,Cambridge University Press,,,,,
slu,2021,31383.3,10.1080/02827581.2021.1957999,TRUE,Taylor & Francis,,,,,
slu,2021,17491.5,10.1080/09064710.2021.1945138,FALSE,Taylor & Francis,,,,,
slu,2021,14671.8,10.3389/fagro.2021.698968,FALSE,Frontiers,,,,,
slu,2021,6752.46,10.3389/fagro.2021.782686,FALSE,Frontiers,,,,,
slu,2021,8880.3,10.3389/fanim.2021.725710,FALSE,Frontiers,,,,,
slu,2021,8880.3,10.3389/fanim.2021.740778,FALSE,Frontiers,,,,,
slu,2021,8880.3,10.3389/fanim.2021.753080,FALSE,Frontiers,,,,,
slu,2021,8880.3,10.3389/fclim.2021.735880,FALSE,Frontiers,,,,,
slu,2021,19227.78,10.3389/fenrg.2021.568879,FALSE,Frontiers,,,,,
slu,2021,19227.78,10.3389/fenrg.2021.740314,FALSE,Frontiers,,,,,
slu,2021,19227.78,10.3389/fenvs.2021.630721,FALSE,Frontiers,,,,,
slu,2021,19227.78,10.3389/fenvs.2021.631112,FALSE,Frontiers,,,,,
slu,2021,19227.78,10.3389/fenvs.2021.668361,FALSE,Frontiers,,,,,
slu,2021,19227.78,10.3389/fenvs.2021.668836,FALSE,Frontiers,,,,,
slu,2021,19227.78,10.3389/fevo.2021.666069,FALSE,Frontiers,,,,,
slu,2021,8880.3,10.3389/ffgc.2021.580514,FALSE,Frontiers,,,,,
slu,2021,8880.3,10.3389/ffgc.2021.764495,FALSE,Frontiers,,,,,
slu,2021,14671.8,10.3389/ffunb.2021.671270,FALSE,Frontiers,,,,,
slu,2021,14671.8,10.3389/ffunb.2021.779337,FALSE,Frontiers,,,,,
slu,2021,22779.9,10.3389/fgene.2021.661742,FALSE,Frontiers,,,,,
slu,2021,22779.9,10.3389/fimmu.2021.677722,FALSE,Frontiers,,,,,
slu,2021,22779.9,10.3389/fimmu.2021.725240,FALSE,Frontiers,,,,,
slu,2021,22779.9,10.3389/fmars.2021.728569,FALSE,Frontiers,,,,,
slu,2021,22779.9,10.3389/fmicb.2020.608086,FALSE,Frontiers,,,,,
slu,2021,22779.9,10.3389/fmicb.2021.628373,FALSE,Frontiers,,,,,
slu,2021,22779.9,10.3389/fmicb.2021.669937,FALSE,Frontiers,,,,,
slu,2021,16447.86,10.3389/fmicb.2021.673128,FALSE,Frontiers,,,,,
slu,2021,16731,10.3389/fmicb.2021.673218,FALSE,Frontiers,,,,,
slu,2021,22779.9,10.3389/fmicb.2021.692845,FALSE,Frontiers,,,,,
slu,2021,22779.9,10.3389/fmicb.2021.700256,FALSE,Frontiers,,,,,
slu,2021,22779.9,10.3389/fmicb.2021.725021,FALSE,Frontiers,,,,,
slu,2021,22779.9,10.3389/fmicb.2021.758758,FALSE,Frontiers,,,,,
slu,2021,22779.9,10.3389/fnbeh.2021.643693,FALSE,Frontiers,,,,,
slu,2021,22779.9,10.3389/fnbeh.2021.792035,FALSE,Frontiers,,,,,
slu,2021,6409.26,10.3389/fnut.2021.674882,FALSE,Frontiers,,,,,
slu,2021,22779.9,10.3389/fpls.2021.641969,FALSE,Frontiers,,,,,
slu,2021,15186.6,10.3389/fpls.2021.665745,FALSE,Frontiers,,,,,
slu,2021,25311,10.3389/fpls.2021.678959,FALSE,Frontiers,,,,,
slu,2021,22779.9,10.3389/fpls.2021.680859,FALSE,Frontiers,,,,,
slu,2021,22779.9,10.3389/fpls.2021.695867,FALSE,Frontiers,,,,,
slu,2021,22779.9,10.3389/fpls.2021.704960,FALSE,Frontiers,,,,,
slu,2021,22779.9,10.3389/fpls.2021.705006,FALSE,Frontiers,,,,,
slu,2021,22779.9,10.3389/fpls.2021.710268,FALSE,Frontiers,,,,,
slu,2021,22779.9,10.3389/fpls.2021.710707,FALSE,Frontiers,,,,,
slu,2021,22779.9,10.3389/fpls.2021.710867,FALSE,Frontiers,,,,,
slu,2021,22779.9,10.3389/fpls.2021.722795,FALSE,Frontiers,,,,,
slu,2021,12655.5,10.3389/fpls.2021.735610,FALSE,Frontiers,,,,,
slu,2021,22779.9,10.3389/fpls.2021.748750,FALSE,Frontiers,,,,,
slu,2021,22779.9,10.3389/fpsyg.2021.617814,FALSE,Frontiers,,,,,
slu,2021,22779.9,10.3389/fpsyg.2021.667957,FALSE,Frontiers,,,,,
slu,2021,7335.9,10.3389/frsc.2021.572423,FALSE,Frontiers,,,,,
slu,2021,7335.9,10.3389/frsc.2021.582431,FALSE,Frontiers,,,,,
slu,2021,7335.9,10.3389/frsc.2021.691951,FALSE,Frontiers,,,,,
slu,2021,8880.3,10.3389/frwa.2021.683070,FALSE,Frontiers,,,,,
slu,2021,7335.9,10.3389/fsufs.2021.665025,FALSE,Frontiers,,,,,
slu,2021,22779.9,10.3389/fvets.2021.642085,FALSE,Frontiers,,,,,
slu,2021,14285.7,10.3389/fvets.2021.651978,FALSE,Frontiers,,,,,
slu,2021,22779.9,10.3389/fvets.2021.691853,FALSE,Frontiers,,,,,
slu,2021,25311,10.3389/fvets.2021.692031,FALSE,Frontiers,,,,,
slu,2021,22779.9,10.3389/fvets.2021.695222,FALSE,Frontiers,,,,,
slu,2021,22779.9,10.3389/fvets.2021.772589,FALSE,Frontiers,,,,,
slu,2021,22779.9,10.3389/fvets.2021.798910,FALSE,Frontiers,,,,,
