institution;period;sek;doi;is_hybrid;publisher
slu;2021;13384,8;10.1002/vms3.445;FALSE;Wiley
slu;2021;131820;10.1007/978-3-030-87498-8;FALSE;Nature
slu;2021;32823,18;10.1007/s10722-021-01132-5;TRUE;Nature
slu;2021;26262,6;10.1007/s11119-020-09780-w;TRUE;Nature
slu;2021;27986,4;10.1016/j.gca.2021.06.010;TRUE;Elsevier
slu;2021;15210;10.1016/j.heliyon.2021.e06630;TRUE;Elsevier
slu;2021;19752,72;10.1016/j.ijpddr.2021.03.002;TRUE;Elsevier
slu;2021;30160,8;10.1017/S1466252321000013;TRUE;Cambridge University Press
slu;2021;23852,4;10.1038/s41467-021-21449-0;FALSE;Nature
slu;2021;17136,6;10.1038/s41598-021-88128-4;FALSE;Nature
slu;2021;17136,6;10.1038/s41598-021-92692-0;FALSE;Nature
slu;2021;8771,1;10.1038/s42949-021-00029-7;TRUE;Springer
slu;2021;31383,3;10.1080/02827581.2021.1957999;TRUE;Taylor & Francis
slu;2021;17491,5;10.1080/09064710.2021.1945138;FALSE;Taylor & Francis
slu;2021;17491,5;10.1080/09064710.2021.1993993;FALSE;Taylor & Francis
slu;2021;22308;10.1080/21645698.2021.1921544;FALSE;Taylor & Francis
slu;2021;22409,4;10.1080/27685241.2021.1999180;FALSE;Taylor & Francis
slu;2021;20060;10.1098/rspb.2020.3147;TRUE;The Royal Society
slu;2021;20685,6;10.1098/rspb.2021.0207;TRUE;The Royal Society
slu;2021;38694,24;10.1111/1462-2920.15442;TRUE;Wiley
slu;2021;43804,8;10.1111/fwb.13831;TRUE;Wiley
slu;2021;9695,4;10.1128/JCM.01297-21;TRUE;American Society for Microbiology
slu;2021;25740;10.1136/bmjdrc-2020-002083;FALSE;BMJ
slu;2021;13513,5;10.1139/as-2020-0053;FALSE;Canadian Science Publishing
slu;2021;25740;10.1139/cjb-2021-0023;TRUE;Canadian Science Publishing
slu;2021;25740;10.1139/cjfr-2020-0210;TRUE;Canadian Science Publishing
slu;2021;21450;10.1371/journal.pcbi.1008716;FALSE;PLoS
slu;2021;21450;10.1371/journal.pgen.1009370;FALSE;PLoS
slu;2021;14543,1;10.1371/journal.pone.0241532;FALSE;PLos
slu;2021;14543,1;10.1371/journal.pone.0249322;FALSE;PLoS
slu;2021;15006,42;10.1371/journal.pone.0251834;FALSE;PLoS
slu;2021;14543,1;10.1371/journal.pone.0252580;FALSE;PLoS
slu;2021;14543,1;10.1371/journal.pone.0253776;FALSE;PLoS
