institution;period;sek;doi;is_hybrid
slu;2025;37946,86;10.1007/s11213-025-09711-8;SANT
slu;2025;34175,4;10.1016/j.geoforum.2025.104241;SANT
slu;2025;32184,6;10.1016/j.jterra.2025.101097;SANT
slu;2025;31454,64;10.1002/edn3.70148;FALSKT 
slu;2025;31045,42;10.1016/j.jvc.2025.03.002;SANT
slu;2025;27528,34;10.3390/ijms26157220;FALSKT
slu;2025;26875,8;10.1016/j.carpta.2025.101005;FALSKT
slu;2025;25659,2;10.3390/ijms26083620;FALSKT
slu;2025;25526,48;10.3390/microorganisms13071646;FALSKT
slu;2025;25493,3;10.3390/microorganisms13010168;FALSKT
slu;2025;25404,82;10.3390/biology14020135;FALSKT
slu;2025;24829,7;10.3390/en18082046;FALSKT
slu;2025;24829,7;10.3390/agriculture15080889;FALSKT
slu;2025;24696,98;10.3390/agroFALSKTmy16010137;FALSKT
slu;2025;24619,56;10.3390/agroFALSKTmy15102275;FALSKT
slu;2025;24486,84;10.3390/agriculture15020201;FALSKT
slu;2025;24033,38;10.3390/fishes10040149;FALSKT
slu;2025;23723,7;10.1038/s44264-025-00079-9;FALSKT 
slu;2025;22883,14;10.3390/ani15223233;FALSKT 
slu;2025;22684,06;10.3390/ani15081081;FALSKT
slu;2025;22606,64;10.3390/ani15030295;FALSKT
slu;2025;22584,52;10.3390/su17031291;FALSKT
slu;2025;22496,04;10.3390/app15052450;FALSKT
slu;2025;21235,2;10.3390/su17072956;FALSKT
slu;2025;21235,2;10.3390/ani15192771;FALSKT
slu;2025;20859,16;10.3390/horticulturae10121280;FALSKT
slu;2025;20217,68;10.62320/jfbr.v4i1.72;FALSKT 
slu;2025;19377,12;10.1079/ab.2025.0039;FALSKT 
slu;2025;19255,46;10.3390/plants14233631;FALSKT 
slu;2025;19067,44;10.3390/plants14030311;FALSKT
slu;2025;18691,4;10.1127/entomologia/2025/2977;SANT
slu;2025;18193,7;10.3390/ani15060862;FALSKT
slu;2025;18138,4;10.1016/j.atech.2024.100516;FALSKT
slu;2025;18083,1;10.5334/cstp.725;FALSKT 
slu;2025;17342,08;10.62320/fm.v2i1.25;FALSKT 
slu;2025;17275,72;10.3390/horticulturae12010024;FALSKT 
slu;2025;17043,46;10.1016/j.psj.2025.105682;FALSKT
slu;2025;16590;10.4324/9781003466109-11;FALSKT 
slu;2025;12508,86;10.5061/dryad.wstqjq2z3;SANT
slu;2025;9843,4;10.1016/j.crcon.2024.100301;FALSKT
slu;2025;8527,26;10.3390/ani15192846;FALSKT
slu;2025;8483,02;10.3390/su17135872;FALSKT
slu;2025;7465,5;10.3390/vetsci12100997;FALSKT
slu;2025;13145,4;10.3168/jdsc.2025-0747;FALSKT 
slu;2025;22955,4;10.1128/aem.01306-24;FALSKT 
slu;2025;25015,5;10.1073/pnas.2407224122;SANT
slu;2025;26487;10.1071/fp24201;SANT
slu;2025;26879,4;10.1128/spectrum.01475-25;FALSKT 
slu;2025;29430;10.21273/HORTSCI18664-25;FALSKT 
slu;2025;32323,95;10.3389/fvets.2025.1476505;FALSKT
slu;2025;48559,5;10.1126/sciadv.ads0760;FALSKT 
slu;2025;53905,95;10.1073/pnas.2424557122;SANT
slu;2025;53905,95;10.1073/pnas.2515473122;SANT
slu;2025;53905,95;10.1073/pnas.2505641122;SANT
slu;2025;23029,5;10.3389/fcosc.2025.1546782;FALSKT
slu;2025;25509,6;10.3390/plants14223457;FALSKT 
slu;2025;19328,32;10.1098/rspb.2025.1443;SANT
